DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,6.80,TVD,6.90,6.90,6.80,2500.00
10/01/2020,6.80,TVD,6.40,6.80,6.40,3200.00
09/01/2020,6.70,TVD,6.70,6.70,6.70,0.00
08/01/2020,6.70,TVD,6.70,6.70,6.70,0.00
07/01/2020,6.70,TVD,6.70,6.70,6.70,100.00
06/01/2020,6.20,TVD,6.60,6.60,6.20,800.00
03/01/2020,6.60,TVD,6.20,6.60,6.20,2100.00
02/01/2020,6.60,TVD,6.60,6.60,6.60,4400.00
31/12/2019,6.50,TVD,6.50,6.50,6.50,0.00
30/12/2019,6.50,TVD,5.90,6.50,5.90,200.00
27/12/2019,6.50,TVD,6.50,6.50,6.50,0.00
26/12/2019,6.50,TVD,6.50,6.50,6.50,0.00
25/12/2019,6.50,TVD,6.50,6.50,6.50,100.00
24/12/2019,6.40,TVD,6.40,6.40,6.40,0.00
23/12/2019,6.40,TVD,5.80,6.40,5.80,305.00
20/12/2019,6.40,TVD,6.40,6.40,6.40,0.00
19/12/2019,6.40,TVD,6.40,6.40,6.40,100.00
18/12/2019,6.40,TVD,6.40,6.40,6.40,9800.00
17/12/2019,6.40,TVD,6.40,6.40,6.40,0.00
16/12/2019,6.40,TVD,6.40,6.40,6.40,0.00
13/12/2019,6.40,TVD,6.40,6.40,6.40,100.00
12/12/2019,6.40,TVD,6.40,6.40,6.40,0.00
11/12/2019,6.40,TVD,6.40,6.40,6.40,100.00
10/12/2019,6.20,TVD,6.20,6.20,6.20,0.00
09/12/2019,6.20,TVD,6.20,6.20,6.20,0.00
06/12/2019,6.20,TVD,6.20,6.20,6.20,0.00
05/12/2019,6.20,TVD,6.20,6.20,6.20,0.00
04/12/2019,6.20,TVD,6.20,6.20,6.20,0.00
03/12/2019,6.20,TVD,6.20,6.20,6.20,0.00
02/12/2019,6.20,TVD,6.20,6.20,6.20,0.00
29/11/2019,6.20,TVD,6.20,6.20,6.20,0.00
28/11/2019,6.20,TVD,6.20,6.20,6.20,0.00
27/11/2019,6.20,TVD,6.20,6.20,6.20,0.00
26/11/2019,6.20,TVD,6.20,6.20,6.20,0.00
25/11/2019,6.20,TVD,6.20,6.20,6.20,0.00
22/11/2019,6.20,TVD,6.20,6.20,6.20,2200.00
21/11/2019,6.20,TVD,6.20,6.20,6.20,5000.00
20/11/2019,6.20,TVD,6.20,6.20,6.20,3500.00
19/11/2019,6.20,TVD,6.20,6.20,6.20,1000.00
18/11/2019,6.30,TVD,6.30,6.30,6.30,0.00
15/11/2019,6.30,TVD,6.30,6.30,6.30,3000.00
14/11/2019,6.10,TVD,6.10,6.10,6.10,35.00
13/11/2019,6.10,TVD,6.20,6.20,6.10,10107.00
12/11/2019,6.20,TVD,6.20,6.20,6.20,0.00
11/11/2019,6.20,TVD,6.20,6.20,6.20,669.00
08/11/2019,6.40,TVD,6.40,6.40,6.40,0.00
07/11/2019,6.40,TVD,6.20,6.40,5.90,2166.00
06/11/2019,6.20,TVD,6.20,6.20,6.20,0.00
05/11/2019,6.20,TVD,6.20,6.20,6.20,0.00
04/11/2019,6.20,TVD,6.20,6.20,6.20,500.00
01/11/2019,6.20,TVD,6.20,6.20,6.20,0.00
31/10/2019,6.20,TVD,6.20,6.20,6.20,2069.00
30/10/2019,6.30,TVD,6.10,6.30,6.10,6813.00
29/10/2019,6.20,TVD,6.20,6.20,6.20,0.00
28/10/2019,6.20,TVD,6.30,6.30,6.10,8200.00
25/10/2019,6.30,TVD,6.10,6.30,6.00,32200.00
24/10/2019,6.10,TVD,6.10,6.10,6.10,11059.00
23/10/2019,6.00,TVD,5.90,6.00,5.90,13700.00
22/10/2019,5.90,TVD,5.90,5.90,5.90,0.00
21/10/2019,5.90,TVD,5.90,5.90,5.90,0.00
18/10/2019,5.90,TVD,5.80,5.90,5.80,7400.00
17/10/2019,5.90,TVD,5.70,5.90,5.70,32513.00
16/10/2019,5.70,TVD,5.60,5.70,5.60,13100.00
15/10/2019,5.60,TVD,5.60,5.60,5.60,4100.00
14/10/2019,5.60,TVD,5.60,5.60,5.60,10000.00
11/10/2019,5.40,TVD,5.40,5.40,5.40,0.00
10/10/2019,5.40,TVD,5.40,5.40,5.40,138.00
09/10/2019,5.40,TVD,5.40,5.40,5.40,0.00
08/10/2019,5.40,TVD,5.40,5.40,5.40,0.00
07/10/2019,5.40,TVD,5.40,5.40,5.40,100.00
04/10/2019,5.30,TVD,5.30,5.30,5.30,0.00
03/10/2019,5.30,TVD,5.30,5.30,5.30,1500.00
02/10/2019,5.30,TVD,5.30,5.30,5.30,0.00
01/10/2019,5.30,TVD,5.30,5.30,5.30,0.00
30/09/2019,5.30,TVD,5.30,5.30,5.30,0.00
27/09/2019,5.30,TVD,5.30,5.30,5.30,0.00
26/09/2019,5.30,TVD,5.30,5.40,5.30,1200.00
25/09/2019,5.30,TVD,5.40,5.40,5.30,1700.00
24/09/2019,5.40,TVD,5.40,5.40,5.40,0.00
23/09/2019,5.40,TVD,5.40,5.40,5.40,0.00
20/09/2019,5.40,TVD,5.40,5.40,5.40,0.00
19/09/2019,5.40,TVD,5.40,5.40,5.40,0.00
18/09/2019,5.40,TVD,5.40,5.40,5.40,100.00
17/09/2019,5.30,TVD,5.30,5.30,5.30,1400.00
16/09/2019,5.40,TVD,5.30,5.40,5.30,2100.00
13/09/2019,5.30,TVD,5.30,5.30,5.30,0.00
12/09/2019,5.30,TVD,5.30,5.30,5.30,1200.00
11/09/2019,5.30,TVD,5.30,5.30,5.30,2000.00
10/09/2019,5.30,TVD,5.30,5.30,5.30,800.00
09/09/2019,5.30,TVD,5.30,5.30,5.30,0.00
06/09/2019,5.30,TVD,5.30,5.30,5.30,100.00
05/09/2019,5.40,TVD,5.40,5.40,5.40,0.00
04/09/2019,5.40,TVD,5.40,5.40,5.40,0.00
03/09/2019,5.40,TVD,5.30,5.40,5.30,4200.00
30/08/2019,5.30,TVD,5.30,5.30,5.30,107.00
29/08/2019,5.40,TVD,5.40,5.40,5.40,1200.00
28/08/2019,5.40,TVD,5.40,5.40,5.40,0.00
27/08/2019,5.40,TVD,5.40,5.40,5.40,0.00
26/08/2019,5.40,TVD,5.40,5.40,5.40,4800.00
23/08/2019,5.50,TVD,5.50,5.50,5.50,0.00
22/08/2019,5.50,TVD,5.50,5.50,5.50,0.00
21/08/2019,5.50,TVD,5.50,5.50,5.50,0.00
20/08/2019,5.50,TVD,5.50,5.50,5.50,0.00
19/08/2019,5.50,TVD,5.50,5.50,5.50,0.00
16/08/2019,5.50,TVD,5.50,5.50,5.50,0.00
15/08/2019,5.50,TVD,5.50,5.50,5.50,0.00
14/08/2019,5.50,TVD,5.50,5.50,5.50,0.00
13/08/2019,5.50,TVD,5.50,5.50,5.50,0.00
12/08/2019,5.50,TVD,5.50,5.50,5.50,0.00
09/08/2019,5.50,TVD,5.50,5.50,5.50,0.00
08/08/2019,5.50,TVD,5.50,5.50,5.50,21093.00
07/08/2019,5.50,TVD,5.50,5.50,5.50,0.00
06/08/2019,5.50,TVD,5.50,5.50,5.50,15100.00
05/08/2019,5.50,TVD,5.50,5.50,5.50,6000.00
02/08/2019,5.40,TVD,5.40,5.40,5.40,100.00
01/08/2019,5.60,TVD,5.60,5.60,5.60,0.00
31/07/2019,5.60,TVD,5.50,5.60,5.50,17100.00
30/07/2019,5.60,TVD,5.60,5.60,5.60,1900.00
29/07/2019,5.60,TVD,5.60,5.60,5.60,1200.00
26/07/2019,5.60,TVD,5.60,5.60,5.60,29600.00
25/07/2019,5.70,TVD,5.70,5.70,5.70,0.00
24/07/2019,5.70,TVD,5.70,5.70,5.70,2000.00
23/07/2019,5.70,TVD,5.70,5.70,5.60,12700.00
22/07/2019,5.70,TVD,5.70,5.70,5.70,4000.00
19/07/2019,5.80,TVD,5.70,5.80,5.70,14070.00
18/07/2019,5.60,TVD,5.60,5.60,5.60,3700.00
17/07/2019,5.60,TVD,5.60,5.60,5.60,0.00
16/07/2019,5.60,TVD,5.70,5.70,5.60,2385.00
15/07/2019,5.60,TVD,5.60,5.60,5.60,5800.00
12/07/2019,5.50,TVD,5.50,5.50,5.50,0.00
11/07/2019,5.50,TVD,5.50,5.50,5.50,300.00
10/07/2019,5.80,TVD,5.80,5.80,5.80,0.00
09/07/2019,5.80,TVD,5.80,5.80,5.80,6000.00
08/07/2019,5.90,TVD,5.90,5.90,5.90,0.00
05/07/2019,5.90,TVD,5.90,5.90,5.90,0.00
04/07/2019,5.90,TVD,5.90,5.90,5.90,0.00
03/07/2019,5.90,TVD,5.90,5.90,5.90,13000.00
02/07/2019,5.90,TVD,5.90,5.90,5.90,20500.00
01/07/2019,5.90,TVD,5.60,5.90,5.60,7500.00
28/06/2019,5.60,TVD,5.50,5.60,5.50,1300.00
27/06/2019,5.40,TVD,5.40,5.40,5.40,1900.00
26/06/2019,5.40,TVD,5.40,5.40,5.40,215.00
25/06/2019,5.40,TVD,5.40,5.40,5.40,1100.00
24/06/2019,5.40,TVD,5.40,5.40,5.40,1000.00
21/06/2019,5.40,TVD,5.30,5.50,5.30,3300.00
20/06/2019,5.30,TVD,5.30,5.30,5.30,100.00
19/06/2019,5.60,TVD,5.60,5.60,5.60,1900.00
18/06/2019,5.60,TVD,5.50,5.60,5.50,6400.00
17/06/2019,5.50,TVD,5.50,5.50,5.50,2100.00
14/06/2019,5.50,TVD,5.40,5.50,5.40,4200.00
13/06/2019,5.40,TVD,5.40,5.40,5.40,500.00
12/06/2019,5.30,TVD,5.30,5.30,5.30,200.00
11/06/2019,5.20,TVD,5.20,5.20,5.20,2100.00
10/06/2019,5.40,TVD,5.40,5.40,5.40,0.00
07/06/2019,5.40,TVD,5.40,5.40,5.40,500.00
06/06/2019,5.40,TVD,5.30,5.40,5.30,600.00
05/06/2019,5.20,TVD,5.20,5.20,5.20,28400.00
04/06/2019,5.20,TVD,5.20,5.20,5.20,0.00
03/06/2019,5.20,TVD,5.20,5.20,5.20,1900.00
31/05/2019,5.40,TVD,5.40,5.40,5.30,19322.00
30/05/2019,5.40,TVD,5.40,5.40,5.40,2000.00
29/05/2019,5.40,TVD,5.40,5.40,5.40,2000.00
28/05/2019,5.50,TVD,5.50,5.50,5.50,200.00
27/05/2019,5.40,TVD,5.40,5.40,5.40,2322.00
24/05/2019,5.60,TVD,5.60,5.60,5.60,0.00
23/05/2019,5.60,TVD,5.60,5.60,5.60,0.00
22/05/2019,5.60,TVD,5.60,5.60,5.60,200.00
21/05/2019,5.60,TVD,5.60,5.60,5.40,40100.00
20/05/2019,5.70,TVD,5.70,5.70,5.70,5.00
17/05/2019,5.70,TVD,5.60,5.70,5.50,4200.00
16/05/2019,5.70,TVD,5.70,5.70,5.70,8100.00
15/05/2019,5.70,TVD,5.60,5.70,5.50,44900.00
14/05/2019,5.50,TVD,5.60,5.60,5.50,36600.00
13/05/2019,5.60,TVD,5.60,5.60,5.60,2300.00
10/05/2019,5.60,TVD,5.60,5.60,5.60,1000.00
09/05/2019,5.70,TVD,6.00,6.00,5.60,11973.00
08/05/2019,6.20,TVD,6.30,6.30,6.20,3200.00
07/05/2019,6.30,TVD,6.30,6.30,6.30,13000.00
06/05/2019,6.30,TVD,6.30,6.30,6.30,271.00
03/05/2019,6.30,TVD,6.20,6.30,6.20,3600.00
02/05/2019,6.40,TVD,6.30,6.40,6.30,10600.00
26/04/2019,6.30,TVD,6.20,6.30,6.20,24802.00
25/04/2019,6.20,TVD,6.20,6.20,6.20,158.00
24/04/2019,6.10,TVD,6.10,6.10,6.00,68100.00
23/04/2019,6.10,TVD,6.10,6.10,6.10,8900.00
22/04/2019,6.10,TVD,6.10,6.10,6.10,2100.00
19/04/2019,6.00,TVD,6.10,6.20,6.00,15110.00
18/04/2019,6.00,TVD,6.10,6.10,6.00,600.00
17/04/2019,6.00,TVD,6.10,6.10,5.90,152500.00
16/04/2019,6.20,TVD,6.00,6.20,6.00,1900.00
