DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,6.20,TVN,6.30,6.30,6.20,6700.00
10/01/2020,6.50,TVN,6.50,6.50,6.50,0.00
09/01/2020,6.50,TVN,6.50,6.50,6.50,0.00
08/01/2020,6.50,TVN,6.50,6.50,6.50,0.00
07/01/2020,6.50,TVN,6.50,6.50,6.50,200.00
06/01/2020,6.50,TVN,6.50,6.50,6.50,0.00
03/01/2020,6.50,TVN,6.50,6.50,6.50,0.00
02/01/2020,6.50,TVN,6.50,6.50,6.40,8200.00
31/12/2019,6.30,TVN,6.60,7.00,6.30,24500.00
30/12/2019,6.50,TVN,7.10,7.10,6.50,8100.00
27/12/2019,6.50,TVN,7.30,7.30,6.50,6200.00
26/12/2019,6.60,TVN,6.50,6.70,6.50,12300.00
25/12/2019,6.60,TVN,6.50,6.60,6.50,14000.00
24/12/2019,6.50,TVN,6.50,6.60,6.50,17300.00
23/12/2019,6.40,TVN,6.40,6.40,6.40,0.00
20/12/2019,6.50,TVN,6.40,6.50,6.40,4000.00
19/12/2019,6.30,TVN,6.30,6.30,6.30,0.00
18/12/2019,6.30,TVN,6.30,6.30,6.30,2000.00
17/12/2019,6.40,TVN,6.40,6.40,6.40,800.00
16/12/2019,6.50,TVN,6.50,6.50,6.50,2200.00
13/12/2019,6.50,TVN,6.60,6.60,6.50,6300.00
12/12/2019,6.50,TVN,6.60,6.60,6.50,900.00
11/12/2019,6.40,TVN,6.50,6.50,6.40,2500.00
10/12/2019,6.50,TVN,6.50,6.50,6.30,11200.00
09/12/2019,6.60,TVN,6.50,6.60,6.50,6400.00
06/12/2019,6.60,TVN,6.70,6.70,6.50,3700.00
05/12/2019,6.70,TVN,6.70,6.70,6.70,100.00
04/12/2019,6.70,TVN,6.70,6.70,6.70,5100.00
03/12/2019,6.50,TVN,6.70,6.70,6.50,10900.00
02/12/2019,6.30,TVN,6.60,6.60,6.30,2100.00
29/11/2019,6.90,TVN,6.60,6.90,6.60,21700.00
28/11/2019,6.50,TVN,6.70,6.70,6.50,1200.00
27/11/2019,6.60,TVN,6.60,6.60,6.60,100.00
26/11/2019,6.60,TVN,6.60,6.80,6.50,9500.00
25/11/2019,6.60,TVN,6.40,6.60,6.40,200.00
22/11/2019,6.50,TVN,6.40,6.50,6.40,1100.00
21/11/2019,6.50,TVN,6.50,6.50,6.50,11500.00
20/11/2019,6.70,TVN,6.70,6.70,6.70,100.00
19/11/2019,6.70,TVN,6.60,6.70,6.50,4200.00
18/11/2019,6.30,TVN,6.40,6.40,6.30,700.00
15/11/2019,6.60,TVN,6.30,6.60,6.30,7200.00
14/11/2019,6.60,TVN,6.50,6.60,6.50,1000.00
13/11/2019,6.60,TVN,6.50,6.60,6.50,400.00
12/11/2019,6.60,TVN,6.60,6.60,6.60,1500.00
11/11/2019,6.60,TVN,6.60,6.60,6.60,2000.00
08/11/2019,6.60,TVN,6.60,6.60,6.60,2000.00
07/11/2019,6.50,TVN,6.50,6.70,6.50,3100.00
06/11/2019,6.60,TVN,6.50,6.60,6.50,1100.00
05/11/2019,6.60,TVN,6.50,6.70,6.00,13600.00
04/11/2019,6.60,TVN,6.60,7.20,6.50,12800.00
01/11/2019,6.60,TVN,6.70,6.70,6.60,1500.00
31/10/2019,6.60,TVN,6.60,6.60,6.40,3700.00
30/10/2019,6.50,TVN,6.70,6.70,6.50,9600.00
29/10/2019,6.60,TVN,6.50,6.60,6.50,800.00
28/10/2019,6.60,TVN,6.90,6.90,6.50,2800.00
25/10/2019,6.60,TVN,6.60,6.60,6.60,3000.00
24/10/2019,6.80,TVN,6.60,6.80,6.60,6100.00
23/10/2019,6.70,TVN,6.60,6.70,6.60,500.00
22/10/2019,6.60,TVN,6.60,6.60,6.60,800.00
21/10/2019,6.60,TVN,6.50,6.60,6.50,1500.00
18/10/2019,6.70,TVN,6.50,6.70,6.50,1600.00
17/10/2019,6.70,TVN,6.80,7.10,6.60,8200.00
16/10/2019,6.70,TVN,6.50,6.80,6.50,69400.00
15/10/2019,6.60,TVN,6.60,6.70,6.50,4500.00
14/10/2019,6.70,TVN,6.70,6.80,6.60,2200.00
11/10/2019,6.60,TVN,6.60,6.90,6.50,14600.00
10/10/2019,6.60,TVN,6.60,6.70,6.50,10300.00
09/10/2019,6.50,TVN,6.70,6.80,6.50,5500.00
08/10/2019,6.60,TVN,6.70,6.70,6.60,1800.00
07/10/2019,6.50,TVN,6.50,6.50,6.50,0.00
04/10/2019,6.50,TVN,6.50,6.50,6.50,10000.00
03/10/2019,6.60,TVN,6.70,6.70,6.60,1000.00
02/10/2019,6.80,TVN,6.80,6.80,6.80,0.00
01/10/2019,6.80,TVN,6.80,6.80,6.80,1500.00
30/09/2019,7.20,TVN,8.00,8.10,6.80,8100.00
27/09/2019,6.70,TVN,7.10,7.50,6.60,5700.00
26/09/2019,6.80,TVN,6.80,6.80,6.80,2000.00
25/09/2019,6.80,TVN,6.80,6.80,6.80,0.00
24/09/2019,6.70,TVN,7.10,7.10,6.70,400.00
23/09/2019,6.80,TVN,6.90,6.90,6.80,3500.00
20/09/2019,6.80,TVN,6.80,6.80,6.80,4000.00
19/09/2019,6.80,TVN,7.10,7.10,6.80,2600.00
18/09/2019,7.10,TVN,7.00,7.10,6.80,4100.00
17/09/2019,6.90,TVN,6.90,6.90,6.90,1200.00
16/09/2019,6.90,TVN,6.90,6.90,6.90,5600.00
13/09/2019,7.10,TVN,7.10,7.10,7.10,300.00
12/09/2019,7.00,TVN,6.90,7.00,6.90,1600.00
11/09/2019,6.90,TVN,7.00,7.00,6.80,14000.00
10/09/2019,7.20,TVN,6.90,7.20,6.90,1100.00
09/09/2019,7.00,TVN,7.00,7.00,7.00,2500.00
06/09/2019,7.00,TVN,7.00,7.00,7.00,2900.00
05/09/2019,7.20,TVN,7.40,7.40,7.20,3700.00
04/09/2019,7.00,TVN,7.10,7.10,7.00,4500.00
03/09/2019,7.50,TVN,7.60,7.60,7.20,2700.00
