DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,4.43,UDC,4.47,4.47,3.89,30.00
10/01/2020,4.18,UDC,4.35,4.35,4.18,20.00
09/01/2020,4.18,UDC,3.78,4.20,3.78,80.00
08/01/2020,4.04,UDC,4.04,4.04,4.04,3300.00
07/01/2020,4.34,UDC,4.34,4.34,4.34,10.00
06/01/2020,4.07,UDC,4.05,4.07,3.80,1890.00
03/01/2020,3.81,UDC,4.34,4.34,3.81,30.00
02/01/2020,4.09,UDC,4.09,4.09,3.57,770.00
31/12/2019,3.83,UDC,3.83,3.83,3.83,0.00
30/12/2019,3.83,UDC,4.38,4.38,3.83,2290.00
27/12/2019,4.11,UDC,4.56,4.56,4.11,20.00
26/12/2019,4.27,UDC,4.70,4.70,4.27,1020.00
25/12/2019,4.59,UDC,4.60,4.60,4.10,2320.00
24/12/2019,4.37,UDC,5.00,5.00,4.37,140.00
23/12/2019,4.69,UDC,4.87,4.87,4.69,530.00
20/12/2019,4.56,UDC,4.56,4.56,4.56,3010.00
19/12/2019,4.90,UDC,4.90,4.90,4.90,0.00
18/12/2019,4.90,UDC,4.60,4.90,4.60,20.00
17/12/2019,4.58,UDC,4.58,4.58,4.58,1200.00
16/12/2019,4.59,UDC,4.59,4.59,4.59,10.00
13/12/2019,4.30,UDC,4.30,4.30,4.30,10.00
12/12/2019,4.40,UDC,4.43,4.43,4.40,1910.00
11/12/2019,4.15,UDC,4.15,4.15,4.15,0.00
10/12/2019,4.15,UDC,4.15,4.15,4.15,300.00
09/12/2019,4.20,UDC,4.20,4.20,4.20,700.00
06/12/2019,4.18,UDC,4.18,4.49,4.18,120.00
05/12/2019,4.49,UDC,4.19,4.49,4.19,750.00
04/12/2019,4.50,UDC,4.50,4.50,4.50,90.00
03/12/2019,4.50,UDC,4.24,4.50,4.24,1010.00
02/12/2019,4.55,UDC,4.01,4.55,4.01,510.00
29/11/2019,4.28,UDC,4.28,4.28,4.28,0.00
28/11/2019,4.28,UDC,4.27,4.28,4.27,900.00
27/11/2019,4.59,UDC,4.60,4.60,4.59,20.00
26/11/2019,4.60,UDC,4.31,4.60,4.31,1480.00
25/11/2019,4.63,UDC,4.63,4.63,4.63,0.00
22/11/2019,4.63,UDC,4.32,4.63,4.32,40.00
21/11/2019,4.64,UDC,4.64,4.64,4.64,10.00
20/11/2019,4.60,UDC,4.36,4.60,4.36,980.00
19/11/2019,4.36,UDC,4.40,4.40,4.36,4760.00
18/11/2019,4.68,UDC,4.64,4.68,4.64,30.00
15/11/2019,4.65,UDC,4.50,4.65,4.50,10030.00
14/11/2019,4.60,UDC,4.37,4.66,4.36,3260.00
13/11/2019,4.68,UDC,4.38,4.79,4.37,5900.00
12/11/2019,4.69,UDC,4.48,4.69,4.47,10710.00
11/11/2019,4.80,UDC,4.80,4.80,4.80,10.00
08/11/2019,4.55,UDC,4.55,4.55,4.55,5700.00
07/11/2019,4.89,UDC,4.63,4.89,4.56,9530.00
06/11/2019,4.90,UDC,4.87,5.00,4.61,5520.00
05/11/2019,4.89,UDC,4.89,4.89,4.89,10.00
04/11/2019,4.63,UDC,4.63,4.63,4.63,7000.00
01/11/2019,4.97,UDC,4.64,4.97,4.64,2020.00
31/10/2019,4.98,UDC,4.98,4.98,4.98,0.00
30/10/2019,4.98,UDC,4.98,4.98,4.98,0.00
29/10/2019,4.98,UDC,4.98,4.98,4.56,2120.00
28/10/2019,4.66,UDC,4.66,4.66,4.66,100.00
25/10/2019,4.99,UDC,4.90,4.99,4.90,1000.00
24/10/2019,4.99,UDC,4.66,4.99,4.66,1310.00
23/10/2019,5.00,UDC,5.00,5.00,5.00,0.00
22/10/2019,5.00,UDC,5.00,5.00,5.00,10.00
21/10/2019,4.70,UDC,4.70,4.70,4.70,1000.00
18/10/2019,5.00,UDC,5.00,5.00,5.00,0.00
17/10/2019,5.00,UDC,5.00,5.00,5.00,0.00
16/10/2019,5.00,UDC,4.70,5.00,4.70,540.00
15/10/2019,5.00,UDC,5.00,5.00,5.00,0.00
14/10/2019,5.00,UDC,4.80,5.00,4.80,820.00
11/10/2019,4.80,UDC,4.81,4.81,4.80,11780.00
10/10/2019,4.80,UDC,4.80,5.00,4.80,29190.00
09/10/2019,5.04,UDC,5.04,5.04,5.04,0.00
08/10/2019,5.04,UDC,5.04,5.04,5.04,0.00
07/10/2019,5.04,UDC,5.04,5.04,5.04,100.00
04/10/2019,4.77,UDC,4.46,5.00,4.46,4120.00
03/10/2019,4.79,UDC,4.70,4.79,4.70,3780.00
02/10/2019,4.80,UDC,4.76,5.00,4.75,12300.00
01/10/2019,4.77,UDC,4.77,4.77,4.77,10.00
30/09/2019,4.49,UDC,4.50,4.50,4.49,2980.00
27/09/2019,4.70,UDC,4.49,4.70,4.49,7170.00
26/09/2019,4.50,UDC,4.50,4.50,4.50,2000.00
25/09/2019,4.77,UDC,4.50,4.77,4.50,3020.00
24/09/2019,4.50,UDC,4.70,4.94,4.45,7180.00
23/09/2019,4.78,UDC,4.70,4.79,4.60,1150.00
20/09/2019,4.53,UDC,4.85,4.85,4.53,8020.00
19/09/2019,4.87,UDC,4.87,4.87,4.56,5100.00
18/09/2019,4.87,UDC,4.51,4.87,4.50,10010.00
17/09/2019,4.65,UDC,4.65,4.65,4.65,0.00
16/09/2019,4.65,UDC,4.50,4.65,4.50,1130.00
13/09/2019,4.80,UDC,4.57,4.80,4.57,20.00
12/09/2019,4.90,UDC,4.90,4.90,4.90,0.00
11/09/2019,4.90,UDC,4.90,4.90,4.90,20.00
10/09/2019,4.90,UDC,4.56,4.90,4.56,20.00
