DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,36.80,UIC,35.50,36.80,35.50,250.00
10/01/2020,37.00,UIC,35.70,37.00,35.50,1410.00
09/01/2020,37.20,UIC,37.80,37.80,37.20,270.00
08/01/2020,36.80,UIC,36.90,36.90,36.80,100.00
07/01/2020,36.50,UIC,36.00,36.50,36.00,320.00
06/01/2020,36.90,UIC,35.10,36.90,35.05,5900.00
03/01/2020,37.10,UIC,37.10,37.10,37.10,0.00
02/01/2020,37.10,UIC,37.10,37.10,37.10,0.00
31/12/2019,37.10,UIC,36.50,37.20,34.80,3540.00
30/12/2019,36.40,UIC,36.00,36.40,35.00,2040.00
27/12/2019,35.70,UIC,35.95,35.95,35.00,4980.00
26/12/2019,36.90,UIC,36.20,36.90,35.80,1100.00
25/12/2019,36.20,UIC,35.70,36.20,35.60,110.00
24/12/2019,36.20,UIC,36.70,36.70,35.50,970.00
23/12/2019,36.35,UIC,36.35,36.35,36.35,300.00
20/12/2019,36.35,UIC,35.65,36.35,35.65,500.00
19/12/2019,35.70,UIC,35.85,36.50,35.70,1800.00
18/12/2019,35.85,UIC,36.10,36.45,35.85,2430.00
17/12/2019,36.20,UIC,36.90,36.90,36.20,16430.00
16/12/2019,36.90,UIC,36.00,36.90,35.95,4210.00
13/12/2019,35.50,UIC,36.00,36.00,35.40,5020.00
12/12/2019,36.80,UIC,35.10,36.80,35.10,140.00
11/12/2019,35.40,UIC,35.45,36.95,35.30,6650.00
10/12/2019,37.90,UIC,37.90,37.90,37.90,60.00
09/12/2019,36.45,UIC,35.60,36.45,35.50,1020.00
06/12/2019,36.90,UIC,35.30,38.00,35.30,310.00
05/12/2019,36.05,UIC,38.80,38.80,36.05,200.00
04/12/2019,36.80,UIC,36.00,36.80,36.00,1020.00
03/12/2019,36.50,UIC,38.50,38.50,36.50,5730.00
02/12/2019,38.00,UIC,38.00,38.00,38.00,330.00
29/11/2019,37.20,UIC,37.20,38.00,37.20,720.00
28/11/2019,37.20,UIC,37.00,37.70,37.00,330.00
27/11/2019,37.50,UIC,39.45,40.15,37.00,330.00
26/11/2019,37.80,UIC,37.80,37.80,37.80,40.00
25/11/2019,37.80,UIC,37.80,37.80,37.80,50.00
22/11/2019,37.80,UIC,37.80,37.80,37.80,160.00
21/11/2019,37.30,UIC,37.30,37.30,37.30,0.00
20/11/2019,37.30,UIC,36.10,37.30,36.10,80.00
19/11/2019,37.35,UIC,36.50,37.35,36.50,110.00
18/11/2019,37.90,UIC,37.90,37.90,37.90,60.00
15/11/2019,37.20,UIC,37.35,39.40,36.00,1080.00
14/11/2019,37.35,UIC,37.20,37.40,36.00,2130.00
13/11/2019,36.50,UIC,37.90,37.90,35.60,60.00
12/11/2019,36.50,UIC,36.15,37.90,36.00,8960.00
11/11/2019,38.20,UIC,38.20,38.20,38.20,40.00
08/11/2019,37.00,UIC,37.30,39.20,36.25,1080.00
07/11/2019,37.30,UIC,38.60,38.60,36.50,1380.00
06/11/2019,38.25,UIC,38.50,38.50,36.55,450.00
05/11/2019,37.55,UIC,37.00,38.75,36.50,4600.00
04/11/2019,38.85,UIC,39.20,39.20,36.65,2660.00
01/11/2019,38.90,UIC,39.50,39.50,36.85,180.00
31/10/2019,38.00,UIC,39.00,39.00,37.00,1560.00
30/10/2019,37.20,UIC,39.35,39.60,37.20,2760.00
29/10/2019,37.15,UIC,39.70,39.70,37.15,60.00
28/10/2019,39.35,UIC,39.50,39.50,39.35,70.00
25/10/2019,37.00,UIC,39.90,39.90,37.00,2200.00
24/10/2019,39.50,UIC,37.30,39.50,37.20,1320.00
23/10/2019,40.00,UIC,38.15,40.00,38.15,1740.00
22/10/2019,41.00,UIC,38.95,41.00,38.95,5220.00
21/10/2019,38.90,UIC,36.95,39.10,36.95,3210.00
18/10/2019,36.65,UIC,36.65,36.65,36.00,570.00
17/10/2019,36.65,UIC,35.55,36.65,35.55,210.00
16/10/2019,36.65,UIC,35.20,36.65,35.20,90.00
15/10/2019,36.95,UIC,36.95,36.95,36.95,150.00
14/10/2019,37.00,UIC,37.00,37.00,37.00,0.00
11/10/2019,37.00,UIC,36.10,37.85,36.10,650.00
10/10/2019,37.65,UIC,37.65,37.65,37.65,550.00
09/10/2019,37.70,UIC,37.70,37.70,37.70,150.00
08/10/2019,37.75,UIC,37.75,37.75,37.75,570.00
07/10/2019,37.75,UIC,37.75,37.75,37.75,50.00
04/10/2019,37.75,UIC,35.80,37.75,35.80,50.00
03/10/2019,37.00,UIC,37.80,37.80,37.00,580.00
02/10/2019,37.55,UIC,36.50,37.55,36.50,130.00
01/10/2019,37.85,UIC,38.00,38.00,37.85,130.00
30/09/2019,36.30,UIC,37.00,38.30,36.30,13660.00
27/09/2019,36.30,UIC,36.70,38.50,35.85,15430.00
26/09/2019,38.50,UIC,37.50,38.50,37.50,230.00
25/09/2019,39.00,UIC,38.90,39.00,37.15,670.00
24/09/2019,39.00,UIC,38.50,39.00,38.40,400.00
23/09/2019,37.05,UIC,37.05,37.05,37.05,1330.00
20/09/2019,37.05,UIC,39.00,39.95,37.05,2470.00
19/09/2019,38.90,UIC,38.90,38.95,37.50,680.00
18/09/2019,39.30,UIC,39.30,39.30,39.30,50.00
17/09/2019,39.30,UIC,39.30,39.30,39.30,180.00
16/09/2019,38.95,UIC,37.70,38.95,37.50,1640.00
13/09/2019,39.25,UIC,39.00,39.30,39.00,1250.00
12/09/2019,39.30,UIC,37.50,39.30,37.00,990.00
11/09/2019,39.40,UIC,39.40,39.40,39.40,0.00
10/09/2019,39.40,UIC,38.00,39.45,37.50,2530.00
09/09/2019,40.00,UIC,38.20,40.75,38.00,3430.00
06/09/2019,40.80,UIC,40.90,40.90,39.35,1370.00
05/09/2019,41.00,UIC,41.50,41.50,40.00,550.00
04/09/2019,41.00,UIC,38.60,41.25,37.00,20640.00
03/09/2019,38.60,UIC,36.10,38.60,36.00,1030.00
30/08/2019,38.60,UIC,36.80,39.00,36.70,15310.00
29/08/2019,36.80,UIC,36.80,36.80,36.80,540.00
28/08/2019,36.50,UIC,36.00,36.50,35.95,1780.00
27/08/2019,35.30,UIC,35.00,36.80,35.00,780.00
26/08/2019,36.90,UIC,36.10,36.90,36.10,170.00
23/08/2019,36.95,UIC,37.20,37.70,35.20,1150.00
22/08/2019,37.00,UIC,35.15,37.00,35.15,5360.00
21/08/2019,35.20,UIC,34.80,35.20,34.80,1730.00
20/08/2019,35.20,UIC,35.45,35.45,35.20,270.00
19/08/2019,35.20,UIC,34.55,35.20,34.55,20.00
16/08/2019,35.70,UIC,35.00,35.70,34.00,1380.00
15/08/2019,35.70,UIC,34.40,35.70,34.25,3360.00
14/08/2019,35.50,UIC,34.50,35.50,34.00,2370.00
13/08/2019,35.80,UIC,35.30,35.80,34.55,490.00
12/08/2019,35.85,UIC,35.00,36.10,34.60,720.00
09/08/2019,35.35,UIC,35.40,35.40,34.50,2160.00
08/08/2019,35.00,UIC,35.50,35.50,34.85,4050.00
07/08/2019,34.85,UIC,34.90,34.95,34.50,2010.00
06/08/2019,34.90,UIC,34.50,35.40,33.80,14070.00
05/08/2019,35.80,UIC,35.90,36.30,35.80,370.00
02/08/2019,35.85,UIC,34.90,35.95,34.05,9030.00
01/08/2019,34.40,UIC,34.20,35.65,34.20,1320.00
31/07/2019,35.65,UIC,35.70,35.70,34.05,4570.00
30/07/2019,35.70,UIC,35.80,36.00,35.70,910.00
29/07/2019,35.80,UIC,36.40,36.40,34.00,970.00
26/07/2019,36.30,UIC,36.30,36.30,36.30,160.00
25/07/2019,35.95,UIC,35.20,36.40,34.00,10860.00
24/07/2019,36.40,UIC,36.70,36.70,33.85,4110.00
23/07/2019,35.10,UIC,34.90,35.10,34.90,750.00
22/07/2019,34.25,UIC,35.00,36.70,34.25,15100.00
19/07/2019,36.80,UIC,35.00,36.80,35.00,110.00
18/07/2019,36.95,UIC,36.90,36.95,35.10,1380.00
17/07/2019,36.50,UIC,36.40,36.50,35.60,440.00
16/07/2019,35.90,UIC,34.45,35.90,34.45,4350.00
15/07/2019,34.45,UIC,35.40,35.40,33.50,480.00
12/07/2019,34.45,UIC,35.90,35.90,33.00,960.00
11/07/2019,35.45,UIC,36.45,36.45,35.45,100.00
10/07/2019,36.00,UIC,35.40,36.80,34.00,1230.00
09/07/2019,34.50,UIC,34.50,34.50,34.50,10.00
08/07/2019,34.50,UIC,34.45,34.50,34.45,570.00
05/07/2019,34.70,UIC,33.25,36.50,33.25,960.00
04/07/2019,34.25,UIC,34.25,34.25,34.25,80.00
03/07/2019,34.25,UIC,34.00,34.30,34.00,290.00
02/07/2019,34.30,UIC,34.00,34.35,34.00,330.00
01/07/2019,34.30,UIC,34.00,34.30,34.00,600.00
28/06/2019,34.40,UIC,34.40,34.40,34.40,150.00
27/06/2019,34.25,UIC,34.25,34.25,34.25,140.00
26/06/2019,34.35,UIC,34.80,34.80,33.05,350.00
25/06/2019,34.40,UIC,34.40,34.40,34.40,10.00
24/06/2019,34.00,UIC,34.35,34.90,33.70,4140.00
21/06/2019,34.35,UIC,33.60,34.45,33.50,510.00
20/06/2019,34.50,UIC,33.40,34.50,33.40,290.00
19/06/2019,34.45,UIC,33.20,34.45,33.20,360.00
18/06/2019,34.50,UIC,33.00,34.50,33.00,180.00
17/06/2019,34.40,UIC,32.70,34.40,32.60,500.00
14/06/2019,34.10,UIC,32.70,34.15,32.15,260.00
13/06/2019,34.25,UIC,34.25,34.25,33.80,250.00
12/06/2019,34.50,UIC,35.00,35.40,34.50,270.00
11/06/2019,34.50,UIC,34.50,35.50,34.50,270.00
10/06/2019,35.80,UIC,36.00,36.00,34.50,1500.00
07/06/2019,34.80,UIC,34.80,34.80,34.80,0.00
06/06/2019,34.80,UIC,34.00,34.80,34.00,760.00
05/06/2019,34.80,UIC,34.50,34.80,34.50,460.00
04/06/2019,34.30,UIC,34.45,34.45,34.30,80.00
03/06/2019,34.30,UIC,34.45,34.95,33.70,3020.00
31/05/2019,34.45,UIC,33.90,34.95,33.90,20540.00
30/05/2019,33.90,UIC,33.25,34.00,33.25,400.00
29/05/2019,34.80,UIC,34.80,34.80,34.80,80.00
28/05/2019,32.60,UIC,33.20,34.90,32.60,670.00
27/05/2019,34.90,UIC,34.70,34.90,32.90,1970.00
24/05/2019,35.00,UIC,35.00,35.00,35.00,1170.00
23/05/2019,35.00,UIC,35.35,35.35,35.00,540.00
22/05/2019,35.35,UIC,35.65,35.65,34.05,470.00
21/05/2019,35.35,UIC,34.40,35.80,34.25,2420.00
20/05/2019,34.40,UIC,34.10,34.45,34.00,1960.00
17/05/2019,34.10,UIC,35.00,35.00,33.50,28510.00
16/05/2019,36.00,UIC,36.00,36.00,36.00,420.00
15/05/2019,36.95,UIC,36.95,36.95,36.95,40.00
14/05/2019,35.20,UIC,36.00,36.00,35.20,70.00
13/05/2019,35.00,UIC,37.00,37.00,35.00,5220.00
10/05/2019,37.00,UIC,37.00,37.00,37.00,550.00
09/05/2019,37.00,UIC,36.00,37.15,36.00,1580.00
08/05/2019,37.20,UIC,37.20,37.20,37.20,200.00
07/05/2019,37.20,UIC,37.95,37.95,35.10,300.00
06/05/2019,37.30,UIC,36.70,37.50,35.10,800.00
03/05/2019,36.70,UIC,36.70,36.70,36.70,10.00
02/05/2019,36.20,UIC,38.90,38.90,36.20,1140.00
26/04/2019,38.90,UIC,34.50,38.90,34.45,7610.00
25/04/2019,37.00,UIC,36.00,38.20,33.80,14500.00
24/04/2019,36.30,UIC,36.30,36.30,36.30,180.00
23/04/2019,35.30,UIC,35.40,35.40,34.00,1640.00
22/04/2019,35.40,UIC,35.10,35.95,35.10,190.00
19/04/2019,35.20,UIC,35.20,35.40,35.00,2630.00
18/04/2019,35.45,UIC,35.95,35.95,33.30,160.00
17/04/2019,35.00,UIC,35.80,35.80,35.00,12430.00
16/04/2019,35.80,UIC,35.30,35.80,35.30,120.00
12/04/2019,34.95,UIC,33.15,35.20,33.15,280.00
11/04/2019,35.20,UIC,35.40,35.40,33.00,4120.00
10/04/2019,35.00,UIC,33.30,35.00,32.95,680.00
09/04/2019,35.00,UIC,33.00,36.50,32.90,13920.00
08/04/2019,35.00,UIC,33.90,35.00,33.00,3530.00
05/04/2019,33.90,UIC,34.40,34.40,31.20,600.00
04/04/2019,32.65,UIC,35.00,35.50,32.60,300.00
03/04/2019,35.00,UIC,35.00,35.00,35.00,670.00
02/04/2019,35.00,UIC,35.00,35.00,35.00,900.00
01/04/2019,35.00,UIC,35.85,35.95,33.10,1630.00
29/03/2019,35.50,UIC,33.00,35.60,33.00,9030.00
28/03/2019,34.80,UIC,33.25,34.80,33.25,1000.00
27/03/2019,33.70,UIC,33.75,35.30,33.00,9100.00
26/03/2019,33.80,UIC,33.95,33.95,32.05,11680.00
25/03/2019,34.00,UIC,32.80,35.90,32.40,7390.00
22/03/2019,34.70,UIC,32.80,34.80,32.60,5200.00
21/03/2019,35.00,UIC,32.60,36.00,32.60,11510.00
20/03/2019,35.00,UIC,35.30,36.30,35.00,230.00
19/03/2019,35.30,UIC,34.40,35.40,34.40,510.00
18/03/2019,34.00,UIC,32.90,34.40,32.90,85100.00
15/03/2019,32.90,UIC,32.00,33.00,31.70,460.00
14/03/2019,33.50,UIC,32.70,33.50,32.70,460.00
13/03/2019,32.65,UIC,32.70,32.70,31.00,4410.00
12/03/2019,32.40,UIC,31.50,32.70,31.50,3080.00
11/03/2019,32.85,UIC,33.00,33.30,31.50,1570.00
08/03/2019,32.95,UIC,32.50,33.40,31.50,1810.00
07/03/2019,32.50,UIC,33.70,33.70,31.00,14590.00
06/03/2019,31.90,UIC,31.90,33.95,31.90,22690.00
05/03/2019,31.90,UIC,32.50,34.25,31.90,30040.00
04/03/2019,34.25,UIC,34.25,34.25,34.25,0.00
01/03/2019,34.25,UIC,34.80,34.80,32.05,15110.00
28/02/2019,34.30,UIC,32.30,34.40,32.00,2230.00
27/02/2019,33.90,UIC,32.05,34.35,31.95,11820.00
26/02/2019,34.35,UIC,34.00,34.40,34.00,100.00
25/02/2019,32.20,UIC,34.90,34.90,32.20,40.00
22/02/2019,34.50,UIC,34.50,35.50,34.00,410.00
21/02/2019,34.50,UIC,35.00,35.00,33.00,580.00
20/02/2019,35.00,UIC,33.55,35.00,33.35,640.00
19/02/2019,35.85,UIC,34.30,35.85,34.30,9800.00
18/02/2019,34.30,UIC,36.00,36.00,33.50,1510.00
15/02/2019,36.00,UIC,36.00,36.00,36.00,20.00
14/02/2019,35.50,UIC,35.80,35.80,33.05,10030.00
13/02/2019,35.50,UIC,33.70,35.50,33.00,51390.00
12/02/2019,33.70,UIC,33.00,34.70,33.00,12220.00
11/02/2019,33.00,UIC,34.90,34.90,33.00,2760.00
01/02/2019,34.90,UIC,32.75,34.90,32.75,5950.00
31/01/2019,32.75,UIC,31.90,33.40,31.80,19300.00
30/01/2019,31.90,UIC,30.00,32.00,30.00,8640.00
29/01/2019,30.00,UIC,29.50,30.30,29.50,8320.00
28/01/2019,29.50,UIC,29.00,29.60,29.00,4730.00
25/01/2019,29.80,UIC,29.80,29.80,28.50,21580.00
24/01/2019,29.15,UIC,28.90,29.30,28.00,4590.00
23/01/2019,27.55,UIC,28.70,29.00,27.55,22680.00
22/01/2019,27.50,UIC,29.05,29.70,27.30,23180.00
21/01/2019,29.35,UIC,29.00,29.80,28.10,3130.00
18/01/2019,29.40,UIC,29.70,29.70,28.90,5040.00
17/01/2019,29.40,UIC,29.05,29.80,29.05,590.00
16/01/2019,29.80,UIC,29.05,29.80,29.05,130.00
15/01/2019,29.65,UIC,29.00,29.65,29.00,5610.00
14/01/2019,29.80,UIC,30.00,30.00,29.10,80.00
11/01/2019,29.35,UIC,29.90,29.90,29.00,3410.00
10/01/2019,29.35,UIC,29.50,29.50,29.00,9330.00
09/01/2019,29.50,UIC,29.90,29.90,29.00,1290.00
08/01/2019,29.10,UIC,29.00,29.95,29.00,4560.00
07/01/2019,29.00,UIC,29.80,29.80,29.00,70.00
04/01/2019,28.90,UIC,29.30,29.30,28.70,4280.00
03/01/2019,28.90,UIC,30.00,30.00,28.90,20810.00
02/01/2019,29.40,UIC,29.85,29.85,29.00,2730.00
28/12/2018,29.85,UIC,29.05,29.95,29.00,940.00
27/12/2018,29.90,UIC,29.95,29.95,29.05,1020.00
26/12/2018,30.00,UIC,29.90,30.45,29.00,990.00
25/12/2018,29.90,UIC,29.25,30.20,29.25,2080.00
24/12/2018,31.40,UIC,31.40,31.40,31.40,0.00
21/12/2018,31.40,UIC,31.40,31.40,31.40,230.00
20/12/2018,30.00,UIC,30.00,30.00,30.00,0.00
19/12/2018,30.00,UIC,29.35,31.10,29.35,2210.00
18/12/2018,31.50,UIC,31.00,31.80,29.00,210.00
17/12/2018,31.00,UIC,32.50,32.50,29.25,110.00
14/12/2018,30.75,UIC,31.45,31.45,29.40,980.00
13/12/2018,30.90,UIC,30.90,30.90,30.90,10.00
12/12/2018,31.30,UIC,31.65,31.65,29.80,240.00
11/12/2018,31.05,UIC,31.30,31.30,30.90,1530.00
10/12/2018,31.00,UIC,30.00,31.00,30.00,11140.00
07/12/2018,31.00,UIC,31.20,31.45,29.70,44880.00
06/12/2018,30.95,UIC,29.65,31.00,29.65,25220.00
05/12/2018,31.00,UIC,30.00,31.00,30.00,1070.00
04/12/2018,31.20,UIC,29.20,31.20,29.15,15060.00
03/12/2018,31.25,UIC,31.40,31.40,30.90,240.00
30/11/2018,30.90,UIC,30.85,30.90,30.75,17860.00
29/11/2018,30.50,UIC,29.95,30.60,29.10,19520.00
28/11/2018,29.10,UIC,29.10,29.10,29.10,20.00
27/11/2018,30.00,UIC,29.95,30.15,29.95,3510.00
26/11/2018,29.70,UIC,28.80,29.70,28.80,260.00
23/11/2018,28.80,UIC,28.80,28.80,28.80,10.00
22/11/2018,29.90,UIC,29.95,29.95,29.00,17010.00
21/11/2018,29.50,UIC,29.50,29.50,29.50,0.00
20/11/2018,29.50,UIC,29.10,29.90,28.80,17570.00
19/11/2018,30.00,UIC,30.00,30.05,29.05,3700.00
16/11/2018,30.05,UIC,30.05,30.05,30.05,30.00
15/11/2018,30.05,UIC,30.05,30.05,30.05,0.00
14/11/2018,30.05,UIC,30.05,30.05,29.50,150.00
13/11/2018,30.05,UIC,30.05,30.05,29.50,1010.00
12/11/2018,29.05,UIC,30.20,30.35,29.05,90.00
09/11/2018,30.10,UIC,29.50,30.35,29.00,9000.00
08/11/2018,30.10,UIC,30.10,30.10,30.05,13150.00
07/11/2018,30.10,UIC,30.30,30.30,29.50,12790.00
06/11/2018,30.00,UIC,29.50,30.00,29.50,24020.00
05/11/2018,30.00,UIC,30.35,30.35,30.00,530.00
02/11/2018,30.10,UIC,30.10,30.10,30.10,0.00
01/11/2018,30.10,UIC,29.00,30.10,29.00,6990.00
31/10/2018,30.20,UIC,29.85,30.20,29.85,26140.00
30/10/2018,29.85,UIC,28.60,30.00,28.60,33920.00
29/10/2018,28.50,UIC,28.50,29.00,28.50,11260.00
26/10/2018,29.15,UIC,28.00,29.40,28.00,3020.00
25/10/2018,28.10,UIC,29.30,29.30,28.10,3200.00
24/10/2018,29.35,UIC,28.05,29.70,28.05,4500.00
23/10/2018,28.55,UIC,29.80,29.80,28.55,12600.00
22/10/2018,28.55,UIC,29.00,29.00,27.50,15870.00
19/10/2018,28.55,UIC,28.05,29.00,27.90,31840.00
18/10/2018,30.00,UIC,31.05,31.05,30.00,3910.00
17/10/2018,29.35,UIC,28.50,29.35,28.50,29230.00
16/10/2018,27.45,UIC,25.90,27.50,25.90,35640.00
15/10/2018,25.90,UIC,26.30,26.30,25.20,360.00
12/10/2018,25.75,UIC,26.10,26.10,25.50,1420.00
11/10/2018,25.75,UIC,26.40,26.40,25.20,4120.00
10/10/2018,26.30,UIC,26.50,26.50,26.00,4130.00
09/10/2018,26.05,UIC,26.30,26.30,26.05,1730.00
08/10/2018,26.10,UIC,26.40,26.40,26.05,1330.00
05/10/2018,26.20,UIC,26.25,26.25,26.05,7190.00
04/10/2018,26.20,UIC,26.00,26.20,26.00,6180.00
03/10/2018,26.20,UIC,26.30,26.30,26.00,1030.00
02/10/2018,26.20,UIC,26.00,26.40,26.00,3520.00
01/10/2018,26.30,UIC,26.00,26.40,25.80,3330.00
28/09/2018,26.00,UIC,26.00,26.50,26.00,120.00
27/09/2018,25.85,UIC,26.30,26.95,25.65,2390.00
26/09/2018,25.70,UIC,25.70,25.70,25.50,19170.00
25/09/2018,25.55,UIC,25.75,25.85,25.50,9840.00
24/09/2018,25.50,UIC,25.85,25.85,25.00,11160.00
21/09/2018,25.90,UIC,25.90,26.10,25.40,1450.00
20/09/2018,25.80,UIC,25.80,25.90,25.75,1170.00
19/09/2018,25.20,UIC,25.80,25.80,25.20,8590.00
18/09/2018,25.45,UIC,25.85,25.85,25.45,1960.00
17/09/2018,25.40,UIC,25.95,25.95,25.00,8010.00
14/09/2018,25.45,UIC,25.20,25.45,25.10,27490.00
13/09/2018,25.35,UIC,25.30,25.35,25.20,340.00
12/09/2018,25.30,UIC,26.20,26.20,24.90,28090.00
11/09/2018,25.20,UIC,25.15,25.20,25.15,3320.00
10/09/2018,25.15,UIC,25.15,25.50,25.15,650.00
07/09/2018,25.70,UIC,25.25,25.70,25.00,28910.00
06/09/2018,25.70,UIC,25.85,25.85,25.20,160.00
05/09/2018,25.65,UIC,25.95,25.95,25.10,1680.00
04/09/2018,25.75,UIC,25.15,25.75,25.15,310.00
31/08/2018,25.70,UIC,25.10,25.70,25.00,7170.00
30/08/2018,25.80,UIC,25.80,25.80,25.80,0.00
29/08/2018,25.80,UIC,25.80,25.80,25.80,0.00
28/08/2018,25.80,UIC,25.00,25.85,25.00,9010.00
27/08/2018,25.90,UIC,25.15,25.90,25.15,200.00
24/08/2018,25.95,UIC,26.00,26.00,25.20,70.00
23/08/2018,25.50,UIC,25.20,26.20,25.20,12990.00
22/08/2018,25.80,UIC,25.20,25.80,25.20,7220.00
21/08/2018,25.80,UIC,26.00,26.00,25.15,650.00
20/08/2018,26.05,UIC,26.25,26.25,25.25,1170.00
17/08/2018,25.25,UIC,26.15,26.15,25.25,30.00
16/08/2018,25.25,UIC,26.20,26.20,25.25,520.00
15/08/2018,26.20,UIC,26.35,26.40,25.05,8680.00
14/08/2018,26.00,UIC,26.20,26.20,25.25,870.00
13/08/2018,25.95,UIC,25.20,25.95,25.20,300.00
10/08/2018,26.30,UIC,25.95,26.30,25.10,7560.00
