DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,3.70,UNI,3.50,3.70,3.50,1400.00
10/01/2020,3.70,UNI,3.70,3.70,3.70,0.00
09/01/2020,3.70,UNI,3.70,3.70,3.70,0.00
08/01/2020,3.70,UNI,3.70,3.70,3.70,0.00
07/01/2020,3.70,UNI,3.70,3.70,3.70,0.00
06/01/2020,3.70,UNI,3.70,3.70,3.70,1000.00
03/01/2020,3.80,UNI,3.90,3.90,3.60,5400.00
02/01/2020,3.70,UNI,3.70,3.70,3.70,48.00
31/12/2019,3.70,UNI,4.00,4.00,3.50,20960.00
30/12/2019,3.80,UNI,3.80,3.80,3.60,22900.00
27/12/2019,3.90,UNI,3.90,3.90,3.80,26600.00
26/12/2019,4.20,UNI,4.30,4.30,4.10,2100.00
25/12/2019,4.00,UNI,4.20,4.20,4.00,73540.00
24/12/2019,4.40,UNI,4.20,4.40,4.00,15200.00
23/12/2019,4.30,UNI,4.30,4.40,4.00,18901.00
20/12/2019,4.40,UNI,4.40,4.40,4.40,2800.00
19/12/2019,4.50,UNI,4.50,4.50,4.50,0.00
18/12/2019,4.50,UNI,4.50,4.50,4.50,1000.00
17/12/2019,4.40,UNI,4.40,4.40,4.40,1300.00
16/12/2019,4.40,UNI,4.40,4.40,4.40,2000.00
13/12/2019,4.50,UNI,4.50,4.50,4.50,500.00
12/12/2019,4.50,UNI,4.90,4.90,4.50,1100.00
11/12/2019,4.50,UNI,4.40,4.50,4.30,9100.00
10/12/2019,4.40,UNI,4.40,4.40,4.40,2100.00
09/12/2019,4.50,UNI,4.50,4.80,4.50,4300.00
06/12/2019,4.60,UNI,4.60,5.00,4.60,608.00
05/12/2019,4.80,UNI,4.80,4.80,4.80,300.00
04/12/2019,4.60,UNI,5.00,5.00,4.60,2100.00
03/12/2019,4.60,UNI,4.50,5.00,4.40,1852.00
02/12/2019,4.70,UNI,4.70,4.70,4.70,0.00
29/11/2019,4.70,UNI,4.70,4.70,4.70,0.00
28/11/2019,4.70,UNI,4.70,4.70,4.70,0.00
27/11/2019,4.70,UNI,4.50,4.70,4.50,1800.00
26/11/2019,4.70,UNI,4.70,4.70,4.70,5700.00
25/11/2019,4.80,UNI,4.70,4.90,4.70,3500.00
