DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,9.77,VAF,9.77,9.77,9.77,10.00
10/01/2020,10.50,VAF,10.90,10.90,10.50,28640.00
09/01/2020,10.20,VAF,11.50,11.50,10.20,20.00
08/01/2020,10.95,VAF,10.95,10.95,10.95,10.00
07/01/2020,10.25,VAF,10.25,10.25,10.25,0.00
06/01/2020,10.25,VAF,10.25,10.25,10.25,50.00
03/01/2020,9.61,VAF,10.30,10.90,9.58,40.00
02/01/2020,10.30,VAF,10.30,10.30,10.30,100.00
31/12/2019,9.64,VAF,9.64,9.64,9.64,560.00
30/12/2019,9.01,VAF,9.01,9.01,9.01,0.00
27/12/2019,9.01,VAF,9.01,9.01,9.01,0.00
26/12/2019,9.01,VAF,9.01,10.20,9.01,40.00
25/12/2019,9.56,VAF,9.56,9.56,9.56,10.00
24/12/2019,8.94,VAF,8.94,8.94,8.94,0.00
23/12/2019,8.94,VAF,8.94,8.94,8.94,0.00
20/12/2019,8.94,VAF,8.94,8.94,8.94,60.00
19/12/2019,8.94,VAF,9.60,8.94,8.94,10.00
18/12/2019,9.60,VAF,9.60,9.60,9.60,0.00
17/12/2019,9.60,VAF,9.60,9.60,9.60,10.00
16/12/2019,10.00,VAF,10.00,10.00,10.00,0.00
13/12/2019,10.00,VAF,10.00,10.00,10.00,170.00
12/12/2019,9.73,VAF,9.73,9.73,9.73,10.00
11/12/2019,10.20,VAF,10.20,10.20,10.20,0.00
10/12/2019,10.20,VAF,10.20,10.20,10.20,730.00
09/12/2019,9.66,VAF,9.66,9.66,9.66,0.00
06/12/2019,9.66,VAF,9.66,9.66,9.66,10.00
05/12/2019,9.66,VAF,9.66,9.66,9.66,0.00
04/12/2019,9.66,VAF,9.66,9.66,9.66,0.00
03/12/2019,9.66,VAF,9.66,9.66,9.66,0.00
02/12/2019,9.66,VAF,9.66,9.66,9.66,10.00
29/11/2019,10.25,VAF,10.25,10.25,10.25,0.00
28/11/2019,10.25,VAF,10.25,10.25,10.25,7800.00
27/11/2019,9.67,VAF,9.67,9.67,9.67,0.00
26/11/2019,9.67,VAF,9.67,9.67,9.67,0.00
25/11/2019,9.67,VAF,10.35,10.35,9.67,70.00
22/11/2019,9.70,VAF,9.70,9.70,9.70,10.00
21/11/2019,10.35,VAF,10.35,10.35,10.35,11030.00
20/11/2019,9.68,VAF,9.68,9.68,9.68,100.00
19/11/2019,9.05,VAF,9.05,9.05,9.05,10.00
18/11/2019,9.59,VAF,9.59,9.59,9.59,10.00
15/11/2019,8.97,VAF,8.97,8.97,8.97,0.00
14/11/2019,8.97,VAF,8.97,8.97,8.97,0.00
13/11/2019,8.97,VAF,8.97,8.97,8.97,0.00
12/11/2019,8.97,VAF,8.97,8.97,8.97,0.00
11/11/2019,8.97,VAF,8.97,8.97,8.97,0.00
08/11/2019,8.97,VAF,8.97,8.97,8.97,0.00
07/11/2019,8.97,VAF,8.97,8.97,8.97,0.00
06/11/2019,8.97,VAF,9.57,9.57,8.97,110.00
05/11/2019,8.95,VAF,8.95,8.95,8.95,0.00
04/11/2019,8.95,VAF,8.95,8.95,8.95,0.00
01/11/2019,8.95,VAF,8.95,8.95,8.95,0.00
31/10/2019,8.95,VAF,9.98,9.98,8.95,60.00
30/10/2019,9.33,VAF,9.33,9.33,9.33,0.00
29/10/2019,9.33,VAF,9.33,9.33,9.33,0.00
28/10/2019,9.33,VAF,9.33,9.33,9.33,0.00
25/10/2019,9.33,VAF,9.33,9.33,9.33,0.00
24/10/2019,9.33,VAF,9.33,9.33,9.33,0.00
23/10/2019,9.33,VAF,9.33,9.33,9.33,0.00
22/10/2019,9.33,VAF,9.33,9.33,9.33,0.00
21/10/2019,9.33,VAF,9.33,9.33,9.33,0.00
18/10/2019,9.33,VAF,9.33,9.33,9.33,20.00
17/10/2019,9.62,VAF,9.62,9.62,9.62,20.00
16/10/2019,10.25,VAF,10.25,10.25,10.25,290.00
15/10/2019,10.85,VAF,10.85,10.85,9.60,280.00
14/10/2019,10.15,VAF,11.35,11.35,10.15,20.00
11/10/2019,10.85,VAF,9.52,10.85,9.52,20.00
10/10/2019,10.15,VAF,9.99,10.15,9.99,5160.00
09/10/2019,9.51,VAF,10.40,10.40,9.51,250.00
08/10/2019,9.74,VAF,10.15,10.15,9.74,30.00
07/10/2019,9.50,VAF,9.50,9.50,9.50,0.00
04/10/2019,9.50,VAF,9.50,9.50,9.50,260.00
03/10/2019,9.70,VAF,9.71,9.71,9.70,130.00
02/10/2019,9.72,VAF,9.72,9.72,9.72,0.00
01/10/2019,9.72,VAF,9.72,9.72,9.72,0.00
30/09/2019,9.72,VAF,9.72,9.72,9.72,0.00
27/09/2019,9.72,VAF,9.60,9.72,9.60,20.00
26/09/2019,9.82,VAF,10.75,10.75,9.82,110.00
25/09/2019,10.05,VAF,10.05,10.05,10.05,0.00
24/09/2019,10.05,VAF,10.05,10.05,10.05,10.00
23/09/2019,10.50,VAF,11.10,11.15,10.50,13410.00
20/09/2019,10.60,VAF,10.60,10.60,10.60,10.00
19/09/2019,10.45,VAF,10.45,10.45,10.45,0.00
18/09/2019,10.45,VAF,10.45,10.45,10.45,10.00
17/09/2019,9.81,VAF,9.81,9.81,9.81,0.00
16/09/2019,9.81,VAF,9.81,9.81,9.81,0.00
13/09/2019,9.81,VAF,10.70,10.70,9.81,230.00
12/09/2019,10.00,VAF,10.00,10.00,10.00,0.00
11/09/2019,10.00,VAF,10.00,10.00,10.00,0.00
10/09/2019,10.00,VAF,10.00,10.00,10.00,0.00
09/09/2019,10.00,VAF,10.00,10.00,10.00,0.00
06/09/2019,10.00,VAF,10.00,10.00,10.00,10.00
05/09/2019,10.30,VAF,10.30,10.30,10.30,0.00
04/09/2019,10.30,VAF,10.30,10.30,10.30,0.00
03/09/2019,10.30,VAF,10.30,10.60,10.30,5410.00
30/08/2019,9.91,VAF,9.91,9.91,9.91,10.00
29/08/2019,10.05,VAF,10.05,10.05,10.05,0.00
28/08/2019,10.05,VAF,10.05,10.05,10.05,10.00
27/08/2019,10.40,VAF,10.40,10.40,10.40,10.00
26/08/2019,10.55,VAF,10.55,10.55,10.55,4080.00
23/08/2019,9.90,VAF,9.90,9.90,9.90,20.00
22/08/2019,10.35,VAF,10.40,10.40,10.35,940.00
21/08/2019,11.10,VAF,11.10,11.10,11.10,70.00
20/08/2019,10.40,VAF,10.40,10.40,10.40,10.00
19/08/2019,11.00,VAF,10.90,11.00,10.90,70.00
16/08/2019,11.00,VAF,10.55,11.10,10.55,440.00
15/08/2019,10.40,VAF,10.40,10.40,10.40,520.00
14/08/2019,9.72,VAF,9.71,10.80,9.71,1620.00
13/08/2019,10.30,VAF,10.75,10.75,10.30,980.00
12/08/2019,10.05,VAF,10.05,10.05,10.05,10.00
09/08/2019,10.80,VAF,10.80,10.90,10.80,2840.00
08/08/2019,11.60,VAF,10.90,11.60,10.90,130.00
07/08/2019,10.90,VAF,10.90,10.90,10.20,1060.00
06/08/2019,10.20,VAF,10.85,10.85,10.15,12090.00
05/08/2019,10.15,VAF,10.15,10.15,10.15,8800.00
02/08/2019,9.50,VAF,10.35,10.35,9.50,25690.00
01/08/2019,9.70,VAF,9.70,9.70,9.70,20.00
31/07/2019,10.40,VAF,10.40,10.40,10.40,0.00
30/07/2019,10.40,VAF,10.40,10.40,10.40,0.00
29/07/2019,10.40,VAF,11.00,11.00,10.40,800.00
26/07/2019,10.40,VAF,10.40,10.40,10.40,10.00
25/07/2019,10.85,VAF,10.30,10.85,10.30,120.00
24/07/2019,10.85,VAF,10.85,10.85,10.85,10.00
23/07/2019,10.30,VAF,10.30,10.30,10.30,0.00
22/07/2019,10.30,VAF,10.30,10.30,10.30,0.00
19/07/2019,10.30,VAF,10.30,10.30,10.30,0.00
18/07/2019,10.30,VAF,10.30,10.30,10.30,20.00
17/07/2019,9.65,VAF,9.65,9.65,9.65,10.00
16/07/2019,10.30,VAF,10.30,10.30,10.30,0.00
