DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,17.20,VC3,17.20,17.40,17.20,192100.00
10/01/2020,17.20,VC3,17.20,17.50,17.20,188950.00
09/01/2020,17.30,VC3,16.90,17.40,16.70,216205.00
08/01/2020,17.00,VC3,16.40,17.00,16.40,160880.00
07/01/2020,16.50,VC3,16.40,16.50,16.30,141400.00
06/01/2020,16.50,VC3,16.40,16.50,16.30,84900.00
03/01/2020,16.50,VC3,16.40,16.50,16.30,86280.00
02/01/2020,16.50,VC3,16.40,16.50,16.30,141105.00
31/12/2019,16.50,VC3,16.50,16.50,16.40,128200.00
30/12/2019,16.60,VC3,16.50,16.60,16.50,219305.00
27/12/2019,16.60,VC3,16.50,16.60,16.40,155330.00
26/12/2019,16.60,VC3,16.50,16.60,16.40,177500.00
25/12/2019,16.60,VC3,16.50,16.60,16.40,339984.00
24/12/2019,16.60,VC3,16.40,16.60,16.20,205815.00
23/12/2019,16.50,VC3,17.00,17.10,16.40,209895.00
20/12/2019,17.10,VC3,17.40,17.50,17.10,308740.00
19/12/2019,17.50,VC3,17.50,17.80,17.30,348506.00
18/12/2019,17.60,VC3,17.50,17.90,17.40,450100.00
17/12/2019,17.60,VC3,16.80,17.80,16.80,342710.00
16/12/2019,16.80,VC3,16.90,17.00,16.60,172400.00
13/12/2019,17.00,VC3,16.70,17.00,16.70,159100.00
12/12/2019,16.80,VC3,16.70,16.80,16.60,89600.00
11/12/2019,16.80,VC3,16.70,16.80,16.70,49200.00
10/12/2019,16.80,VC3,16.80,16.80,16.60,107200.00
09/12/2019,16.90,VC3,16.80,16.90,16.70,145100.00
06/12/2019,16.90,VC3,16.90,17.00,16.60,113700.00
05/12/2019,16.90,VC3,17.00,17.10,16.70,140530.00
04/12/2019,17.00,VC3,17.10,17.20,17.00,120400.00
03/12/2019,17.10,VC3,17.20,17.30,17.00,162430.00
02/12/2019,17.20,VC3,17.30,17.50,17.20,183700.00
29/11/2019,17.40,VC3,17.30,17.40,17.10,227600.00
28/11/2019,17.40,VC3,17.40,17.50,17.20,206900.00
27/11/2019,17.50,VC3,17.30,17.50,17.30,205330.00
26/11/2019,17.50,VC3,17.40,17.50,17.20,171500.00
25/11/2019,17.50,VC3,17.40,17.50,17.20,183000.00
22/11/2019,17.50,VC3,17.40,17.50,17.30,208400.00
21/11/2019,17.60,VC3,17.20,17.60,17.20,243600.00
20/11/2019,17.20,VC3,17.50,17.70,17.20,213910.00
19/11/2019,17.60,VC3,17.50,17.60,17.40,243800.00
18/11/2019,17.60,VC3,17.40,17.60,17.40,263600.00
15/11/2019,17.60,VC3,17.20,17.70,17.20,315420.00
14/11/2019,17.40,VC3,17.40,17.50,17.10,209500.00
13/11/2019,17.60,VC3,18.00,18.10,17.10,367540.00
12/11/2019,18.20,VC3,18.20,18.30,17.70,347290.00
11/11/2019,18.30,VC3,17.60,18.30,17.60,390746.00
08/11/2019,17.70,VC3,16.70,17.70,16.70,376520.00
07/11/2019,25.50,VC3,24.10,25.50,23.90,409005.00
06/11/2019,24.20,VC3,24.00,24.20,23.80,282200.00
05/11/2019,24.10,VC3,24.30,24.50,23.70,365700.00
04/11/2019,24.50,VC3,24.50,24.60,24.20,287320.00
01/11/2019,24.40,VC3,24.10,24.60,24.10,270700.00
31/10/2019,24.30,VC3,24.10,24.50,24.10,254300.00
30/10/2019,24.20,VC3,24.10,24.30,24.00,289600.00
29/10/2019,24.10,VC3,24.10,24.40,24.10,259075.00
28/10/2019,24.10,VC3,24.00,24.40,24.00,255900.00
25/10/2019,24.10,VC3,24.00,24.30,23.90,275140.00
24/10/2019,24.10,VC3,23.80,24.40,23.60,271675.00
23/10/2019,23.90,VC3,24.10,24.10,23.80,295720.00
22/10/2019,24.20,VC3,24.20,24.30,23.90,317610.00
21/10/2019,24.30,VC3,24.40,24.60,24.20,289100.00
18/10/2019,24.50,VC3,24.50,24.80,24.40,329200.00
17/10/2019,24.60,VC3,24.50,24.80,24.40,300700.00
16/10/2019,24.60,VC3,24.50,24.90,24.50,312700.00
15/10/2019,24.50,VC3,24.50,24.60,24.20,337340.00
14/10/2019,24.50,VC3,23.90,25.00,23.90,411314.00
11/10/2019,23.90,VC3,23.60,23.90,23.60,316210.00
10/10/2019,23.80,VC3,23.50,23.80,23.10,321710.00
09/10/2019,23.60,VC3,23.40,23.70,23.40,283130.00
08/10/2019,23.50,VC3,23.40,23.70,23.30,239200.00
07/10/2019,23.50,VC3,23.30,23.70,23.30,251951.00
04/10/2019,23.40,VC3,23.10,23.60,23.10,217530.00
03/10/2019,23.20,VC3,23.10,23.20,23.10,216400.00
02/10/2019,23.20,VC3,23.20,23.30,23.10,265900.00
01/10/2019,23.30,VC3,23.10,23.30,23.00,237200.00
30/09/2019,23.20,VC3,23.10,23.30,23.10,269500.00
27/09/2019,23.20,VC3,23.10,23.20,23.10,381700.00
26/09/2019,23.20,VC3,23.20,23.40,23.00,252920.00
25/09/2019,23.30,VC3,23.10,23.30,23.10,232500.00
24/09/2019,23.20,VC3,23.30,23.30,23.20,204200.00
23/09/2019,23.40,VC3,23.30,23.50,23.30,225300.00
20/09/2019,23.40,VC3,23.10,23.40,23.10,224110.00
19/09/2019,23.20,VC3,22.70,23.20,22.70,243700.00
18/09/2019,22.80,VC3,22.60,22.90,22.60,229700.00
17/09/2019,22.70,VC3,22.60,22.70,22.50,218228.00
16/09/2019,22.60,VC3,22.60,22.70,22.60,250920.00
13/09/2019,22.60,VC3,22.60,22.70,22.50,125700.00
12/09/2019,22.70,VC3,22.60,22.70,22.50,121905.00
11/09/2019,22.60,VC3,22.60,22.60,22.50,117400.00
10/09/2019,22.60,VC3,22.60,22.70,22.40,148700.00
09/09/2019,22.60,VC3,22.50,22.70,22.50,164800.00
06/09/2019,22.50,VC3,22.70,22.80,22.50,175710.00
05/09/2019,22.70,VC3,22.70,22.70,22.60,119108.00
04/09/2019,22.70,VC3,22.70,22.70,22.50,133700.00
03/09/2019,22.70,VC3,22.70,22.70,22.60,153100.00
30/08/2019,22.70,VC3,22.70,22.80,22.60,151300.00
29/08/2019,22.70,VC3,22.70,22.80,22.60,165125.00
28/08/2019,22.70,VC3,22.70,22.70,22.60,125200.00
27/08/2019,22.70,VC3,22.70,22.80,22.60,170400.00
26/08/2019,22.70,VC3,22.70,22.70,22.50,164400.00
23/08/2019,22.80,VC3,22.80,23.00,22.70,145200.00
22/08/2019,22.90,VC3,22.80,23.00,22.70,200421.00
21/08/2019,22.90,VC3,22.80,22.90,22.80,166084.00
20/08/2019,22.90,VC3,22.70,23.00,22.70,158710.00
19/08/2019,22.80,VC3,22.70,22.90,22.60,174269.00
16/08/2019,22.80,VC3,22.70,22.80,22.60,156100.00
15/08/2019,22.70,VC3,22.70,22.70,22.50,154200.00
