DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,56.00,VCP,56.00,56.00,56.00,0.00
10/01/2020,56.00,VCP,56.00,56.00,56.00,0.00
09/01/2020,56.00,VCP,56.00,56.00,56.00,0.00
08/01/2020,56.00,VCP,56.00,56.00,56.00,0.00
07/01/2020,56.00,VCP,56.00,56.00,56.00,100.00
06/01/2020,56.00,VCP,56.00,56.00,56.00,100.00
03/01/2020,58.00,VCP,58.00,58.00,58.00,24.00
02/01/2020,58.00,VCP,58.00,58.00,58.00,100.00
31/12/2019,54.60,VCP,53.00,58.00,53.00,17300.00
30/12/2019,50.00,VCP,55.00,56.40,50.00,10200.00
27/12/2019,50.00,VCP,50.00,50.00,50.00,100.00
26/12/2019,54.90,VCP,54.90,54.90,54.90,0.00
25/12/2019,54.90,VCP,54.90,54.90,54.90,100.00
24/12/2019,51.00,VCP,50.90,51.00,50.90,407.00
23/12/2019,55.00,VCP,55.00,55.00,55.00,100.00
20/12/2019,56.50,VCP,56.50,56.50,56.50,2013.00
19/12/2019,58.00,VCP,53.50,58.00,53.50,2027.00
18/12/2019,51.00,VCP,44.00,51.00,44.00,5315.00
17/12/2019,45.20,VCP,45.60,45.60,45.00,5510.00
16/12/2019,48.20,VCP,48.00,48.20,48.00,1100.00
13/12/2019,53.50,VCP,53.50,53.50,50.20,24200.00
12/12/2019,59.00,VCP,59.00,59.00,59.00,4840.00
11/12/2019,53.00,VCP,54.00,59.00,53.00,9105.00
10/12/2019,54.00,VCP,55.00,55.30,54.00,3426.00
09/12/2019,54.30,VCP,55.50,55.50,54.30,1300.00
06/12/2019,54.50,VCP,56.00,56.00,54.00,12600.00
05/12/2019,56.00,VCP,55.50,56.50,55.50,2160.00
04/12/2019,55.70,VCP,55.50,55.70,55.50,310.00
03/12/2019,61.10,VCP,54.60,61.10,54.60,231.00
02/12/2019,62.80,VCP,54.50,62.80,54.50,300.00
29/11/2019,56.10,VCP,53.20,58.50,53.20,12498.00
28/11/2019,55.80,VCP,59.00,59.00,54.00,25003.00
27/11/2019,64.00,VCP,56.60,65.20,55.50,61503.00
26/11/2019,65.10,VCP,65.00,65.20,64.80,12050.00
25/11/2019,65.10,VCP,64.70,65.20,64.70,42300.00
22/11/2019,65.00,VCP,64.90,65.20,64.50,78519.00
21/11/2019,64.90,VCP,65.00,65.20,64.90,21453.00
20/11/2019,65.00,VCP,65.10,65.50,64.80,30957.00
19/11/2019,65.20,VCP,64.60,65.50,64.50,57563.00
18/11/2019,65.00,VCP,64.60,65.50,64.60,28740.00
15/11/2019,65.00,VCP,65.00,65.10,64.90,13600.00
14/11/2019,65.50,VCP,64.40,68.00,64.20,89250.00
13/11/2019,65.00,VCP,62.30,65.00,62.30,48200.00
12/11/2019,65.30,VCP,64.00,67.00,53.70,168818.00
11/11/2019,63.30,VCP,62.80,64.00,62.80,104906.00
08/11/2019,58.70,VCP,58.70,58.70,58.70,142110.00
07/11/2019,51.10,VCP,51.10,51.10,51.10,10750.00
06/11/2019,53.20,VCP,42.00,53.20,39.40,328780.00
05/11/2019,49.40,VCP,46.00,49.40,45.00,85336.00
04/11/2019,43.20,VCP,44.00,47.30,41.20,47940.00
01/11/2019,43.00,VCP,40.50,43.00,40.50,20600.00
31/10/2019,40.50,VCP,39.90,40.50,39.90,11013.00
30/10/2019,41.50,VCP,38.40,41.50,38.40,41625.00
29/10/2019,40.20,VCP,40.00,40.20,40.00,2223.00
28/10/2019,40.00,VCP,38.20,40.00,38.20,14200.00
25/10/2019,40.20,VCP,39.90,40.50,39.90,8907.00
24/10/2019,39.50,VCP,37.60,39.50,37.60,14997.00
23/10/2019,38.80,VCP,39.40,40.00,38.60,34300.00
22/10/2019,39.50,VCP,39.40,39.50,39.40,9300.00
21/10/2019,37.00,VCP,37.00,37.00,37.00,100.00
18/10/2019,38.10,VCP,38.10,38.10,38.10,800.00
17/10/2019,37.30,VCP,37.30,37.30,37.30,300.00
16/10/2019,38.00,VCP,38.00,38.00,38.00,500.00
15/10/2019,39.50,VCP,39.50,39.50,39.50,2000.00
14/10/2019,39.50,VCP,38.10,39.60,38.00,6840.00
11/10/2019,37.10,VCP,39.00,39.50,37.10,102541.00
10/10/2019,39.00,VCP,39.00,39.00,39.00,0.00
09/10/2019,39.00,VCP,39.00,39.00,39.00,1200.00
08/10/2019,39.00,VCP,39.00,39.00,39.00,10000.00
07/10/2019,38.70,VCP,38.70,38.70,38.70,0.00
04/10/2019,39.00,VCP,37.50,39.00,37.50,22100.00
03/10/2019,39.00,VCP,38.50,39.00,38.50,22000.00
02/10/2019,38.50,VCP,38.50,38.50,38.50,20.00
01/10/2019,38.50,VCP,38.50,38.50,38.40,982.00
30/09/2019,38.00,VCP,38.00,38.00,38.00,100.00
27/09/2019,38.60,VCP,38.60,38.60,38.60,10.00
26/09/2019,38.00,VCP,38.80,38.80,38.00,800.00
25/09/2019,38.00,VCP,38.00,38.00,38.00,40.00
24/09/2019,38.00,VCP,38.00,38.00,38.00,231200.00
23/09/2019,38.00,VCP,38.00,38.00,38.00,302000.00
20/09/2019,39.40,VCP,39.30,39.40,39.30,650.00
19/09/2019,37.30,VCP,37.30,37.30,37.30,20.00
18/09/2019,37.30,VCP,37.30,37.30,37.30,1094.00
17/09/2019,39.00,VCP,38.90,39.00,38.90,3100.00
16/09/2019,38.00,VCP,38.00,38.00,38.00,0.00
13/09/2019,38.00,VCP,38.00,38.00,38.00,1079.00
12/09/2019,38.90,VCP,38.90,38.90,38.90,0.00
11/09/2019,38.90,VCP,38.90,38.90,38.90,200.00
10/09/2019,38.00,VCP,38.00,38.00,38.00,0.00
09/09/2019,38.00,VCP,38.00,38.00,38.00,1000.00
06/09/2019,38.10,VCP,38.10,38.10,38.10,1400.00
05/09/2019,38.00,VCP,38.00,38.00,38.00,0.00
04/09/2019,38.00,VCP,38.00,38.00,38.00,1000.00
03/09/2019,38.00,VCP,38.00,38.00,38.00,2220.00
30/08/2019,37.70,VCP,37.70,37.70,37.70,100.00
29/08/2019,39.20,VCP,39.20,39.20,39.20,10000.00
28/08/2019,39.00,VCP,39.00,39.00,39.00,1300.00
27/08/2019,38.20,VCP,38.50,39.70,37.50,10800.00
26/08/2019,39.50,VCP,39.50,39.50,39.30,2100.00
23/08/2019,39.70,VCP,39.30,39.70,39.30,34300.00
22/08/2019,39.30,VCP,39.20,39.30,39.20,4908.00
21/08/2019,39.40,VCP,39.20,39.40,39.20,1200.00
20/08/2019,39.20,VCP,39.20,39.20,39.20,500.00
19/08/2019,37.60,VCP,37.70,37.70,37.60,2900.00
16/08/2019,39.00,VCP,39.00,39.00,39.00,0.00
15/08/2019,39.00,VCP,39.00,39.00,39.00,100.00
14/08/2019,39.00,VCP,39.00,39.00,39.00,0.00
13/08/2019,39.00,VCP,39.00,39.00,39.00,6050.00
12/08/2019,39.00,VCP,39.00,39.00,39.00,80.00
09/08/2019,39.00,VCP,39.00,39.00,39.00,1900.00
08/08/2019,39.60,VCP,39.60,39.60,39.60,0.00
07/08/2019,39.60,VCP,39.50,39.60,39.50,3500.00
06/08/2019,38.60,VCP,38.60,38.60,38.60,100.00
05/08/2019,38.00,VCP,38.00,38.00,38.00,3200.00
02/08/2019,38.10,VCP,38.00,38.10,38.00,4948.00
01/08/2019,38.10,VCP,40.00,40.00,38.10,2110.00
31/07/2019,40.00,VCP,40.00,40.00,40.00,3100.00
30/07/2019,40.00,VCP,39.90,40.00,39.90,11100.00
29/07/2019,40.00,VCP,39.70,40.00,39.70,55528.00
26/07/2019,39.50,VCP,37.60,39.50,37.60,20001.00
25/07/2019,39.50,VCP,37.10,39.50,37.10,11900.00
24/07/2019,38.30,VCP,38.30,38.30,38.30,227.00
23/07/2019,40.00,VCP,36.60,40.00,36.50,97168.00
22/07/2019,39.50,VCP,37.10,39.50,37.10,51550.00
19/07/2019,39.50,VCP,38.00,39.50,38.00,59700.00
18/07/2019,37.50,VCP,36.50,37.50,36.40,34700.00
17/07/2019,38.50,VCP,38.00,38.50,38.00,23400.00
16/07/2019,38.00,VCP,38.00,38.00,38.00,0.00
15/07/2019,38.00,VCP,38.00,38.00,38.00,3300.00
12/07/2019,37.00,VCP,37.00,37.00,37.00,23.00
11/07/2019,37.00,VCP,37.00,37.00,37.00,50.00
10/07/2019,39.00,VCP,39.00,39.00,39.00,5100.00
09/07/2019,38.90,VCP,38.90,38.90,38.90,0.00
08/07/2019,38.90,VCP,38.90,38.90,38.90,0.00
05/07/2019,38.90,VCP,38.90,38.90,38.90,100.00
04/07/2019,35.80,VCP,35.80,35.80,35.80,0.00
03/07/2019,35.80,VCP,35.80,35.80,35.80,150.00
02/07/2019,37.00,VCP,37.00,37.00,37.00,0.00
01/07/2019,37.00,VCP,36.60,37.00,36.60,6100.00
28/06/2019,37.00,VCP,37.00,37.00,37.00,0.00
27/06/2019,37.00,VCP,37.00,37.00,37.00,0.00
26/06/2019,37.00,VCP,37.00,37.00,37.00,0.00
25/06/2019,37.00,VCP,37.00,37.00,37.00,7200.00
24/06/2019,36.70,VCP,36.70,36.70,36.70,0.00
21/06/2019,37.50,VCP,35.80,37.50,35.80,200.00
20/06/2019,39.80,VCP,39.80,39.80,39.80,0.00
19/06/2019,39.80,VCP,39.80,39.80,39.80,0.00
18/06/2019,39.00,VCP,40.00,40.00,39.00,820.00
