DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,10.10,VCR,10.40,10.40,9.70,149170.00
10/01/2020,10.40,VCR,10.80,10.90,9.80,202490.00
09/01/2020,10.80,VCR,10.30,11.10,10.30,39240.00
08/01/2020,10.70,VCR,11.20,11.30,10.70,182760.00
07/01/2020,11.70,VCR,11.40,11.70,11.20,69709.00
06/01/2020,11.80,VCR,12.30,12.30,11.50,85000.00
03/01/2020,11.90,VCR,12.00,12.00,11.70,91840.00
02/01/2020,11.80,VCR,12.00,12.10,11.80,36260.00
31/12/2019,12.00,VCR,11.80,12.10,11.80,79070.00
30/12/2019,11.80,VCR,11.70,12.00,11.50,37100.00
27/12/2019,12.10,VCR,12.30,12.50,12.10,48364.00
26/12/2019,12.40,VCR,12.00,12.60,11.80,113230.00
25/12/2019,11.90,VCR,11.60,11.90,11.40,111200.00
24/12/2019,11.50,VCR,12.20,12.30,11.40,190582.00
23/12/2019,12.50,VCR,12.80,13.00,12.00,155120.00
20/12/2019,12.80,VCR,13.10,13.10,12.80,71010.00
19/12/2019,13.10,VCR,13.10,13.30,13.00,27801.00
18/12/2019,13.10,VCR,13.00,13.60,13.00,48800.00
17/12/2019,13.20,VCR,13.50,13.60,13.00,83350.00
16/12/2019,13.70,VCR,14.10,14.10,13.50,40500.00
13/12/2019,13.70,VCR,14.30,14.30,13.60,49250.00
12/12/2019,13.70,VCR,14.00,14.00,13.60,59800.00
11/12/2019,14.00,VCR,13.50,14.30,13.50,62400.00
10/12/2019,13.80,VCR,13.80,13.90,13.70,53361.00
09/12/2019,13.80,VCR,14.10,14.40,13.80,114900.00
06/12/2019,14.30,VCR,14.40,14.70,14.10,13810.00
05/12/2019,14.40,VCR,14.70,14.80,14.40,60785.00
04/12/2019,14.70,VCR,14.60,14.90,14.30,55800.00
03/12/2019,14.60,VCR,14.50,14.70,14.00,164811.00
02/12/2019,14.30,VCR,14.00,14.70,14.00,186818.00
29/11/2019,13.70,VCR,14.00,14.00,13.60,37700.00
28/11/2019,13.70,VCR,13.10,14.20,13.10,220767.00
27/11/2019,13.00,VCR,13.50,13.50,13.00,38625.00
26/11/2019,13.40,VCR,12.70,13.60,12.70,150250.00
25/11/2019,12.60,VCR,13.00,13.00,12.20,81400.00
22/11/2019,12.80,VCR,14.00,14.00,12.80,272225.00
21/11/2019,14.20,VCR,14.40,14.50,13.90,105856.00
20/11/2019,14.50,VCR,14.60,14.60,14.40,35200.00
19/11/2019,14.80,VCR,14.70,14.90,14.50,50400.00
