DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,10.00,VEC,10.00,10.00,10.00,2500.00
10/01/2020,9.70,VEC,9.70,9.70,9.70,100.00
09/01/2020,8.80,VEC,9.00,10.80,8.40,17000.00
08/01/2020,9.80,VEC,9.90,9.90,9.80,3500.00
07/01/2020,10.30,VEC,10.30,10.30,9.80,1600.00
06/01/2020,10.90,VEC,10.90,10.90,10.90,0.00
03/01/2020,10.90,VEC,10.90,10.90,10.90,0.00
02/01/2020,10.80,VEC,11.00,11.20,10.80,4000.00
31/12/2019,12.10,VEC,10.90,12.10,10.90,11400.00
30/12/2019,10.60,VEC,11.00,11.00,10.50,2900.00
27/12/2019,10.50,VEC,10.20,11.00,10.20,3000.00
26/12/2019,11.00,VEC,11.00,11.00,11.00,2000.00
25/12/2019,11.00,VEC,11.00,11.00,11.00,0.00
24/12/2019,10.80,VEC,11.40,11.40,10.80,1400.00
23/12/2019,11.50,VEC,11.40,11.50,11.40,400.00
20/12/2019,11.00,VEC,11.00,11.00,11.00,0.00
19/12/2019,11.00,VEC,11.00,11.00,10.80,1800.00
18/12/2019,10.50,VEC,11.00,11.00,10.50,4000.00
17/12/2019,11.90,VEC,11.00,11.90,10.80,4400.00
16/12/2019,11.10,VEC,12.00,12.80,11.10,4600.00
13/12/2019,11.90,VEC,11.90,11.90,11.50,4900.00
12/12/2019,11.50,VEC,12.30,12.30,11.50,1900.00
11/12/2019,11.60,VEC,10.00,11.60,9.70,13100.00
10/12/2019,10.00,VEC,10.90,10.90,10.00,2000.00
09/12/2019,10.20,VEC,9.20,10.20,9.20,11800.00
06/12/2019,8.80,VEC,8.60,9.00,8.60,1600.00
05/12/2019,8.30,VEC,9.80,9.90,8.20,5500.00
04/12/2019,8.80,VEC,9.00,9.10,8.80,13600.00
03/12/2019,9.00,VEC,9.10,11.00,9.00,9900.00
02/12/2019,9.70,VEC,12.40,12.50,9.60,6400.00
29/11/2019,11.60,VEC,9.40,11.60,9.40,5600.00
28/11/2019,11.00,VEC,11.80,11.80,9.20,1700.00
27/11/2019,10.60,VEC,10.20,10.80,10.20,3700.00
26/11/2019,10.20,VEC,8.90,10.20,8.90,15400.00
25/11/2019,8.90,VEC,8.90,8.90,8.90,40.00
22/11/2019,8.70,VEC,8.20,9.30,8.20,1200.00
21/11/2019,8.60,VEC,8.70,8.70,8.60,2700.00
20/11/2019,8.00,VEC,9.50,9.80,8.00,10100.00
19/11/2019,9.00,VEC,9.40,9.40,9.00,810.00
18/11/2019,9.00,VEC,9.20,9.20,9.00,1400.00
15/11/2019,10.00,VEC,10.50,10.50,9.60,800.00
14/11/2019,11.00,VEC,10.70,11.00,9.10,3100.00
13/11/2019,9.80,VEC,10.30,10.30,9.80,20400.00
12/11/2019,11.10,VEC,12.70,12.80,11.10,16900.00
11/11/2019,13.00,VEC,13.00,13.00,13.00,1010.00
08/11/2019,13.00,VEC,13.00,13.00,13.00,100.00
07/11/2019,13.50,VEC,13.50,13.50,13.50,0.00
06/11/2019,13.50,VEC,13.50,13.50,13.50,200.00
05/11/2019,13.30,VEC,13.50,13.60,13.30,1100.00
04/11/2019,13.00,VEC,13.40,13.50,13.00,3800.00
01/11/2019,13.70,VEC,13.20,13.70,13.20,600.00
31/10/2019,13.20,VEC,13.20,13.20,13.20,900.00
30/10/2019,13.30,VEC,13.50,13.50,13.30,1100.00
29/10/2019,14.00,VEC,14.00,15.00,13.50,2600.00
28/10/2019,13.60,VEC,13.70,14.00,13.20,1800.00
25/10/2019,13.00,VEC,12.80,14.00,12.00,2500.00
24/10/2019,13.30,VEC,13.00,13.30,13.00,1200.00
23/10/2019,13.70,VEC,13.10,13.70,13.10,200.00
22/10/2019,13.80,VEC,13.10,14.70,13.00,800.00
21/10/2019,14.50,VEC,13.00,15.00,13.00,7413.00
18/10/2019,13.90,VEC,13.90,13.90,13.90,200.00
17/10/2019,13.60,VEC,13.60,13.60,13.60,0.00
16/10/2019,13.40,VEC,13.90,13.90,13.40,500.00
15/10/2019,13.20,VEC,13.70,13.70,13.20,300.00
14/10/2019,14.00,VEC,13.80,14.00,13.80,1000.00
11/10/2019,14.00,VEC,13.30,14.00,13.10,2900.00
10/10/2019,13.60,VEC,13.60,13.60,13.60,1000.00
09/10/2019,14.10,VEC,14.00,14.10,13.80,5700.00
08/10/2019,14.40,VEC,14.40,14.40,14.40,200.00
07/10/2019,14.50,VEC,15.10,15.10,14.50,2500.00
04/10/2019,13.60,VEC,14.00,15.00,13.60,6600.00
03/10/2019,13.30,VEC,13.30,13.70,13.30,1200.00
02/10/2019,13.90,VEC,13.70,14.10,13.50,1000.00
01/10/2019,13.90,VEC,14.70,14.70,13.80,1200.00
30/09/2019,14.60,VEC,14.60,14.60,14.60,100.00
27/09/2019,14.50,VEC,14.50,14.50,14.50,100.00
26/09/2019,14.20,VEC,14.80,14.90,14.20,3257.00
25/09/2019,14.60,VEC,14.60,14.60,14.60,0.00
24/09/2019,15.00,VEC,14.20,15.00,14.20,200.00
23/09/2019,15.10,VEC,14.10,15.10,14.10,900.00
20/09/2019,14.50,VEC,14.70,15.40,14.40,12523.00
19/09/2019,15.20,VEC,15.50,15.70,15.20,3100.00
18/09/2019,15.10,VEC,14.70,15.10,14.50,3700.00
17/09/2019,15.20,VEC,15.20,15.40,14.40,15020.00
16/09/2019,15.40,VEC,15.40,15.40,15.40,0.00
13/09/2019,15.40,VEC,15.40,15.40,15.40,100.00
12/09/2019,15.40,VEC,15.20,15.40,14.10,4800.00
11/09/2019,15.00,VEC,14.10,16.00,14.00,7000.00
10/09/2019,13.80,VEC,14.40,15.80,13.20,12610.00
09/09/2019,13.70,VEC,13.80,14.00,13.70,14100.00
06/09/2019,14.40,VEC,14.40,14.40,14.30,8300.00
05/09/2019,14.00,VEC,14.40,16.80,14.00,18400.00
04/09/2019,16.90,VEC,14.80,19.40,14.40,24200.00
03/09/2019,16.50,VEC,16.70,17.60,16.30,5710.00
30/08/2019,17.20,VEC,16.20,18.00,16.20,27400.00
29/08/2019,17.00,VEC,18.30,18.50,16.20,19390.00
28/08/2019,18.30,VEC,15.90,18.40,15.90,77333.00
27/08/2019,16.20,VEC,16.90,16.90,15.50,49900.00
26/08/2019,15.80,VEC,14.40,16.40,14.40,74610.00
23/08/2019,14.40,VEC,14.10,15.00,13.20,49100.00
22/08/2019,14.50,VEC,14.00,14.50,13.90,2600.00
21/08/2019,14.30,VEC,14.30,14.30,14.30,100.00
20/08/2019,13.70,VEC,13.90,13.90,13.60,4100.00
19/08/2019,13.90,VEC,13.90,13.90,13.90,10.00
16/08/2019,14.00,VEC,13.90,14.50,13.10,17500.00
15/08/2019,15.00,VEC,14.00,15.00,13.10,17900.00
14/08/2019,14.10,VEC,15.50,15.50,13.70,16700.00
13/08/2019,15.30,VEC,14.80,15.50,14.00,58000.00
12/08/2019,14.90,VEC,15.50,15.50,14.90,9010.00
09/08/2019,15.20,VEC,14.00,15.50,13.80,132900.00
08/08/2019,14.00,VEC,13.40,14.10,13.30,24500.00
07/08/2019,13.30,VEC,12.90,13.40,12.90,14500.00
06/08/2019,13.10,VEC,13.80,13.90,13.00,13100.00
05/08/2019,14.00,VEC,13.60,14.50,13.50,46600.00
02/08/2019,13.50,VEC,12.50,14.00,11.50,69600.00
01/08/2019,12.50,VEC,13.20,13.20,12.00,12500.00
31/07/2019,13.20,VEC,13.00,13.50,12.10,23900.00
30/07/2019,12.30,VEC,13.10,13.10,12.30,23300.00
29/07/2019,13.70,VEC,14.50,14.50,13.00,24400.00
26/07/2019,14.10,VEC,15.20,15.20,13.60,12300.00
25/07/2019,14.80,VEC,14.10,14.90,14.10,16400.00
24/07/2019,15.10,VEC,15.90,15.90,14.50,21450.00
23/07/2019,15.10,VEC,15.90,16.00,14.10,38200.00
22/07/2019,14.00,VEC,15.00,15.00,13.60,38400.00
19/07/2019,15.10,VEC,15.00,16.00,15.00,49519.00
18/07/2019,15.30,VEC,16.30,16.30,15.00,53700.00
17/07/2019,16.50,VEC,16.60,17.60,15.60,62100.00
16/07/2019,15.90,VEC,15.70,15.90,14.50,72320.00
15/07/2019,14.30,VEC,12.50,14.30,12.50,130650.00
