DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,59.90,VET,59.90,59.90,59.90,0.00
10/01/2020,59.90,VET,59.90,59.90,59.90,100.00
09/01/2020,66.00,VET,66.00,66.00,66.00,0.00
08/01/2020,66.00,VET,66.00,66.00,66.00,0.00
07/01/2020,66.00,VET,66.00,66.00,66.00,0.00
06/01/2020,66.00,VET,66.00,66.00,66.00,0.00
03/01/2020,66.00,VET,66.00,66.00,66.00,0.00
02/01/2020,66.00,VET,66.00,66.00,66.00,0.00
31/12/2019,66.00,VET,66.00,66.00,66.00,19000.00
30/12/2019,57.50,VET,57.50,57.50,57.50,1000.00
27/12/2019,58.10,VET,58.10,58.10,58.10,0.00
26/12/2019,58.00,VET,58.10,58.10,58.00,3700.00
25/12/2019,60.00,VET,60.00,60.00,60.00,500.00
24/12/2019,60.00,VET,60.00,60.00,60.00,0.00
23/12/2019,60.00,VET,60.00,60.00,60.00,1.00
20/12/2019,60.00,VET,60.00,60.00,60.00,1000.00
19/12/2019,59.00,VET,59.00,59.00,59.00,0.00
18/12/2019,59.00,VET,59.00,59.00,59.00,58.00
17/12/2019,59.00,VET,59.00,59.00,59.00,0.00
16/12/2019,59.00,VET,59.00,59.00,59.00,2000.00
13/12/2019,57.50,VET,57.50,57.50,57.50,1000.00
12/12/2019,57.50,VET,57.50,57.50,57.50,300.00
11/12/2019,59.00,VET,59.00,59.00,59.00,0.00
10/12/2019,59.00,VET,59.00,59.00,59.00,0.00
09/12/2019,59.00,VET,59.00,59.00,59.00,0.00
06/12/2019,59.00,VET,59.00,59.00,59.00,0.00
05/12/2019,59.00,VET,59.00,59.00,59.00,0.00
04/12/2019,59.00,VET,59.00,59.00,59.00,1000.00
03/12/2019,57.50,VET,57.50,57.50,57.50,0.00
02/12/2019,57.50,VET,57.50,57.50,57.50,0.00
29/11/2019,57.50,VET,57.50,57.50,57.50,0.00
28/11/2019,57.50,VET,57.50,57.50,57.50,0.00
27/11/2019,57.50,VET,57.50,57.50,57.50,0.00
26/11/2019,57.50,VET,57.50,57.50,57.50,2000.00
25/11/2019,57.50,VET,57.50,57.50,57.50,0.00
22/11/2019,57.50,VET,57.50,57.50,57.50,0.00
21/11/2019,57.50,VET,57.50,57.50,57.50,0.00
20/11/2019,57.50,VET,57.50,57.50,57.50,0.00
19/11/2019,57.50,VET,57.50,57.50,57.50,0.00
18/11/2019,57.50,VET,57.50,57.50,57.50,0.00
15/11/2019,57.50,VET,57.50,57.50,57.50,0.00
14/11/2019,58.00,VET,57.00,58.00,57.00,200.00
13/11/2019,57.00,VET,57.00,57.00,57.00,0.00
12/11/2019,57.00,VET,57.00,57.00,57.00,0.00
11/11/2019,57.00,VET,57.00,57.00,57.00,0.00
08/11/2019,57.00,VET,57.00,57.00,57.00,0.00
07/11/2019,57.00,VET,57.00,57.00,57.00,0.00
06/11/2019,57.00,VET,57.00,57.00,57.00,0.00
05/11/2019,57.00,VET,57.00,57.00,57.00,100.00
04/11/2019,57.00,VET,57.00,57.00,57.00,0.00
01/11/2019,57.00,VET,57.00,57.00,57.00,0.00
31/10/2019,57.00,VET,57.00,57.00,57.00,0.00
30/10/2019,57.00,VET,57.00,57.00,57.00,500.00
29/10/2019,56.00,VET,56.00,56.00,56.00,100.00
28/10/2019,55.00,VET,55.00,55.00,55.00,0.00
25/10/2019,55.00,VET,55.00,55.00,55.00,0.00
24/10/2019,55.00,VET,55.00,55.00,55.00,300.00
23/10/2019,59.50,VET,59.50,59.50,59.50,0.00
22/10/2019,59.50,VET,59.50,59.50,59.50,100.00
21/10/2019,52.50,VET,52.50,52.50,52.50,0.00
18/10/2019,52.50,VET,52.50,52.50,52.50,100.00
17/10/2019,57.80,VET,57.80,57.80,57.80,0.00
16/10/2019,58.50,VET,55.00,58.50,55.00,500.00
15/10/2019,51.00,VET,51.00,51.00,51.00,100.00
14/10/2019,56.80,VET,56.80,56.80,56.80,0.00
11/10/2019,56.80,VET,56.80,56.80,56.80,0.00
