DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,13.40,VFC,13.40,13.40,13.40,10200.00
10/01/2020,11.70,VFC,11.70,11.70,11.70,7000.00
09/01/2020,11.70,VFC,11.70,11.70,11.70,0.00
08/01/2020,11.70,VFC,11.70,11.70,11.70,0.00
07/01/2020,11.70,VFC,11.70,11.70,11.70,0.00
06/01/2020,11.70,VFC,11.70,11.70,11.70,0.00
03/01/2020,11.70,VFC,11.70,11.70,11.70,0.00
02/01/2020,11.70,VFC,11.70,11.70,11.70,0.00
31/12/2019,11.70,VFC,11.70,11.70,11.70,0.00
30/12/2019,11.70,VFC,11.70,11.70,11.70,0.00
27/12/2019,11.70,VFC,11.70,11.70,11.70,0.00
26/12/2019,11.70,VFC,11.70,11.70,11.70,0.00
25/12/2019,11.70,VFC,11.70,11.70,11.70,0.00
24/12/2019,11.70,VFC,11.70,11.70,11.70,0.00
23/12/2019,11.70,VFC,11.70,11.70,11.70,0.00
20/12/2019,11.70,VFC,11.70,11.70,11.70,0.00
19/12/2019,11.70,VFC,11.70,11.70,11.70,0.00
18/12/2019,11.90,VFC,11.50,11.90,11.50,900.00
17/12/2019,11.50,VFC,11.50,11.50,11.50,0.00
16/12/2019,11.50,VFC,11.50,11.50,11.50,0.00
13/12/2019,11.50,VFC,11.50,11.50,11.50,200.00
12/12/2019,13.50,VFC,13.50,13.50,13.50,0.00
11/12/2019,13.50,VFC,13.50,13.50,13.50,100.00
10/12/2019,11.90,VFC,11.90,11.90,11.90,0.00
09/12/2019,11.90,VFC,11.90,11.90,11.90,100.00
06/12/2019,10.50,VFC,10.50,10.50,10.50,200.00
05/12/2019,9.70,VFC,9.70,9.70,9.70,0.00
04/12/2019,9.70,VFC,9.70,9.70,9.70,0.00
03/12/2019,9.70,VFC,9.70,9.70,9.70,0.00
02/12/2019,9.70,VFC,9.70,9.70,9.70,0.00
29/11/2019,9.70,VFC,9.70,9.70,9.70,100.00
28/11/2019,10.60,VFC,10.60,10.60,10.60,0.00
27/11/2019,10.60,VFC,10.60,10.60,10.60,0.00
26/11/2019,10.60,VFC,10.60,10.60,10.60,0.00
25/11/2019,10.60,VFC,10.60,10.60,10.60,0.00
22/11/2019,10.60,VFC,10.60,10.60,10.60,71.00
21/11/2019,10.60,VFC,10.60,10.60,10.60,93.00
20/11/2019,10.60,VFC,10.60,10.60,10.60,0.00
19/11/2019,10.60,VFC,10.60,10.60,10.60,0.00
18/11/2019,10.60,VFC,10.60,10.60,10.60,0.00
15/11/2019,10.60,VFC,10.60,10.60,10.60,0.00
14/11/2019,10.60,VFC,10.60,10.60,10.60,10.00
13/11/2019,10.60,VFC,10.60,10.60,10.60,0.00
12/11/2019,10.60,VFC,10.60,10.60,10.60,0.00
11/11/2019,10.60,VFC,10.50,10.60,10.50,432.00
08/11/2019,10.40,VFC,10.40,10.40,10.40,100.00
07/11/2019,10.50,VFC,10.50,10.50,10.50,0.00
06/11/2019,10.50,VFC,10.50,10.50,10.50,100.00
05/11/2019,11.50,VFC,11.50,11.50,11.50,300.00
04/11/2019,11.80,VFC,10.10,11.80,10.10,1100.00
01/11/2019,10.30,VFC,10.30,10.30,10.30,0.00
31/10/2019,11.00,VFC,10.00,11.00,10.00,500.00
30/10/2019,10.30,VFC,10.50,10.50,10.30,1000.00
29/10/2019,12.00,VFC,12.00,12.00,12.00,0.00
28/10/2019,12.00,VFC,12.00,12.00,12.00,0.00
25/10/2019,12.00,VFC,12.00,12.00,12.00,0.00
24/10/2019,12.00,VFC,12.00,12.00,12.00,0.00
23/10/2019,12.00,VFC,12.00,12.00,12.00,0.00
22/10/2019,12.00,VFC,12.00,12.00,12.00,0.00
21/10/2019,12.00,VFC,12.00,12.00,12.00,0.00
18/10/2019,12.00,VFC,12.00,12.00,12.00,0.00
17/10/2019,12.00,VFC,12.00,12.00,12.00,0.00
16/10/2019,12.00,VFC,12.00,12.00,12.00,0.00
15/10/2019,12.00,VFC,12.00,12.00,12.00,500.00
14/10/2019,11.90,VFC,11.90,11.90,11.90,0.00
11/10/2019,11.90,VFC,11.90,11.90,11.90,20.00
10/10/2019,11.90,VFC,11.90,11.90,11.90,200.00
09/10/2019,11.10,VFC,11.10,11.10,11.10,0.00
08/10/2019,11.10,VFC,11.10,11.10,11.10,0.00
07/10/2019,11.10,VFC,11.10,11.10,11.10,100.00
04/10/2019,10.20,VFC,10.20,12.80,10.20,3300.00
03/10/2019,10.00,VFC,11.50,11.50,10.00,500.00
02/10/2019,9.30,VFC,11.50,11.70,9.30,4000.00
01/10/2019,10.30,VFC,10.20,10.30,10.20,2407.00
30/09/2019,10.10,VFC,10.20,10.20,10.10,1232.00
27/09/2019,9.30,VFC,11.70,12.00,9.30,1100.00
26/09/2019,10.50,VFC,10.50,10.50,10.50,0.00
25/09/2019,10.50,VFC,10.50,10.50,10.50,0.00
24/09/2019,10.50,VFC,10.50,10.50,10.50,0.00
23/09/2019,10.50,VFC,10.50,10.50,10.50,0.00
20/09/2019,10.50,VFC,10.50,10.50,10.50,0.00
19/09/2019,10.50,VFC,10.50,10.50,10.50,0.00
18/09/2019,10.50,VFC,10.50,10.50,10.50,0.00
17/09/2019,10.50,VFC,10.50,10.50,10.50,0.00
16/09/2019,10.50,VFC,10.50,10.50,10.50,100.00
13/09/2019,9.20,VFC,9.20,9.20,9.20,0.00
12/09/2019,9.20,VFC,9.20,9.20,9.20,100.00
11/09/2019,10.50,VFC,10.50,10.50,10.50,116.00
10/09/2019,10.50,VFC,10.50,10.50,10.50,100.00
09/09/2019,10.30,VFC,10.60,10.60,10.30,700.00
06/09/2019,11.90,VFC,11.90,11.90,11.90,0.00
05/09/2019,11.90,VFC,11.90,11.90,11.90,200.00
04/09/2019,13.90,VFC,13.90,13.90,13.90,0.00
03/09/2019,13.90,VFC,13.90,13.90,13.90,0.00
30/08/2019,14.90,VFC,11.80,15.50,11.80,2300.00
29/08/2019,13.80,VFC,13.80,13.80,13.80,0.00
28/08/2019,10.80,VFC,12.30,14.00,10.80,5600.00
27/08/2019,12.70,VFC,12.70,12.70,12.70,0.00
26/08/2019,12.70,VFC,12.70,12.70,12.70,100.00
23/08/2019,11.00,VFC,11.70,11.70,11.00,500.00
22/08/2019,10.30,VFC,10.30,10.40,10.30,5100.00
21/08/2019,11.90,VFC,11.90,11.90,11.90,409.00
20/08/2019,10.40,VFC,10.40,10.40,10.40,0.00
