DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,18.00,VGC,18.05,18.05,18.00,131260.00
10/01/2020,18.05,VGC,18.05,18.20,18.00,105900.00
09/01/2020,18.20,VGC,18.00,18.20,18.00,374150.00
08/01/2020,18.00,VGC,18.00,18.05,16.95,310830.00
07/01/2020,18.00,VGC,17.80,18.00,17.80,121120.00
06/01/2020,18.00,VGC,18.00,18.05,17.95,152580.00
03/01/2020,18.00,VGC,18.00,18.10,18.00,55480.00
02/01/2020,18.00,VGC,18.20,18.20,18.00,143280.00
31/12/2019,18.40,VGC,18.20,18.40,17.95,301810.00
30/12/2019,18.20,VGC,17.95,18.20,17.90,132010.00
27/12/2019,18.00,VGC,18.10,18.20,18.00,35720.00
26/12/2019,18.10,VGC,18.00,18.20,17.95,245380.00
25/12/2019,18.00,VGC,17.95,18.05,17.95,110370.00
24/12/2019,18.00,VGC,18.00,18.05,17.90,170380.00
23/12/2019,18.00,VGC,18.10,18.15,18.00,55900.00
20/12/2019,18.05,VGC,18.05,18.05,17.90,110900.00
19/12/2019,18.05,VGC,18.10,18.05,17.90,132530.00
18/12/2019,18.10,VGC,18.00,18.10,17.90,222750.00
17/12/2019,18.00,VGC,18.15,18.20,18.00,125990.00
16/12/2019,18.30,VGC,18.25,18.30,18.15,95390.00
13/12/2019,18.25,VGC,18.20,18.30,18.15,122580.00
12/12/2019,18.30,VGC,18.30,18.30,18.20,68720.00
11/12/2019,18.30,VGC,18.20,18.30,18.10,104710.00
10/12/2019,18.30,VGC,18.25,18.30,18.15,269040.00
09/12/2019,18.35,VGC,18.30,18.35,18.25,99850.00
06/12/2019,18.40,VGC,18.40,18.40,18.25,29330.00
05/12/2019,18.40,VGC,18.25,18.45,18.25,122470.00
04/12/2019,18.40,VGC,18.40,18.40,18.25,87590.00
03/12/2019,18.35,VGC,18.45,18.45,18.25,232280.00
02/12/2019,18.40,VGC,18.45,18.45,18.20,286370.00
29/11/2019,18.35,VGC,18.50,18.45,18.20,180030.00
28/11/2019,18.50,VGC,18.50,18.50,18.15,161890.00
27/11/2019,18.50,VGC,18.55,18.55,18.35,33020.00
26/11/2019,18.50,VGC,18.50,18.55,18.40,210250.00
25/11/2019,18.50,VGC,18.40,18.50,18.40,117850.00
22/11/2019,18.50,VGC,18.60,18.60,18.10,730740.00
21/11/2019,18.60,VGC,18.40,18.60,18.10,308360.00
20/11/2019,18.55,VGC,18.50,18.55,18.35,171740.00
19/11/2019,18.60,VGC,18.55,18.65,18.45,177500.00
18/11/2019,18.70,VGC,18.70,18.70,18.50,99190.00
15/11/2019,18.70,VGC,18.55,18.75,18.55,144600.00
14/11/2019,18.75,VGC,18.70,18.75,18.55,81200.00
13/11/2019,18.75,VGC,18.75,18.75,18.55,218450.00
12/11/2019,18.75,VGC,18.50,18.75,18.50,317450.00
11/11/2019,18.75,VGC,18.80,18.85,18.65,121820.00
08/11/2019,18.80,VGC,18.60,18.90,18.50,237820.00
07/11/2019,18.75,VGC,18.80,18.90,18.55,301280.00
06/11/2019,18.90,VGC,18.85,19.00,18.80,204080.00
05/11/2019,18.85,VGC,18.85,19.05,18.80,171080.00
04/11/2019,18.85,VGC,19.10,19.25,18.80,134290.00
