DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,51.50,VGG,52.30,52.30,51.40,45324.00
10/01/2020,51.50,VGG,53.80,53.80,51.50,29450.00
09/01/2020,51.90,VGG,52.30,52.30,51.80,3600.00
08/01/2020,51.70,VGG,52.00,52.00,51.70,26900.00
07/01/2020,52.20,VGG,52.40,52.40,51.70,6300.00
06/01/2020,51.70,VGG,51.90,51.90,51.70,12200.00
03/01/2020,51.70,VGG,52.40,52.40,51.70,15700.00
02/01/2020,51.80,VGG,52.40,52.40,51.80,2200.00
31/12/2019,51.90,VGG,51.50,51.90,51.50,3700.00
30/12/2019,51.80,VGG,51.90,51.90,51.80,1800.00
27/12/2019,52.00,VGG,51.90,52.30,51.70,8229.00
26/12/2019,51.80,VGG,51.70,51.80,51.50,6607.00
25/12/2019,51.60,VGG,51.00,51.80,51.00,14680.00
24/12/2019,51.50,VGG,51.40,51.50,51.40,3900.00
23/12/2019,50.80,VGG,52.90,52.90,50.80,3301.00
20/12/2019,50.70,VGG,51.10,51.10,50.70,7800.00
19/12/2019,57.00,VGG,57.00,57.00,57.00,200.00
18/12/2019,50.50,VGG,51.30,51.30,50.50,22800.00
17/12/2019,51.40,VGG,51.50,52.90,51.30,2500.00
16/12/2019,51.50,VGG,51.50,51.60,51.40,6400.00
13/12/2019,51.30,VGG,52.40,52.40,51.10,16400.00
12/12/2019,50.00,VGG,48.20,50.50,48.20,2500.00
11/12/2019,51.00,VGG,51.00,51.00,51.00,1800.00
10/12/2019,51.00,VGG,53.00,53.00,51.00,6200.00
09/12/2019,51.00,VGG,54.00,54.00,51.00,5800.00
06/12/2019,51.60,VGG,51.60,51.60,51.60,0.00
05/12/2019,52.00,VGG,52.60,52.60,51.00,1924.00
04/12/2019,51.50,VGG,54.00,54.00,51.50,1150.00
03/12/2019,52.00,VGG,52.90,52.90,51.50,1300.00
02/12/2019,51.50,VGG,51.70,51.70,51.50,4000.00
29/11/2019,52.20,VGG,52.90,52.90,51.50,1050.00
28/11/2019,51.40,VGG,52.00,52.00,50.70,2900.00
27/11/2019,51.00,VGG,52.00,52.00,51.00,2600.00
26/11/2019,51.20,VGG,53.00,53.00,51.20,1200.00
25/11/2019,50.10,VGG,51.00,51.00,50.10,7460.00
22/11/2019,51.50,VGG,53.00,53.00,51.50,900.00
21/11/2019,51.80,VGG,51.80,51.80,51.80,0.00
20/11/2019,51.70,VGG,55.00,55.00,51.50,1721.00
19/11/2019,52.30,VGG,53.00,53.30,52.30,5600.00
18/11/2019,52.50,VGG,53.00,54.00,51.60,3620.00
15/11/2019,52.80,VGG,52.70,52.80,52.70,1000.00
14/11/2019,51.80,VGG,51.70,51.80,51.50,7821.00
13/11/2019,54.50,VGG,52.80,54.50,52.80,419.00
12/11/2019,52.50,VGG,52.90,53.00,51.00,800.00
11/11/2019,51.70,VGG,51.70,51.70,50.50,5102.00
08/11/2019,51.50,VGG,54.40,54.40,51.50,10410.00
07/11/2019,52.50,VGG,52.50,52.50,52.50,1000.00
06/11/2019,52.00,VGG,53.40,53.50,52.00,4800.00
05/11/2019,52.60,VGG,52.80,52.80,51.50,27200.00
04/11/2019,52.50,VGG,55.00,55.00,52.50,2410.00
01/11/2019,52.90,VGG,54.90,54.90,52.90,8300.00
31/10/2019,53.70,VGG,54.00,56.00,52.00,8650.00
30/10/2019,53.10,VGG,53.00,54.70,53.00,1200.00
29/10/2019,53.00,VGG,53.20,55.80,52.60,8100.00
28/10/2019,53.00,VGG,55.00,56.90,53.00,7610.00
25/10/2019,53.00,VGG,57.00,57.00,53.00,6700.00
24/10/2019,55.30,VGG,55.80,55.80,53.50,400.00
23/10/2019,54.10,VGG,57.00,57.00,52.00,32060.00
22/10/2019,57.00,VGG,57.00,57.00,57.00,100.00
21/10/2019,52.70,VGG,53.80,53.80,52.70,4000.00
18/10/2019,53.80,VGG,53.70,53.80,53.00,3160.00
17/10/2019,53.70,VGG,53.70,53.70,53.70,100.00
16/10/2019,52.50,VGG,52.30,53.90,52.00,8610.00
15/10/2019,53.00,VGG,54.00,54.00,52.00,1220.00
14/10/2019,52.50,VGG,53.00,54.00,52.50,9160.00
11/10/2019,54.40,VGG,54.50,54.50,53.00,1200.00
10/10/2019,53.00,VGG,54.60,54.60,53.00,2150.00
09/10/2019,53.00,VGG,52.60,54.80,52.50,2400.00
08/10/2019,54.90,VGG,54.90,54.90,54.90,150.00
07/10/2019,52.70,VGG,52.20,55.00,52.20,1430.00
04/10/2019,55.30,VGG,55.00,55.30,55.00,1010.00
03/10/2019,55.50,VGG,55.00,55.90,54.60,12022.00
02/10/2019,55.00,VGG,54.00,55.00,54.00,8760.00
01/10/2019,54.40,VGG,53.80,54.40,52.20,13900.00
30/09/2019,53.80,VGG,53.00,53.80,53.00,19000.00
27/09/2019,53.10,VGG,53.10,53.10,53.00,24630.00
26/09/2019,53.10,VGG,52.10,53.50,52.10,8900.00
25/09/2019,53.00,VGG,53.00,53.00,53.00,100.00
24/09/2019,52.90,VGG,52.70,52.90,52.10,5100.00
23/09/2019,52.50,VGG,51.20,52.50,51.00,12900.00
20/09/2019,52.00,VGG,51.20,52.00,51.20,1700.00
19/09/2019,51.50,VGG,52.40,52.40,51.30,1723.00
18/09/2019,52.20,VGG,53.60,53.60,51.20,3200.00
17/09/2019,52.10,VGG,52.30,52.30,51.50,2500.00
16/09/2019,52.60,VGG,51.20,52.60,51.20,1505.00
13/09/2019,52.80,VGG,53.00,53.00,52.10,4040.00
12/09/2019,51.90,VGG,51.10,51.90,51.10,1300.00
11/09/2019,51.20,VGG,51.20,51.20,51.20,1800.00
10/09/2019,52.30,VGG,51.00,52.30,50.50,15700.00
09/09/2019,52.00,VGG,54.00,54.00,52.00,1110.00
06/09/2019,52.90,VGG,54.00,54.00,51.50,2300.00
05/09/2019,52.50,VGG,53.50,53.50,52.20,1190.00
04/09/2019,54.00,VGG,54.10,54.10,52.50,710.00
03/09/2019,54.00,VGG,52.20,54.60,52.20,890.00
30/08/2019,54.40,VGG,54.00,54.50,54.00,3004.00
29/08/2019,53.00,VGG,53.30,54.70,53.00,19310.00
28/08/2019,53.00,VGG,55.70,55.70,53.00,10532.00
27/08/2019,54.10,VGG,55.50,55.50,54.10,3730.00
26/08/2019,55.00,VGG,54.50,56.00,54.50,21020.00
23/08/2019,54.50,VGG,55.00,55.00,54.50,13500.00
22/08/2019,55.00,VGG,53.50,55.50,53.50,5349.00
21/08/2019,54.00,VGG,54.20,54.20,53.00,14930.00
