DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,22.70,VGI,23.30,23.40,22.60,189796.00
10/01/2020,23.10,VGI,23.40,23.70,23.00,209972.00
09/01/2020,23.20,VGI,23.40,23.70,22.90,157146.00
08/01/2020,23.20,VGI,24.20,24.30,23.00,505001.00
07/01/2020,24.50,VGI,24.70,24.70,24.30,123995.00
06/01/2020,24.60,VGI,24.90,25.00,24.40,164567.00
03/01/2020,25.00,VGI,25.40,25.40,24.80,130709.00
02/01/2020,25.30,VGI,25.00,25.30,24.70,152894.00
31/12/2019,24.70,VGI,24.90,25.00,24.50,111587.00
30/12/2019,25.00,VGI,25.40,25.40,24.90,69941.00
27/12/2019,25.00,VGI,25.20,25.20,24.90,52998.00
26/12/2019,25.20,VGI,24.70,25.60,24.70,140860.00
25/12/2019,24.60,VGI,24.80,24.90,24.30,108970.00
24/12/2019,24.70,VGI,25.00,25.10,24.50,80566.00
23/12/2019,25.00,VGI,25.20,25.50,24.80,109578.00
20/12/2019,25.20,VGI,25.30,25.30,25.00,149802.00
19/12/2019,25.20,VGI,25.30,25.40,24.90,123641.00
18/12/2019,25.00,VGI,25.80,25.80,24.90,150028.00
17/12/2019,25.70,VGI,26.00,26.30,25.60,92912.00
16/12/2019,25.90,VGI,26.50,26.50,25.60,282630.00
13/12/2019,26.50,VGI,26.90,27.10,26.40,157592.00
12/12/2019,26.80,VGI,26.30,27.30,26.30,272642.00
11/12/2019,26.30,VGI,24.20,26.60,24.20,475330.00
10/12/2019,24.10,VGI,24.70,24.70,24.00,217923.00
09/12/2019,24.80,VGI,25.00,25.50,24.50,85675.00
06/12/2019,25.10,VGI,25.50,25.50,24.50,137299.00
05/12/2019,25.00,VGI,25.30,25.80,25.00,228683.00
04/12/2019,25.30,VGI,24.50,25.30,24.00,194650.00
03/12/2019,24.40,VGI,25.80,25.80,24.00,373217.00
02/12/2019,25.50,VGI,26.90,27.00,24.80,249206.00
29/11/2019,26.90,VGI,26.70,27.00,26.10,186560.00
28/11/2019,26.50,VGI,27.10,27.40,26.10,416221.00
27/11/2019,26.90,VGI,28.10,28.20,26.90,445750.00
26/11/2019,28.00,VGI,28.10,28.40,27.70,146922.00
25/11/2019,28.00,VGI,28.90,28.90,27.60,283098.00
22/11/2019,28.50,VGI,29.50,29.60,28.50,203536.00
21/11/2019,29.40,VGI,29.80,29.90,29.30,81023.00
20/11/2019,29.90,VGI,29.80,30.20,29.50,94511.00
