DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,5.40,VHE,5.40,5.40,5.40,600.00
10/01/2020,5.40,VHE,5.40,5.40,5.40,0.00
09/01/2020,5.40,VHE,5.60,5.60,5.40,4500.00
08/01/2020,5.40,VHE,5.40,5.40,5.40,100.00
07/01/2020,5.40,VHE,5.40,5.40,5.40,700.00
06/01/2020,5.40,VHE,5.60,5.60,5.40,5400.00
03/01/2020,6.00,VHE,5.60,6.00,5.60,2710.00
02/01/2020,5.60,VHE,6.00,6.00,5.60,900.00
31/12/2019,5.70,VHE,6.30,6.50,5.70,21200.00
30/12/2019,6.30,VHE,6.30,6.30,6.30,100.00
27/12/2019,6.60,VHE,6.30,6.60,6.30,900.00
26/12/2019,6.60,VHE,6.60,6.80,6.60,3000.00
25/12/2019,6.60,VHE,6.60,6.60,6.60,100.00
24/12/2019,6.60,VHE,6.30,6.90,6.20,21700.00
23/12/2019,6.80,VHE,6.40,6.80,6.40,5200.00
20/12/2019,7.10,VHE,7.10,7.10,7.10,1500.00
19/12/2019,7.80,VHE,7.50,7.80,7.50,900.00
18/12/2019,7.10,VHE,6.50,7.10,6.40,20000.00
17/12/2019,7.10,VHE,6.40,7.10,6.40,68000.00
16/12/2019,7.10,VHE,7.10,7.10,7.10,1070.00
13/12/2019,7.80,VHE,7.60,7.80,7.60,300.00
12/12/2019,7.50,VHE,7.80,8.10,6.90,4100.00
11/12/2019,7.60,VHE,6.50,7.60,6.40,11900.00
10/12/2019,7.10,VHE,7.00,7.10,6.10,17900.00
09/12/2019,6.50,VHE,6.60,6.60,6.50,15700.00
06/12/2019,7.20,VHE,6.80,7.20,6.20,36600.00
05/12/2019,6.80,VHE,6.80,6.80,6.60,5200.00
04/12/2019,6.20,VHE,6.80,6.80,6.20,1300.00
03/12/2019,6.40,VHE,6.50,7.00,6.40,3200.00
02/12/2019,7.00,VHE,8.30,8.30,7.00,6000.00
