DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,30.00,VHL,30.00,30.00,30.00,0.00
10/01/2020,30.00,VHL,30.00,30.00,30.00,100.00
09/01/2020,30.00,VHL,30.00,30.00,30.00,0.00
08/01/2020,30.00,VHL,30.00,30.00,30.00,0.00
07/01/2020,30.00,VHL,30.00,30.00,30.00,0.00
06/01/2020,30.00,VHL,30.00,30.00,30.00,0.00
03/01/2020,30.00,VHL,30.00,30.00,30.00,20.00
02/01/2020,30.00,VHL,29.00,30.00,29.00,200.00
31/12/2019,31.00,VHL,28.00,31.00,28.00,10300.00
30/12/2019,28.50,VHL,28.50,28.50,28.50,520.00
27/12/2019,28.00,VHL,28.00,28.00,28.00,600.00
26/12/2019,26.00,VHL,27.00,27.00,26.00,900.00
25/12/2019,27.00,VHL,27.00,27.00,27.00,100.00
24/12/2019,28.00,VHL,28.00,28.00,28.00,2020.00
23/12/2019,28.00,VHL,28.00,28.00,28.00,10.00
20/12/2019,28.00,VHL,26.10,28.00,26.10,1000.00
19/12/2019,26.00,VHL,26.50,26.50,26.00,2000.00
18/12/2019,27.30,VHL,27.30,27.30,27.30,0.00
17/12/2019,27.30,VHL,27.30,27.30,27.30,0.00
16/12/2019,27.30,VHL,27.40,27.40,27.30,1100.00
13/12/2019,27.30,VHL,27.50,27.50,26.50,1700.00
12/12/2019,27.50,VHL,26.90,27.50,26.90,600.00
11/12/2019,26.90,VHL,26.90,26.90,26.90,100.00
10/12/2019,26.80,VHL,26.10,26.80,26.00,6100.00
09/12/2019,26.50,VHL,26.50,26.50,26.50,134.00
06/12/2019,27.90,VHL,27.90,27.90,27.90,200.00
05/12/2019,27.00,VHL,27.00,27.00,27.00,100.00
04/12/2019,27.00,VHL,26.00,27.00,26.00,300.00
03/12/2019,26.00,VHL,26.20,26.20,26.00,2417.00
02/12/2019,26.90,VHL,26.50,27.10,26.50,300.00
29/11/2019,28.10,VHL,27.20,28.10,26.90,1681.00
28/11/2019,28.20,VHL,28.20,28.20,28.20,400.00
27/11/2019,28.20,VHL,28.20,28.20,28.20,0.00
26/11/2019,28.20,VHL,28.20,28.20,28.20,500.00
25/11/2019,28.00,VHL,28.00,28.00,28.00,0.00
22/11/2019,28.00,VHL,28.00,28.00,28.00,0.00
21/11/2019,28.00,VHL,28.00,28.00,28.00,0.00
20/11/2019,28.00,VHL,28.00,28.00,28.00,0.00
19/11/2019,28.00,VHL,28.00,28.00,28.00,50.00
18/11/2019,28.00,VHL,28.00,28.00,28.00,0.00
15/11/2019,28.00,VHL,28.00,28.00,28.00,0.00
14/11/2019,28.00,VHL,27.90,28.00,27.90,3000.00
13/11/2019,27.40,VHL,27.40,27.40,27.40,800.00
12/11/2019,27.40,VHL,27.90,28.50,27.40,300.00
11/11/2019,27.40,VHL,27.40,27.40,27.40,0.00
08/11/2019,27.40,VHL,27.40,27.40,27.40,1410.00
07/11/2019,27.40,VHL,27.40,27.40,27.40,100.00
06/11/2019,27.40,VHL,27.40,27.40,27.40,2006.00
05/11/2019,27.10,VHL,27.10,27.10,27.10,0.00
04/11/2019,27.10,VHL,27.10,27.10,27.10,0.00
01/11/2019,27.10,VHL,27.10,27.10,27.10,1600.00
31/10/2019,27.40,VHL,27.40,27.40,27.40,0.00
30/10/2019,27.40,VHL,27.40,27.40,27.40,1400.00
29/10/2019,27.90,VHL,27.90,27.90,27.90,100.00
28/10/2019,26.80,VHL,26.80,26.80,26.80,200.00
25/10/2019,26.80,VHL,26.80,26.80,26.80,0.00
24/10/2019,26.80,VHL,26.80,26.80,26.80,100.00
23/10/2019,27.00,VHL,27.00,27.00,27.00,400.00
22/10/2019,27.20,VHL,27.20,27.20,27.20,0.00
21/10/2019,27.20,VHL,27.20,27.20,27.20,4.00
18/10/2019,27.20,VHL,28.00,28.00,27.20,400.00
17/10/2019,28.00,VHL,28.00,28.00,28.00,100.00
16/10/2019,28.00,VHL,28.00,28.00,28.00,0.00
15/10/2019,28.00,VHL,28.00,28.00,28.00,200.00
14/10/2019,28.00,VHL,28.00,29.00,28.00,459.00
11/10/2019,27.00,VHL,27.00,27.00,27.00,81.00
10/10/2019,27.00,VHL,27.00,27.20,27.00,400.00
09/10/2019,27.00,VHL,27.10,27.10,27.00,200.00
08/10/2019,27.10,VHL,27.10,27.10,27.10,0.00
07/10/2019,27.10,VHL,27.10,27.10,27.10,100.00
04/10/2019,27.20,VHL,27.20,27.20,27.20,0.00
03/10/2019,27.20,VHL,27.20,27.20,27.20,309.00
