DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,21.80,VIF,21.80,21.80,21.80,0.00
10/01/2020,21.80,VIF,21.80,21.80,21.80,0.00
09/01/2020,21.80,VIF,21.80,21.80,21.80,1000.00
08/01/2020,20.00,VIF,23.00,23.00,20.00,3000.00
07/01/2020,22.70,VIF,22.70,22.70,22.70,0.00
06/01/2020,22.70,VIF,22.70,22.70,22.70,0.00
03/01/2020,22.70,VIF,22.70,22.70,22.70,0.00
02/01/2020,22.70,VIF,22.70,22.70,22.70,0.00
31/12/2019,22.70,VIF,22.70,22.70,22.70,0.00
30/12/2019,22.70,VIF,22.70,22.70,22.70,0.00
27/12/2019,22.70,VIF,22.70,22.70,22.70,0.00
26/12/2019,22.70,VIF,22.70,22.70,22.70,0.00
25/12/2019,22.70,VIF,22.70,22.70,22.70,0.00
24/12/2019,22.70,VIF,22.70,22.70,22.70,0.00
23/12/2019,22.90,VIF,20.90,22.90,20.90,1300.00
20/12/2019,20.80,VIF,20.80,20.80,20.40,9800.00
19/12/2019,20.60,VIF,20.60,20.60,20.60,0.00
18/12/2019,20.60,VIF,20.60,20.60,20.60,0.00
17/12/2019,20.00,VIF,20.80,20.80,20.00,1000.00
16/12/2019,19.80,VIF,19.80,19.80,19.80,0.00
13/12/2019,20.90,VIF,18.60,20.90,18.60,200.00
12/12/2019,21.80,VIF,21.80,21.80,21.80,700.00
11/12/2019,20.50,VIF,20.50,20.50,20.50,300.00
10/12/2019,21.60,VIF,21.60,21.60,21.60,0.00
09/12/2019,21.60,VIF,21.60,21.60,21.60,400.00
06/12/2019,20.00,VIF,20.00,20.00,20.00,1000.00
05/12/2019,22.30,VIF,22.30,22.30,22.30,0.00
04/12/2019,22.30,VIF,22.30,22.30,22.30,500.00
03/12/2019,21.30,VIF,21.30,21.30,21.30,0.00
02/12/2019,20.10,VIF,20.00,22.20,20.00,2000.00
29/11/2019,21.90,VIF,21.90,21.90,21.90,0.00
28/11/2019,21.90,VIF,21.90,21.90,21.90,1200.00
27/11/2019,20.00,VIF,20.00,20.00,20.00,300.00
26/11/2019,21.50,VIF,22.30,22.30,21.50,800.00
25/11/2019,22.00,VIF,22.00,22.00,22.00,0.00
22/11/2019,22.00,VIF,22.00,22.00,22.00,0.00
21/11/2019,22.00,VIF,22.00,22.00,22.00,10.00
20/11/2019,22.00,VIF,22.00,22.00,22.00,0.00
19/11/2019,21.80,VIF,22.30,22.30,21.80,4600.00
18/11/2019,21.70,VIF,21.70,21.70,21.70,200.00
15/11/2019,21.20,VIF,21.20,21.20,21.20,500.00
14/11/2019,21.30,VIF,21.30,21.30,21.30,1200.00
13/11/2019,20.00,VIF,20.00,20.00,20.00,800.00
12/11/2019,22.40,VIF,22.40,22.40,22.40,2200.00
11/11/2019,20.90,VIF,19.00,21.20,19.00,1600.00
08/11/2019,20.00,VIF,18.50,20.00,17.30,3600.00
07/11/2019,20.30,VIF,20.30,20.30,20.30,0.00
06/11/2019,20.30,VIF,20.30,20.30,20.30,200.00
05/11/2019,19.80,VIF,19.80,19.80,19.80,500.00
04/11/2019,19.80,VIF,19.10,19.80,19.00,4300.00
01/11/2019,19.00,VIF,19.10,19.10,19.00,1900.00
31/10/2019,19.20,VIF,19.20,19.40,19.00,5500.00
30/10/2019,19.20,VIF,19.20,19.20,19.20,0.00
29/10/2019,19.00,VIF,19.50,19.50,19.00,1600.00
28/10/2019,19.00,VIF,19.80,19.80,19.00,2100.00
25/10/2019,19.30,VIF,20.30,20.30,19.30,2800.00
24/10/2019,19.70,VIF,19.80,19.80,19.00,2200.00
23/10/2019,19.40,VIF,19.90,19.90,19.40,1100.00
22/10/2019,19.20,VIF,19.10,19.80,19.10,500.00
21/10/2019,20.00,VIF,20.00,20.00,20.00,0.00
18/10/2019,20.00,VIF,20.00,20.00,20.00,1100.00
17/10/2019,20.00,VIF,20.50,20.50,19.90,1900.00
16/10/2019,21.00,VIF,21.30,21.80,21.00,3100.00
15/10/2019,20.90,VIF,20.30,20.90,20.00,1500.00
14/10/2019,20.00,VIF,20.50,20.50,20.00,2200.00
11/10/2019,21.30,VIF,21.40,21.40,20.60,2710.00
10/10/2019,21.50,VIF,20.90,21.50,20.90,3500.00
09/10/2019,21.70,VIF,20.00,22.00,19.80,4500.00
08/10/2019,23.20,VIF,23.20,23.20,23.20,200.00
07/10/2019,20.20,VIF,20.10,20.50,20.00,3000.00
04/10/2019,22.00,VIF,22.00,22.00,22.00,0.00
03/10/2019,22.00,VIF,22.00,22.00,22.00,100.00
02/10/2019,21.90,VIF,21.90,21.90,21.90,0.00
01/10/2019,21.90,VIF,21.90,21.90,21.90,100.00
30/09/2019,21.90,VIF,21.90,21.90,21.90,100.00
27/09/2019,21.90,VIF,21.00,22.00,21.00,1600.00
26/09/2019,21.50,VIF,20.50,21.50,20.50,1700.00
25/09/2019,21.50,VIF,21.50,21.50,21.50,0.00
24/09/2019,21.60,VIF,21.50,21.60,21.50,3100.00
23/09/2019,22.10,VIF,21.60,22.30,21.60,2100.00
20/09/2019,21.50,VIF,22.70,22.70,21.50,3600.00
