DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,4.99,VIP,5.00,5.00,4.91,7320.00
10/01/2020,5.00,VIP,5.00,5.00,4.95,15610.00
09/01/2020,5.00,VIP,5.00,5.00,5.00,5210.00
08/01/2020,5.00,VIP,5.00,5.00,4.87,27860.00
07/01/2020,5.00,VIP,5.00,5.00,5.00,10400.00
06/01/2020,5.00,VIP,5.00,5.00,4.95,21010.00
03/01/2020,4.98,VIP,4.90,5.00,4.90,4930.00
02/01/2020,4.96,VIP,4.90,4.96,4.88,1510.00
31/12/2019,4.96,VIP,4.96,4.96,4.90,1400.00
30/12/2019,4.96,VIP,4.95,4.96,4.86,5770.00
27/12/2019,4.98,VIP,4.90,5.00,4.90,5740.00
26/12/2019,5.00,VIP,5.01,5.01,4.90,10610.00
25/12/2019,5.01,VIP,5.01,5.01,4.88,25800.00
24/12/2019,5.01,VIP,5.02,5.02,4.91,19310.00
23/12/2019,4.91,VIP,5.00,5.06,4.91,20720.00
20/12/2019,5.00,VIP,5.00,5.00,5.00,10.00
19/12/2019,5.00,VIP,4.95,5.00,4.91,6030.00
18/12/2019,4.95,VIP,4.95,4.95,4.90,10730.00
17/12/2019,4.95,VIP,4.94,4.96,4.91,7980.00
16/12/2019,4.94,VIP,5.00,5.01,4.94,47950.00
13/12/2019,5.04,VIP,5.05,5.05,4.97,1550.00
12/12/2019,5.05,VIP,5.05,5.07,5.00,6150.00
11/12/2019,5.05,VIP,5.05,5.05,5.05,530.00
10/12/2019,5.05,VIP,5.06,5.06,5.01,130.00
09/12/2019,5.06,VIP,5.06,5.06,4.91,11240.00
06/12/2019,5.05,VIP,5.04,5.07,5.04,1740.00
05/12/2019,5.03,VIP,4.90,5.03,4.90,55330.00
04/12/2019,5.00,VIP,5.00,5.00,4.80,170.00
03/12/2019,5.00,VIP,4.75,5.00,4.75,3310.00
02/12/2019,4.77,VIP,5.00,5.03,4.77,5660.00
29/11/2019,5.04,VIP,5.00,5.04,5.04,20.00
28/11/2019,5.00,VIP,5.05,5.05,5.00,6060.00
27/11/2019,5.00,VIP,5.07,5.07,4.81,12480.00
26/11/2019,5.00,VIP,5.00,5.07,5.00,190.00
25/11/2019,5.00,VIP,5.01,5.01,5.00,8300.00
22/11/2019,5.00,VIP,4.90,5.01,4.90,5520.00
21/11/2019,5.00,VIP,5.00,5.00,5.00,5330.00
20/11/2019,5.00,VIP,5.00,5.02,5.00,70840.00
19/11/2019,5.00,VIP,5.02,5.02,4.93,20880.00
18/11/2019,5.04,VIP,5.04,5.04,5.00,4390.00
15/11/2019,5.04,VIP,5.00,5.04,5.00,10720.00
14/11/2019,5.04,VIP,5.05,5.05,4.95,30710.00
13/11/2019,5.04,VIP,5.01,5.04,5.00,26290.00
12/11/2019,5.03,VIP,5.05,5.05,4.93,11030.00
11/11/2019,5.05,VIP,5.00,5.05,5.00,6720.00
08/11/2019,5.05,VIP,5.00,5.06,5.00,4160.00
07/11/2019,5.02,VIP,4.91,5.04,4.91,16910.00
06/11/2019,5.00,VIP,5.03,5.07,5.00,5230.00
05/11/2019,5.01,VIP,4.88,5.05,4.88,6780.00
