DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,146.50,VJC,146.20,146.50,145.90,466570.00
10/01/2020,146.20,VJC,146.20,146.30,145.30,483900.00
09/01/2020,146.20,VJC,144.80,146.20,144.70,451440.00
08/01/2020,144.80,VJC,145.70,145.80,144.00,417200.00
07/01/2020,145.90,VJC,145.80,146.00,145.50,360760.00
06/01/2020,146.00,VJC,147.80,147.80,145.60,334350.00
03/01/2020,148.00,VJC,148.00,148.80,147.50,350790.00
02/01/2020,148.00,VJC,146.30,148.00,146.30,419710.00
31/12/2019,146.20,VJC,144.60,146.30,144.40,482790.00
30/12/2019,144.40,VJC,143.60,144.40,143.50,415840.00
27/12/2019,143.60,VJC,143.50,143.70,143.40,360120.00
26/12/2019,143.70,VJC,143.80,144.00,143.50,371430.00
25/12/2019,143.80,VJC,143.40,143.80,143.20,354830.00
24/12/2019,143.50,VJC,142.90,143.50,142.80,358610.00
23/12/2019,142.90,VJC,142.50,143.80,142.50,407670.00
20/12/2019,142.50,VJC,142.60,142.70,142.10,800200.00
19/12/2019,142.60,VJC,142.70,143.00,142.30,452360.00
18/12/2019,142.70,VJC,142.60,142.70,142.20,389080.00
17/12/2019,142.60,VJC,142.90,143.00,142.30,309620.00
16/12/2019,143.00,VJC,144.50,144.50,142.80,409810.00
13/12/2019,144.50,VJC,145.20,145.40,144.50,349180.00
12/12/2019,145.20,VJC,144.00,145.20,143.90,423230.00
11/12/2019,143.90,VJC,143.70,144.10,143.40,405490.00
10/12/2019,143.80,VJC,144.50,144.50,143.30,400540.00
09/12/2019,144.50,VJC,144.30,144.50,143.20,351930.00
06/12/2019,144.40,VJC,145.30,145.30,144.10,385820.00
05/12/2019,145.40,VJC,145.60,145.90,145.40,413470.00
04/12/2019,145.50,VJC,145.40,145.70,145.00,395960.00
03/12/2019,145.40,VJC,145.80,145.80,145.00,492220.00
02/12/2019,146.10,VJC,145.10,146.20,144.90,561090.00
29/11/2019,144.90,VJC,144.60,145.10,144.60,336450.00
28/11/2019,144.60,VJC,143.80,144.70,143.80,501020.00
27/11/2019,143.70,VJC,143.50,143.80,143.20,321040.00
26/11/2019,143.30,VJC,143.00,143.50,143.00,445370.00
25/11/2019,143.00,VJC,142.00,143.00,141.60,393890.00
22/11/2019,143.00,VJC,143.40,143.60,142.50,431230.00
