DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,2.90,VKC,2.90,2.90,2.80,2820.00
10/01/2020,2.80,VKC,2.80,2.90,2.80,10620.00
09/01/2020,2.90,VKC,2.90,2.90,2.80,6112.00
08/01/2020,2.80,VKC,2.90,3.00,2.80,3900.00
07/01/2020,3.00,VKC,3.00,3.00,2.80,13700.00
06/01/2020,3.00,VKC,3.00,3.00,3.00,300.00
03/01/2020,3.00,VKC,3.00,3.00,3.00,14008.00
02/01/2020,3.00,VKC,2.90,3.00,2.90,67836.00
31/12/2019,2.80,VKC,2.70,2.80,2.70,4800.00
30/12/2019,2.80,VKC,2.80,2.90,2.80,2900.00
27/12/2019,2.80,VKC,2.90,2.90,2.80,4647.00
26/12/2019,2.80,VKC,3.00,3.00,2.80,3976.00
25/12/2019,3.00,VKC,2.90,3.00,2.90,5800.00
24/12/2019,2.90,VKC,2.70,3.00,2.70,25953.00
23/12/2019,2.90,VKC,2.90,2.90,2.90,6610.00
20/12/2019,3.00,VKC,2.90,3.00,2.90,19400.00
19/12/2019,3.00,VKC,2.90,3.00,2.90,4100.00
18/12/2019,2.90,VKC,3.00,3.00,2.90,2400.00
17/12/2019,3.00,VKC,2.90,3.00,2.90,3100.00
16/12/2019,2.90,VKC,2.90,2.90,2.90,3000.00
13/12/2019,3.00,VKC,2.90,3.00,2.90,13200.00
12/12/2019,3.00,VKC,2.90,3.00,2.90,4200.00
11/12/2019,3.00,VKC,3.00,3.00,2.90,40300.00
10/12/2019,3.00,VKC,3.00,3.00,2.90,56000.00
09/12/2019,3.00,VKC,2.90,3.00,2.90,9500.00
06/12/2019,3.00,VKC,2.90,3.00,2.90,6600.00
05/12/2019,2.90,VKC,2.90,2.90,2.90,1300.00
04/12/2019,3.00,VKC,3.00,3.00,3.00,37900.00
03/12/2019,3.10,VKC,3.20,3.20,2.90,54900.00
02/12/2019,3.20,VKC,3.00,3.20,2.90,26600.00
29/11/2019,3.10,VKC,3.00,3.10,3.00,25407.00
28/11/2019,3.10,VKC,3.10,3.10,3.00,50500.00
27/11/2019,3.30,VKC,3.00,3.30,3.00,42800.00
26/11/2019,3.10,VKC,2.90,3.10,2.90,13500.00
25/11/2019,2.90,VKC,3.00,3.00,2.90,121600.00
22/11/2019,3.20,VKC,3.20,3.30,3.10,55300.00
21/11/2019,3.40,VKC,3.40,3.40,3.20,60200.00
20/11/2019,3.50,VKC,3.30,3.50,3.20,24600.00
19/11/2019,3.50,VKC,3.10,3.50,2.90,137000.00
18/11/2019,3.20,VKC,3.20,3.20,3.10,30600.00
15/11/2019,3.40,VKC,3.20,3.40,3.10,28600.00
14/11/2019,3.40,VKC,3.10,3.40,3.00,29500.00
13/11/2019,3.10,VKC,3.10,3.30,3.00,15000.00
12/11/2019,3.10,VKC,2.70,3.10,2.70,32600.00
11/11/2019,2.90,VKC,3.00,3.00,2.90,11400.00
08/11/2019,3.10,VKC,3.20,3.20,3.00,58500.00
07/11/2019,3.30,VKC,3.30,3.30,3.20,34300.00
06/11/2019,3.40,VKC,3.40,3.40,3.40,31700.00
05/11/2019,3.50,VKC,3.20,3.50,3.20,48600.00
04/11/2019,3.40,VKC,3.30,3.40,3.30,46000.00
01/11/2019,3.40,VKC,3.50,3.50,3.40,56200.00
31/10/2019,3.50,VKC,3.50,3.50,3.40,36600.00
30/10/2019,3.50,VKC,3.50,3.60,3.50,40900.00
29/10/2019,3.50,VKC,3.50,3.50,3.50,28500.00
28/10/2019,3.60,VKC,3.60,3.60,3.50,36000.00
25/10/2019,3.60,VKC,3.50,3.60,3.50,94400.00
24/10/2019,3.60,VKC,3.50,3.60,3.50,32500.00
23/10/2019,3.70,VKC,3.60,3.70,3.60,82500.00
22/10/2019,3.60,VKC,3.50,3.60,3.40,114600.00
21/10/2019,3.60,VKC,3.50,3.60,3.50,67100.00
18/10/2019,3.60,VKC,3.60,3.60,3.50,36900.00
17/10/2019,3.70,VKC,3.60,3.70,3.60,58800.00
16/10/2019,3.70,VKC,3.60,3.70,3.60,76900.00
15/10/2019,3.70,VKC,3.70,3.70,3.60,35200.00
14/10/2019,3.70,VKC,3.60,3.70,3.50,32300.00
11/10/2019,3.60,VKC,3.60,3.60,3.50,43830.00
10/10/2019,3.60,VKC,3.70,3.70,3.60,28500.00
09/10/2019,3.70,VKC,3.70,3.70,3.70,17600.00
08/10/2019,3.70,VKC,3.70,3.70,3.70,19400.00
07/10/2019,3.70,VKC,3.70,3.70,3.60,18700.00
04/10/2019,3.70,VKC,3.70,3.80,3.70,19200.00
03/10/2019,3.70,VKC,3.70,3.70,3.50,22600.00
02/10/2019,3.70,VKC,3.70,3.80,3.70,17030.00
01/10/2019,3.70,VKC,3.70,3.70,3.60,25500.00
30/09/2019,3.70,VKC,3.80,3.80,3.70,13900.00
27/09/2019,3.70,VKC,3.70,3.80,3.60,26030.00
26/09/2019,3.70,VKC,3.70,3.80,3.60,33160.00
25/09/2019,3.80,VKC,3.80,3.90,3.80,24600.00
24/09/2019,3.80,VKC,3.60,3.80,3.60,24100.00
23/09/2019,3.70,VKC,3.60,3.70,3.60,28600.00
20/09/2019,3.60,VKC,3.50,3.60,3.50,15200.00
19/09/2019,3.60,VKC,3.60,3.60,3.60,34800.00
18/09/2019,3.60,VKC,3.50,3.60,3.50,28223.00
17/09/2019,3.60,VKC,3.60,3.60,3.50,12500.00
16/09/2019,3.60,VKC,3.60,3.80,3.60,31210.00
13/09/2019,3.60,VKC,3.60,3.80,3.60,8000.00
12/09/2019,3.60,VKC,3.80,3.90,3.60,29900.00
11/09/2019,3.80,VKC,3.60,3.80,3.60,5177.00
10/09/2019,3.70,VKC,3.70,3.70,3.70,300.00
09/09/2019,3.80,VKC,3.80,3.80,3.80,100.00
06/09/2019,3.60,VKC,3.70,3.70,3.60,13600.00
05/09/2019,3.80,VKC,3.70,3.80,3.50,7700.00
04/09/2019,3.70,VKC,3.70,3.70,3.70,4300.00
03/09/2019,3.70,VKC,3.70,3.70,3.70,0.00
30/08/2019,3.70,VKC,3.70,3.70,3.70,3300.00
29/08/2019,3.60,VKC,3.80,3.80,3.60,43400.00
28/08/2019,3.80,VKC,3.80,3.90,3.70,48400.00
27/08/2019,3.80,VKC,3.80,3.80,3.70,14500.00
26/08/2019,3.80,VKC,3.90,3.90,3.80,15125.00
23/08/2019,3.90,VKC,3.90,3.90,3.80,30800.00
22/08/2019,3.90,VKC,4.00,4.00,3.80,36820.00
21/08/2019,3.90,VKC,3.70,3.90,3.70,41200.00
20/08/2019,3.60,VKC,3.90,3.90,3.60,38100.00
19/08/2019,3.90,VKC,4.00,4.00,3.90,29300.00
16/08/2019,4.00,VKC,4.00,4.00,3.90,75225.00
15/08/2019,4.00,VKC,3.90,4.00,3.90,44000.00
14/08/2019,3.90,VKC,3.90,4.00,3.90,39800.00
13/08/2019,3.80,VKC,3.80,3.80,3.70,65800.00
