DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,14.60,VKD,15.10,15.10,14.60,2100.00
10/01/2020,15.10,VKD,15.10,15.10,15.10,200.00
09/01/2020,15.10,VKD,15.10,15.10,15.10,0.00
08/01/2020,15.10,VKD,15.10,15.10,15.10,1800.00
07/01/2020,18.00,VKD,15.00,18.00,15.00,1900.00
06/01/2020,16.10,VKD,16.10,16.10,16.10,0.00
03/01/2020,16.10,VKD,16.10,16.10,16.10,0.00
02/01/2020,16.10,VKD,16.10,16.20,16.10,1300.00
31/12/2019,18.90,VKD,18.90,18.90,18.90,100.00
30/12/2019,16.60,VKD,16.60,16.60,16.60,400.00
27/12/2019,14.50,VKD,14.40,14.50,14.40,400.00
26/12/2019,16.00,VKD,16.00,16.00,16.00,200.00
25/12/2019,18.70,VKD,18.70,18.70,18.70,500.00
24/12/2019,16.30,VKD,16.30,16.30,16.30,1000.00
23/12/2019,14.00,VKD,14.20,14.30,14.00,6200.00
20/12/2019,16.20,VKD,16.20,16.20,16.20,400.00
19/12/2019,14.10,VKD,14.10,14.10,14.10,800.00
18/12/2019,14.10,VKD,14.10,14.10,14.10,400.00
17/12/2019,15.40,VKD,15.40,15.40,15.40,0.00
16/12/2019,15.40,VKD,15.40,15.40,15.40,0.00
13/12/2019,15.40,VKD,15.40,15.40,15.40,0.00
12/12/2019,15.40,VKD,15.40,15.40,15.40,0.00
11/12/2019,15.40,VKD,15.40,15.40,15.40,0.00
10/12/2019,15.40,VKD,15.40,15.40,15.40,0.00
09/12/2019,15.40,VKD,15.40,15.40,15.40,0.00
06/12/2019,15.40,VKD,15.40,15.40,15.40,0.00
05/12/2019,15.40,VKD,15.40,15.40,15.40,0.00
04/12/2019,15.40,VKD,15.40,15.40,15.40,0.00
03/12/2019,15.40,VKD,15.40,15.40,15.40,0.00
02/12/2019,15.40,VKD,15.30,15.40,15.30,700.00
29/11/2019,19.00,VKD,16.50,19.00,16.50,200.00
28/11/2019,19.10,VKD,19.10,19.10,19.10,0.00
27/11/2019,19.00,VKD,18.80,19.50,18.80,2000.00
26/11/2019,17.00,VKD,17.00,17.00,17.00,100.00
25/11/2019,17.00,VKD,17.00,17.00,17.00,0.00
22/11/2019,17.00,VKD,17.00,17.00,17.00,0.00
21/11/2019,17.00,VKD,17.00,17.00,17.00,0.00
20/11/2019,17.00,VKD,17.00,17.00,17.00,0.00
19/11/2019,17.00,VKD,17.00,17.00,17.00,100.00
18/11/2019,14.90,VKD,14.90,14.90,14.90,0.00
15/11/2019,14.90,VKD,14.90,14.90,14.90,20.00
14/11/2019,14.90,VKD,14.90,14.90,14.90,0.00
13/11/2019,15.00,VKD,15.00,15.00,14.30,8500.00
12/11/2019,14.30,VKD,14.30,14.30,14.30,0.00
11/11/2019,14.30,VKD,14.30,14.30,14.30,0.00
08/11/2019,14.30,VKD,14.30,14.30,14.30,0.00
07/11/2019,14.30,VKD,14.30,14.30,14.30,0.00
06/11/2019,14.30,VKD,14.30,14.30,14.30,1000.00
05/11/2019,16.30,VKD,16.30,16.30,16.30,2200.00
04/11/2019,14.20,VKD,14.20,14.20,14.20,0.00
01/11/2019,14.20,VKD,14.00,14.20,14.00,2100.00
31/10/2019,14.00,VKD,14.00,14.00,14.00,1000.00
30/10/2019,14.00,VKD,14.00,14.00,14.00,200.00
29/10/2019,16.30,VKD,16.30,16.30,16.30,0.00
28/10/2019,16.30,VKD,16.30,16.30,16.30,0.00
25/10/2019,16.30,VKD,16.30,16.30,16.30,0.00
24/10/2019,16.60,VKD,16.60,16.60,15.00,500.00
23/10/2019,14.60,VKD,14.60,14.60,14.60,0.00
22/10/2019,14.60,VKD,14.60,14.60,14.60,0.00
21/10/2019,14.60,VKD,14.60,14.60,14.60,0.00
18/10/2019,14.60,VKD,14.50,14.60,14.50,600.00
17/10/2019,16.80,VKD,16.80,16.80,16.80,0.00
16/10/2019,16.80,VKD,16.80,16.90,16.80,9200.00
15/10/2019,14.70,VKD,14.70,14.70,14.70,0.00
14/10/2019,14.10,VKD,15.80,15.80,14.10,830.00
11/10/2019,15.00,VKD,13.50,15.00,13.50,800.00
10/10/2019,14.90,VKD,14.90,14.90,14.90,300.00
09/10/2019,14.90,VKD,14.90,14.90,14.90,100.00
08/10/2019,14.90,VKD,14.90,14.90,14.90,2800.00
