DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,14.15,VNL,14.15,14.15,14.15,10.00
10/01/2020,15.10,VNL,15.10,15.10,15.10,10.00
09/01/2020,15.10,VNL,15.10,15.10,15.10,0.00
08/01/2020,15.10,VNL,15.10,15.10,15.10,10.00
07/01/2020,16.20,VNL,14.35,16.20,14.35,20.00
06/01/2020,15.40,VNL,15.40,15.40,15.40,260.00
03/01/2020,14.40,VNL,14.40,14.40,14.40,0.00
02/01/2020,14.40,VNL,14.40,14.40,14.40,100.00
31/12/2019,13.50,VNL,13.50,13.50,13.50,0.00
30/12/2019,13.50,VNL,13.50,13.50,13.50,0.00
27/12/2019,13.50,VNL,15.45,15.45,13.50,270.00
26/12/2019,14.45,VNL,14.45,14.45,14.45,10.00
25/12/2019,13.55,VNL,13.55,13.55,13.55,0.00
24/12/2019,13.55,VNL,13.55,13.55,13.55,0.00
23/12/2019,13.55,VNL,14.05,14.05,13.55,30.00
20/12/2019,14.05,VNL,14.05,14.05,14.05,10.00
19/12/2019,13.15,VNL,14.05,15.00,13.15,50.00
18/12/2019,14.05,VNL,14.05,14.05,14.05,0.00
17/12/2019,14.05,VNL,14.30,14.30,14.05,20.00
16/12/2019,14.65,VNL,14.65,14.65,14.65,10.00
13/12/2019,15.60,VNL,14.05,15.60,13.60,60.00
12/12/2019,14.60,VNL,12.75,14.60,12.75,40.00
11/12/2019,13.65,VNL,15.65,15.65,13.65,80.00
10/12/2019,14.65,VNL,12.80,14.65,12.80,60.00
09/12/2019,13.70,VNL,13.70,13.70,13.70,10.00
06/12/2019,14.65,VNL,14.65,14.65,14.65,10.00
05/12/2019,15.60,VNL,13.85,15.60,13.85,450.00
04/12/2019,14.60,VNL,15.10,15.10,14.60,40.00
03/12/2019,14.15,VNL,15.00,16.10,14.05,40.00
02/12/2019,15.10,VNL,15.10,15.10,15.10,360.00
29/11/2019,14.15,VNL,14.95,14.15,14.15,10.00
28/11/2019,14.95,VNL,14.95,14.95,13.10,30.00
27/11/2019,14.00,VNL,13.95,14.00,13.95,220.00
26/11/2019,15.00,VNL,13.90,15.85,13.90,40.00
25/11/2019,14.90,VNL,14.95,15.50,14.90,30.00
22/11/2019,16.00,VNL,14.20,16.00,14.10,170.00
21/11/2019,15.15,VNL,14.20,15.15,14.20,20.00
20/11/2019,14.20,VNL,14.20,14.20,14.20,10.00
19/11/2019,13.30,VNL,13.30,13.30,13.30,330.00
18/11/2019,13.30,VNL,13.00,13.30,13.00,70.00
15/11/2019,12.45,VNL,12.45,12.45,12.45,0.00
14/11/2019,12.45,VNL,12.45,12.45,12.45,10.00
13/11/2019,13.35,VNL,13.35,13.35,13.35,10.00
12/11/2019,14.30,VNL,14.30,14.30,14.30,10.00
11/11/2019,14.50,VNL,14.50,14.50,14.50,0.00
08/11/2019,14.50,VNL,14.50,14.50,14.50,10.00
07/11/2019,15.55,VNL,15.55,15.55,15.55,20.00
06/11/2019,15.55,VNL,13.65,15.55,13.65,30.00
05/11/2019,14.55,VNL,14.05,16.05,14.05,50.00
04/11/2019,15.00,VNL,13.10,15.00,13.10,20.00
01/11/2019,14.05,VNL,13.65,15.55,13.65,49460.00
31/10/2019,14.55,VNL,14.55,14.55,14.55,40.00
30/10/2019,15.60,VNL,15.60,15.60,15.60,10.00
29/10/2019,16.65,VNL,15.80,16.65,15.80,100.00
28/10/2019,15.60,VNL,13.75,15.60,13.75,70.00
25/10/2019,14.65,VNL,14.65,14.65,14.65,120.00
24/10/2019,15.70,VNL,15.70,15.70,15.70,10.00
23/10/2019,16.85,VNL,16.85,16.85,16.85,10.00
22/10/2019,18.10,VNL,18.10,18.10,18.10,1490.00
21/10/2019,18.10,VNL,18.10,18.10,18.10,180.00
18/10/2019,17.00,VNL,16.05,17.20,15.10,100.00
17/10/2019,16.10,VNL,16.10,16.10,16.10,140.00
16/10/2019,15.05,VNL,15.05,15.05,15.05,1030.00
15/10/2019,14.10,VNL,14.10,14.10,13.35,40.00
14/10/2019,13.20,VNL,14.95,14.95,13.20,210.00
11/10/2019,14.00,VNL,14.00,14.00,14.00,30.00
10/10/2019,15.00,VNL,15.00,15.00,15.00,10.00
09/10/2019,14.60,VNL,14.60,14.60,14.60,300.00
08/10/2019,14.60,VNL,14.40,14.60,14.40,20.00
07/10/2019,15.35,VNL,15.35,15.35,15.35,0.00
04/10/2019,15.35,VNL,15.35,15.35,15.35,0.00
03/10/2019,15.35,VNL,15.35,15.35,15.35,830.00
02/10/2019,16.50,VNL,16.20,16.50,16.20,30000.00
01/10/2019,17.40,VNL,17.40,17.40,17.40,10.00
30/09/2019,16.35,VNL,16.35,16.35,16.35,0.00
27/09/2019,16.35,VNL,16.35,16.35,16.35,10.00
26/09/2019,16.00,VNL,16.00,16.00,16.00,0.00
25/09/2019,16.00,VNL,16.00,16.00,16.00,0.00
24/09/2019,16.00,VNL,15.00,16.00,15.00,540.00
23/09/2019,15.00,VNL,13.95,15.00,13.95,70.00
20/09/2019,15.00,VNL,15.00,15.00,15.00,0.00
19/09/2019,15.00,VNL,15.00,15.00,15.00,0.00
18/09/2019,15.00,VNL,15.00,15.00,15.00,20.00
17/09/2019,14.10,VNL,14.10,14.10,14.10,10.00
16/09/2019,15.05,VNL,15.05,15.05,15.05,0.00
13/09/2019,15.05,VNL,15.05,15.05,15.05,120.00
12/09/2019,14.10,VNL,14.10,14.10,14.10,10.00
11/09/2019,15.00,VNL,15.00,15.00,15.00,20.00
10/09/2019,14.60,VNL,14.60,14.60,14.60,0.00
09/09/2019,14.60,VNL,14.60,14.60,14.60,10.00
06/09/2019,15.65,VNL,15.65,15.65,15.65,860.00
05/09/2019,16.80,VNL,16.80,16.80,16.80,10.00
04/09/2019,16.95,VNL,17.65,17.65,16.45,490.00
03/09/2019,17.65,VNL,17.65,17.65,17.65,0.00
30/08/2019,17.65,VNL,15.80,17.65,15.80,30.00
29/08/2019,16.95,VNL,16.95,16.95,16.95,10.00
28/08/2019,16.70,VNL,16.70,16.70,16.70,20.00
27/08/2019,16.30,VNL,16.00,16.95,15.10,420.00
26/08/2019,16.20,VNL,16.20,16.20,16.20,0.00
23/08/2019,16.20,VNL,14.50,16.20,14.50,550.00
22/08/2019,15.15,VNL,15.15,15.15,15.15,20.00
21/08/2019,14.20,VNL,14.70,14.70,14.20,80.00
20/08/2019,14.70,VNL,14.80,14.80,14.70,30.00
19/08/2019,15.75,VNL,15.75,15.75,15.75,1180.00
16/08/2019,15.75,VNL,15.75,15.75,15.75,2020.00
15/08/2019,16.90,VNL,16.35,17.35,16.35,100.00
14/08/2019,16.35,VNL,16.40,16.55,14.45,3440.00
13/08/2019,15.50,VNL,15.50,16.55,14.45,2660.00
12/08/2019,15.50,VNL,15.50,15.50,15.50,10.00
09/08/2019,14.55,VNL,14.55,14.55,14.55,10.00
08/08/2019,15.20,VNL,15.20,15.20,15.20,10.00
07/08/2019,14.25,VNL,15.00,15.00,14.25,4410.00
06/08/2019,14.05,VNL,15.00,15.00,14.05,20.00
05/08/2019,14.05,VNL,14.05,14.05,14.05,10.00
02/08/2019,14.90,VNL,14.90,14.90,14.90,10.00
01/08/2019,16.00,VNL,16.00,16.00,16.00,10.00
31/07/2019,16.60,VNL,16.60,16.60,16.60,1600.00
30/07/2019,15.55,VNL,15.50,15.55,14.30,50.00
29/07/2019,14.55,VNL,14.55,14.55,14.55,10.00
26/07/2019,15.45,VNL,14.45,15.45,14.45,30.00
25/07/2019,14.45,VNL,15.20,15.20,14.45,30.00
24/07/2019,15.10,VNL,14.60,15.10,14.60,30.00
23/07/2019,15.10,VNL,15.00,15.10,15.00,20.00
22/07/2019,15.80,VNL,14.90,15.80,14.90,30.00
19/07/2019,15.80,VNL,14.80,16.00,14.80,30.00
18/07/2019,15.70,VNL,13.80,15.70,13.80,30.00
17/07/2019,14.70,VNL,14.70,14.70,14.70,10.00
16/07/2019,15.50,VNL,15.50,15.50,15.50,30.00
15/07/2019,15.50,VNL,14.40,15.50,14.40,30.00
12/07/2019,15.00,VNL,15.05,15.05,15.00,40.00
11/07/2019,15.80,VNL,15.80,15.80,15.80,0.00
10/07/2019,15.80,VNL,14.35,15.80,14.35,30.00
09/07/2019,14.80,VNL,15.70,15.70,14.80,20.00
08/07/2019,14.75,VNL,14.50,16.40,14.50,550.00
05/07/2019,15.35,VNL,15.45,17.00,15.35,130.00
04/07/2019,16.50,VNL,15.60,16.50,15.15,30.00
03/07/2019,16.05,VNL,16.05,16.05,16.05,30.00
02/07/2019,17.25,VNL,17.25,17.25,17.25,1630.00
01/07/2019,19.00,VNL,17.25,19.00,17.25,120.00
28/06/2019,18.50,VNL,17.05,18.50,17.05,20.00
27/06/2019,18.30,VNL,17.00,18.30,17.00,30.00
26/06/2019,17.80,VNL,15.65,17.80,15.50,530.00
25/06/2019,16.65,VNL,16.65,16.65,16.65,20.00
24/06/2019,17.90,VNL,15.85,17.90,15.85,30.00
21/06/2019,17.00,VNL,15.35,17.00,15.35,20.00
20/06/2019,16.50,VNL,14.65,16.50,14.65,20.00
19/06/2019,15.45,VNL,15.45,15.45,15.45,0.00
18/06/2019,15.45,VNL,16.50,16.50,15.45,20.00
17/06/2019,16.50,VNL,16.50,16.50,16.50,20.00
14/06/2019,16.50,VNL,16.50,16.50,16.50,20.00
13/06/2019,16.15,VNL,16.15,16.15,16.15,10.00
12/06/2019,17.35,VNL,15.20,17.35,15.20,20.00
11/06/2019,16.25,VNL,14.60,16.25,14.60,20.00
10/06/2019,15.20,VNL,15.20,15.20,15.20,10.00
07/06/2019,16.30,VNL,16.30,16.30,16.30,10.00
06/06/2019,17.50,VNL,17.50,17.50,17.50,510.00
05/06/2019,17.80,VNL,17.80,17.80,17.80,1100.00
04/06/2019,17.00,VNL,15.60,17.50,15.60,30.00
03/06/2019,16.65,VNL,16.65,16.65,16.65,10.00
31/05/2019,17.90,VNL,15.65,17.90,15.65,3240.00
30/05/2019,16.75,VNL,16.75,16.75,16.75,10.00
29/05/2019,18.00,VNL,15.95,18.00,15.95,20.00
28/05/2019,17.00,VNL,15.90,17.00,15.90,30.00
27/05/2019,17.00,VNL,16.70,17.00,16.70,1170.00
24/05/2019,17.95,VNL,17.95,17.95,17.95,0.00
23/05/2019,17.95,VNL,15.80,17.95,15.80,20.00
22/05/2019,16.95,VNL,14.90,16.95,14.90,30.00
21/05/2019,15.85,VNL,15.85,15.85,15.85,0.00
20/05/2019,15.85,VNL,15.85,15.85,15.85,10.00
17/05/2019,17.00,VNL,15.65,17.00,15.65,70.00
16/05/2019,16.50,VNL,16.50,16.50,16.50,10.00
15/05/2019,15.45,VNL,15.45,15.45,15.45,10.00
14/05/2019,16.30,VNL,16.30,16.30,16.30,10.00
13/05/2019,17.50,VNL,17.50,17.50,17.50,10.00
10/05/2019,18.80,VNL,18.80,18.80,18.80,0.00
09/05/2019,18.80,VNL,18.80,18.80,18.80,0.00
08/05/2019,18.80,VNL,16.45,18.80,16.45,20.00
07/05/2019,17.65,VNL,17.65,17.65,17.65,0.00
06/05/2019,17.65,VNL,17.65,17.65,17.65,10.00
03/05/2019,16.50,VNL,17.00,17.00,16.50,7760.00
02/05/2019,16.00,VNL,17.00,17.00,16.00,4100.00
26/04/2019,16.00,VNL,16.00,16.00,16.00,0.00
25/04/2019,16.00,VNL,16.00,16.00,16.00,10.00
24/04/2019,17.00,VNL,17.00,17.00,17.00,3210.00
23/04/2019,17.00,VNL,17.00,17.00,17.00,5040.00
22/04/2019,18.00,VNL,18.00,18.00,17.00,5250.00
19/04/2019,17.00,VNL,16.90,17.00,16.90,180.00
18/04/2019,16.00,VNL,15.50,16.00,15.50,70.00
17/04/2019,15.10,VNL,15.10,15.10,15.10,0.00
16/04/2019,15.10,VNL,15.10,15.10,15.10,10.00
12/04/2019,15.70,VNL,15.70,15.70,15.70,0.00
11/04/2019,15.70,VNL,15.70,15.70,15.70,0.00
10/04/2019,15.70,VNL,15.70,15.70,15.70,0.00
09/04/2019,15.70,VNL,15.70,15.70,15.70,10.00
08/04/2019,15.70,VNL,15.70,15.70,15.70,10.00
05/04/2019,16.70,VNL,16.70,16.70,16.70,1100.00
04/04/2019,15.65,VNL,15.65,15.65,15.65,0.00
03/04/2019,15.65,VNL,14.25,15.65,14.25,30.00
02/04/2019,14.65,VNL,14.65,14.65,14.65,20.00
01/04/2019,15.75,VNL,15.75,15.75,15.75,10.00
29/03/2019,14.75,VNL,14.75,14.75,14.75,0.00
28/03/2019,14.75,VNL,14.75,14.75,14.75,40.00
27/03/2019,15.85,VNL,15.85,15.85,15.85,0.00
26/03/2019,15.85,VNL,15.85,15.85,15.85,10.00
25/03/2019,17.00,VNL,17.00,17.00,16.90,260.00
22/03/2019,15.90,VNL,15.90,15.90,15.90,10.00
21/03/2019,16.95,VNL,16.95,16.95,16.95,0.00
20/03/2019,16.95,VNL,14.90,16.95,14.90,60.00
19/03/2019,15.85,VNL,15.85,15.85,15.85,0.00
18/03/2019,15.85,VNL,15.85,15.85,15.85,0.00
15/03/2019,15.85,VNL,15.85,15.85,15.85,0.00
14/03/2019,15.85,VNL,15.85,15.85,15.85,0.00
13/03/2019,15.85,VNL,15.85,15.85,15.85,0.00
12/03/2019,15.85,VNL,15.85,15.85,15.85,0.00
11/03/2019,15.85,VNL,15.85,15.85,15.85,0.00
08/03/2019,15.85,VNL,15.85,15.85,15.85,20.00
07/03/2019,17.00,VNL,17.00,17.00,17.00,160.00
06/03/2019,17.00,VNL,17.00,17.00,17.00,190.00
05/03/2019,16.55,VNL,16.55,16.55,16.55,0.00
04/03/2019,16.55,VNL,14.85,16.55,14.85,30.00
01/03/2019,15.85,VNL,15.85,15.85,15.85,0.00
28/02/2019,15.85,VNL,15.85,15.85,15.85,0.00
27/02/2019,15.85,VNL,15.85,15.85,15.85,0.00
26/02/2019,15.85,VNL,15.85,15.85,15.85,0.00
25/02/2019,15.85,VNL,15.85,15.85,15.85,10.00
22/02/2019,17.00,VNL,17.00,17.00,17.00,0.00
21/02/2019,17.00,VNL,17.00,17.00,17.00,500.00
20/02/2019,16.50,VNL,16.50,16.50,16.50,2200.00
19/02/2019,16.00,VNL,16.00,16.00,16.00,20.00
18/02/2019,16.00,VNL,16.00,16.00,16.00,0.00
15/02/2019,16.00,VNL,16.00,16.00,16.00,0.00
14/02/2019,16.00,VNL,15.55,16.00,15.55,30.00
13/02/2019,16.70,VNL,16.70,16.70,16.70,30.00
12/02/2019,16.75,VNL,16.75,16.75,16.75,10.00
11/02/2019,15.70,VNL,15.70,15.70,15.70,60.00
01/02/2019,16.85,VNL,14.75,16.85,14.75,20.00
31/01/2019,15.75,VNL,15.75,15.75,15.75,0.00
30/01/2019,15.75,VNL,15.75,15.75,15.75,40.00
29/01/2019,16.90,VNL,15.75,16.90,15.75,30.00
28/01/2019,16.90,VNL,16.90,16.90,16.90,20.00
25/01/2019,18.15,VNL,18.15,18.15,18.15,30.00
24/01/2019,17.00,VNL,15.90,17.00,15.90,550.00
23/01/2019,15.90,VNL,15.90,15.90,15.90,0.00
22/01/2019,15.90,VNL,15.90,15.90,15.90,0.00
21/01/2019,15.90,VNL,15.90,15.90,15.90,10.00
18/01/2019,15.85,VNL,15.85,15.85,15.85,10.00
17/01/2019,17.00,VNL,17.00,17.00,17.00,0.00
16/01/2019,17.00,VNL,17.00,17.00,17.00,0.00
15/01/2019,17.00,VNL,16.00,17.00,16.00,20.00
14/01/2019,17.00,VNL,15.85,17.00,15.85,700.00
11/01/2019,17.00,VNL,17.00,17.00,17.00,0.00
10/01/2019,17.00,VNL,17.00,17.00,17.00,0.00
09/01/2019,17.00,VNL,17.00,17.00,17.00,250.00
08/01/2019,17.00,VNL,16.75,17.00,16.75,2490.00
07/01/2019,16.75,VNL,16.75,16.75,16.75,1040.00
04/01/2019,18.00,VNL,16.00,18.00,16.00,560.00
03/01/2019,17.00,VNL,17.00,17.00,17.00,5310.00
02/01/2019,16.65,VNL,15.10,16.65,15.00,2020.00
28/12/2018,15.60,VNL,15.60,15.60,15.60,0.00
27/12/2018,15.60,VNL,15.60,15.60,15.60,0.00
26/12/2018,15.60,VNL,15.60,15.60,15.60,0.00
25/12/2018,15.60,VNL,15.60,15.60,15.60,0.00
24/12/2018,15.60,VNL,15.60,15.60,15.60,0.00
21/12/2018,15.60,VNL,15.60,15.60,15.60,10.00
20/12/2018,15.50,VNL,15.50,15.50,15.50,10.00
19/12/2018,16.15,VNL,16.10,16.15,16.10,40.00
18/12/2018,15.10,VNL,15.10,15.10,15.10,10.00
17/12/2018,16.20,VNL,16.20,16.20,16.20,0.00
14/12/2018,16.20,VNL,16.20,16.20,16.20,100.00
13/12/2018,16.10,VNL,16.10,16.10,16.10,10.00
12/12/2018,16.20,VNL,16.20,16.20,16.20,0.00
11/12/2018,16.20,VNL,16.20,16.20,16.20,0.00
10/12/2018,16.20,VNL,16.30,16.30,16.20,100.00
07/12/2018,16.50,VNL,16.50,16.50,16.50,0.00
06/12/2018,16.50,VNL,16.50,16.50,16.50,0.00
05/12/2018,16.50,VNL,16.50,16.50,16.50,10.00
04/12/2018,16.20,VNL,16.20,16.20,16.20,0.00
03/12/2018,16.20,VNL,16.20,16.20,16.20,0.00
30/11/2018,16.20,VNL,16.20,16.20,16.20,350.00
29/11/2018,16.20,VNL,16.20,16.20,16.20,0.00
28/11/2018,16.20,VNL,16.20,16.20,16.20,0.00
27/11/2018,16.20,VNL,15.80,16.20,15.80,30.00
26/11/2018,16.20,VNL,16.20,16.20,16.20,0.00
23/11/2018,16.20,VNL,16.20,16.20,16.20,10.00
22/11/2018,16.05,VNL,16.05,16.05,16.05,10.00
21/11/2018,17.00,VNL,16.15,17.00,16.15,430.00
20/11/2018,17.00,VNL,17.00,17.00,17.00,5500.00
19/11/2018,17.00,VNL,16.50,17.00,16.50,6020.00
16/11/2018,16.65,VNL,16.65,16.65,16.65,0.00
15/11/2018,16.65,VNL,16.65,16.65,16.65,0.00
14/11/2018,16.65,VNL,16.65,16.65,16.65,0.00
13/11/2018,16.65,VNL,16.65,16.65,16.65,10.00
12/11/2018,16.65,VNL,16.65,16.65,16.65,10.00
09/11/2018,17.90,VNL,17.90,17.90,17.90,10.00
08/11/2018,16.75,VNL,16.75,16.75,16.75,600.00
07/11/2018,15.70,VNL,15.70,15.70,15.70,20.00
06/11/2018,16.80,VNL,16.80,16.80,16.80,350.00
05/11/2018,16.80,VNL,16.80,16.80,16.80,0.00
02/11/2018,16.80,VNL,16.80,16.80,16.80,0.00
01/11/2018,16.80,VNL,15.70,16.80,15.70,20.00
31/10/2018,16.80,VNL,16.80,17.85,16.80,410.00
30/10/2018,16.80,VNL,16.80,16.80,16.80,0.00
29/10/2018,16.80,VNL,16.80,16.80,16.80,0.00
26/10/2018,16.80,VNL,16.75,16.85,16.75,1510.00
