DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,46.50,VNT,46.50,46.50,46.50,1600.00
10/01/2020,45.10,VNT,49.90,49.90,45.10,2700.00
09/01/2020,45.40,VNT,45.40,45.40,45.40,100.00
08/01/2020,50.40,VNT,50.40,50.40,50.40,100.00
07/01/2020,56.00,VNT,46.00,56.10,46.00,10300.00
06/01/2020,51.00,VNT,43.00,51.00,43.00,200.00
03/01/2020,46.40,VNT,46.40,46.40,46.40,100.00
02/01/2020,42.30,VNT,42.30,42.30,42.30,100.00
31/12/2019,38.50,VNT,38.50,38.50,38.50,10.00
30/12/2019,38.50,VNT,38.50,38.50,38.50,0.00
27/12/2019,38.50,VNT,38.50,38.50,38.50,0.00
26/12/2019,38.50,VNT,38.50,38.50,38.50,0.00
25/12/2019,38.50,VNT,38.50,38.50,38.50,0.00
24/12/2019,38.50,VNT,38.50,38.50,38.50,0.00
23/12/2019,38.50,VNT,38.50,38.50,38.50,0.00
20/12/2019,38.50,VNT,38.50,38.50,38.50,0.00
19/12/2019,38.50,VNT,38.50,38.50,38.50,0.00
18/12/2019,38.50,VNT,38.50,38.50,38.50,100.00
17/12/2019,42.60,VNT,42.60,42.60,42.60,100.00
16/12/2019,46.60,VNT,42.40,46.60,42.40,200.00
13/12/2019,42.40,VNT,42.40,42.40,35.10,3500.00
12/12/2019,38.60,VNT,38.60,38.60,38.60,0.00
11/12/2019,38.60,VNT,38.60,38.60,38.60,0.00
10/12/2019,38.60,VNT,38.60,38.60,38.60,0.00
09/12/2019,38.60,VNT,38.60,38.60,38.60,0.00
06/12/2019,38.60,VNT,38.60,38.60,38.60,0.00
05/12/2019,38.60,VNT,38.60,38.60,38.60,50.00
04/12/2019,38.60,VNT,45.00,45.00,38.60,300.00
03/12/2019,42.70,VNT,42.70,42.70,42.70,0.00
02/12/2019,42.70,VNT,42.70,42.70,42.70,200.00
29/11/2019,38.90,VNT,38.90,38.90,38.90,100.00
28/11/2019,43.20,VNT,52.80,52.80,43.20,600.00
27/11/2019,48.00,VNT,48.00,48.00,48.00,100.00
26/11/2019,53.00,VNT,58.40,58.40,47.80,12000.00
25/11/2019,53.10,VNT,59.00,59.00,53.10,1100.00
22/11/2019,59.00,VNT,59.00,59.00,58.80,30300.00
21/11/2019,59.00,VNT,62.90,62.90,59.00,200.00
20/11/2019,59.00,VNT,59.50,59.50,54.20,25915.00
19/11/2019,54.10,VNT,50.00,54.10,49.20,15500.00
18/11/2019,49.20,VNT,49.20,49.20,49.20,100.00
15/11/2019,44.80,VNT,44.80,44.80,44.80,100.00
14/11/2019,40.80,VNT,40.80,40.80,40.80,0.00
13/11/2019,40.80,VNT,40.80,40.80,40.80,100.00
12/11/2019,37.10,VNT,42.60,42.60,37.10,200.00
11/11/2019,38.80,VNT,38.80,38.80,38.80,0.00
08/11/2019,38.80,VNT,38.80,38.80,38.80,100.00
07/11/2019,35.30,VNT,35.30,35.30,35.30,0.00
06/11/2019,35.30,VNT,35.30,35.30,35.30,50.00
05/11/2019,35.30,VNT,35.30,35.30,35.30,100.00
04/11/2019,32.10,VNT,32.10,32.10,32.10,0.00
01/11/2019,32.10,VNT,32.10,32.10,32.10,100.00
31/10/2019,29.20,VNT,29.20,29.20,29.20,0.00
30/10/2019,29.20,VNT,29.20,29.20,29.20,0.00
29/10/2019,29.20,VNT,29.20,29.20,29.20,0.00
28/10/2019,29.20,VNT,29.20,29.20,29.20,0.00
25/10/2019,29.20,VNT,29.20,29.20,29.20,0.00
24/10/2019,29.20,VNT,29.20,29.20,29.20,0.00
23/10/2019,29.20,VNT,29.20,29.20,29.20,0.00
22/10/2019,29.20,VNT,29.20,29.20,29.20,0.00
21/10/2019,29.20,VNT,29.20,29.20,29.20,0.00
18/10/2019,29.20,VNT,29.20,29.20,29.20,0.00
17/10/2019,29.20,VNT,29.20,29.20,29.20,0.00
16/10/2019,29.20,VNT,29.20,29.20,29.20,0.00
15/10/2019,29.20,VNT,29.20,29.20,29.20,0.00
14/10/2019,29.20,VNT,29.20,29.20,29.20,0.00
11/10/2019,29.20,VNT,29.20,29.20,29.20,0.00
10/10/2019,29.20,VNT,29.20,29.20,29.20,0.00
09/10/2019,29.20,VNT,29.20,29.20,29.20,300.00
08/10/2019,31.90,VNT,31.90,31.90,31.90,0.00
07/10/2019,31.90,VNT,31.90,31.90,31.90,0.00
04/10/2019,31.90,VNT,31.90,31.90,31.90,0.00
03/10/2019,31.90,VNT,31.90,31.90,31.90,0.00
02/10/2019,31.90,VNT,31.90,31.90,31.90,0.00
01/10/2019,31.90,VNT,31.90,31.90,31.90,0.00
30/09/2019,31.90,VNT,31.90,31.90,31.90,0.00
27/09/2019,31.90,VNT,31.90,31.90,31.90,0.00
26/09/2019,31.90,VNT,31.90,31.90,31.90,0.00
25/09/2019,31.90,VNT,31.90,31.90,31.90,0.00
24/09/2019,31.90,VNT,31.90,31.90,31.90,35.00
23/09/2019,31.90,VNT,31.90,31.90,31.90,15.00
20/09/2019,31.90,VNT,31.90,31.90,31.90,0.00
19/09/2019,31.90,VNT,31.90,31.90,31.90,0.00
18/09/2019,31.90,VNT,31.90,31.90,31.90,0.00
17/09/2019,31.90,VNT,31.90,31.90,31.90,0.00
16/09/2019,31.90,VNT,31.90,31.90,31.90,0.00
13/09/2019,31.90,VNT,31.90,31.90,31.90,0.00
12/09/2019,31.90,VNT,31.90,31.90,31.90,0.00
11/09/2019,31.90,VNT,31.90,31.90,31.90,0.00
10/09/2019,31.90,VNT,31.90,31.90,31.90,0.00
09/09/2019,31.90,VNT,31.90,31.90,31.90,50.00
06/09/2019,31.90,VNT,31.90,31.90,31.90,0.00
05/09/2019,31.90,VNT,31.90,31.90,31.90,0.00
04/09/2019,31.90,VNT,31.90,31.90,31.90,0.00
03/09/2019,31.90,VNT,31.90,31.90,31.90,0.00
30/08/2019,31.90,VNT,31.90,31.90,31.90,0.00
29/08/2019,31.90,VNT,31.90,31.90,31.90,0.00
28/08/2019,31.90,VNT,31.90,31.90,31.90,0.00
27/08/2019,31.90,VNT,31.90,31.90,31.90,0.00
26/08/2019,31.90,VNT,31.90,31.90,31.90,0.00
23/08/2019,31.90,VNT,31.90,31.90,31.90,100.00
22/08/2019,35.30,VNT,35.30,35.30,35.30,0.00
21/08/2019,35.30,VNT,35.30,43.10,35.30,700.00
20/08/2019,39.20,VNT,39.20,39.20,39.20,0.00
19/08/2019,39.20,VNT,45.00,45.00,39.20,70500.00
16/08/2019,43.50,VNT,43.50,43.50,43.50,100.00
15/08/2019,39.60,VNT,39.60,39.60,39.60,0.00
14/08/2019,39.60,VNT,39.60,39.60,39.60,0.00
13/08/2019,39.60,VNT,45.00,48.40,39.60,24500.00
12/08/2019,44.00,VNT,40.50,44.00,40.50,200.00
09/08/2019,45.00,VNT,36.90,45.10,36.90,700.00
08/08/2019,41.00,VNT,41.00,41.00,41.00,100.00
07/08/2019,38.00,VNT,32.90,38.00,32.90,2672.00
