DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,0.70,VPC,0.70,0.70,0.70,800.00
10/01/2020,0.80,VPC,0.70,0.80,0.70,1000.00
09/01/2020,0.80,VPC,0.80,0.80,0.80,100.00
08/01/2020,0.80,VPC,0.80,0.80,0.80,0.00
07/01/2020,0.80,VPC,0.80,0.80,0.80,0.00
06/01/2020,0.80,VPC,0.80,0.80,0.80,0.00
03/01/2020,0.80,VPC,0.80,0.80,0.80,0.00
02/01/2020,0.80,VPC,0.80,0.80,0.80,0.00
31/12/2019,0.80,VPC,0.80,0.80,0.80,100.00
30/12/2019,0.70,VPC,0.70,0.70,0.70,5700.00
27/12/2019,0.70,VPC,0.90,0.90,0.70,62700.00
26/12/2019,0.80,VPC,0.80,0.90,0.80,18200.00
25/12/2019,0.90,VPC,0.90,1.00,0.90,1100.00
24/12/2019,1.00,VPC,1.00,1.00,1.00,300.00
23/12/2019,1.00,VPC,0.90,1.00,0.90,173100.00
20/12/2019,0.90,VPC,0.80,0.90,0.80,30000.00
19/12/2019,0.90,VPC,0.90,0.90,0.90,44.00
18/12/2019,0.90,VPC,0.90,0.90,0.90,0.00
17/12/2019,0.90,VPC,0.90,0.90,0.90,0.00
16/12/2019,0.90,VPC,0.90,0.90,0.90,0.00
13/12/2019,0.90,VPC,0.80,0.90,0.80,21000.00
12/12/2019,0.90,VPC,0.80,0.90,0.80,42600.00
11/12/2019,0.80,VPC,0.80,0.80,0.80,0.00
10/12/2019,0.80,VPC,0.70,0.80,0.70,8700.00
09/12/2019,0.80,VPC,0.80,0.80,0.80,0.00
06/12/2019,0.80,VPC,0.80,0.80,0.80,22.00
05/12/2019,0.80,VPC,0.80,0.80,0.80,0.00
04/12/2019,0.80,VPC,0.80,0.80,0.80,100.00
03/12/2019,0.70,VPC,0.70,0.70,0.70,0.00
02/12/2019,0.70,VPC,0.80,0.80,0.70,1122.00
29/11/2019,0.70,VPC,0.70,0.70,0.70,3000.00
28/11/2019,0.60,VPC,0.80,0.80,0.60,5100.00
27/11/2019,0.70,VPC,0.70,0.70,0.70,0.00
26/11/2019,0.70,VPC,0.70,0.70,0.70,4840.00
25/11/2019,0.80,VPC,0.80,0.90,0.80,15000.00
22/11/2019,0.80,VPC,0.80,0.80,0.80,0.00
21/11/2019,0.80,VPC,0.70,0.80,0.70,200.00
20/11/2019,0.80,VPC,0.80,0.80,0.80,0.00
19/11/2019,0.80,VPC,0.80,0.80,0.70,300.00
18/11/2019,0.70,VPC,0.70,0.70,0.70,2000.00
15/11/2019,0.60,VPC,0.80,0.80,0.60,12200.00
14/11/2019,0.80,VPC,0.70,0.80,0.70,5600.00
13/11/2019,0.80,VPC,0.80,0.80,0.70,20700.00
12/11/2019,0.80,VPC,0.80,0.80,0.80,23700.00
11/11/2019,0.70,VPC,0.80,0.80,0.70,10500.00
08/11/2019,0.80,VPC,0.80,0.80,0.80,14500.00
07/11/2019,0.70,VPC,0.70,0.70,0.70,12400.00
06/11/2019,0.70,VPC,0.70,0.70,0.70,26400.00
05/11/2019,0.60,VPC,0.60,0.70,0.60,25000.00
04/11/2019,0.70,VPC,0.70,0.70,0.70,5100.00
01/11/2019,0.80,VPC,0.80,0.80,0.80,1700.00
31/10/2019,0.70,VPC,0.70,0.70,0.70,100.00
30/10/2019,0.70,VPC,0.70,0.80,0.70,8000.00
29/10/2019,0.80,VPC,0.80,0.80,0.80,100.00
28/10/2019,0.70,VPC,0.80,0.80,0.70,800.00
25/10/2019,0.70,VPC,0.70,0.70,0.70,100.00
24/10/2019,0.70,VPC,0.70,0.80,0.70,11600.00
23/10/2019,0.70,VPC,0.70,0.70,0.70,0.00
22/10/2019,0.70,VPC,0.70,0.70,0.70,40.00
21/10/2019,0.70,VPC,0.70,0.70,0.70,900.00
18/10/2019,0.70,VPC,0.60,0.70,0.60,6600.00
17/10/2019,0.70,VPC,0.70,0.70,0.70,3100.00
16/10/2019,0.60,VPC,0.70,0.70,0.60,6040.00
15/10/2019,0.80,VPC,0.70,0.80,0.70,1100.00
