DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,14.80,VPD,15.50,15.70,14.80,11790.00
10/01/2020,15.00,VPD,16.00,16.00,15.00,52180.00
09/01/2020,15.50,VPD,16.30,16.30,15.50,5300.00
08/01/2020,15.70,VPD,15.80,16.00,15.70,10240.00
07/01/2020,16.60,VPD,16.40,16.85,15.50,3680.00
06/01/2020,16.40,VPD,15.50,16.40,15.50,5370.00
03/01/2020,15.50,VPD,15.70,16.00,15.50,9720.00
02/01/2020,16.00,VPD,15.60,16.00,15.50,2550.00
31/12/2019,15.50,VPD,15.25,16.10,15.20,9040.00
30/12/2019,15.15,VPD,15.20,15.30,15.15,4200.00
27/12/2019,15.25,VPD,16.00,16.00,15.25,1030.00
26/12/2019,15.50,VPD,15.40,15.50,15.30,390.00
25/12/2019,15.30,VPD,15.50,15.50,15.30,60.00
24/12/2019,15.50,VPD,15.50,15.50,15.20,3210.00
23/12/2019,15.60,VPD,15.50,16.00,15.50,3430.00
20/12/2019,15.80,VPD,15.85,15.85,15.80,4200.00
19/12/2019,16.00,VPD,16.10,16.00,15.00,520.00
18/12/2019,16.10,VPD,16.00,16.10,16.00,1510.00
17/12/2019,16.40,VPD,16.40,16.40,16.40,210.00
16/12/2019,16.00,VPD,16.50,16.50,16.00,6020.00
13/12/2019,17.00,VPD,16.50,17.00,16.50,530.00
12/12/2019,17.00,VPD,16.50,17.00,16.50,3860.00
11/12/2019,16.60,VPD,16.10,16.60,16.00,14020.00
10/12/2019,16.65,VPD,16.70,16.70,16.00,2510.00
09/12/2019,16.60,VPD,16.20,16.60,16.20,1570.00
06/12/2019,16.20,VPD,16.10,16.50,16.10,640.00
05/12/2019,16.40,VPD,16.40,16.40,16.40,5100.00
04/12/2019,16.40,VPD,16.60,16.70,16.40,11780.00
03/12/2019,16.60,VPD,16.85,16.85,16.60,2020.00
02/12/2019,16.60,VPD,16.60,16.60,16.60,0.00
29/11/2019,16.60,VPD,16.70,16.60,16.60,2700.00
28/11/2019,16.70,VPD,16.80,16.80,16.70,340.00
27/11/2019,16.70,VPD,17.15,17.15,16.70,90.00
26/11/2019,16.80,VPD,16.70,16.90,16.70,11440.00
25/11/2019,16.70,VPD,16.80,16.80,16.60,2100.00
22/11/2019,16.80,VPD,16.70,16.80,16.70,8680.00
21/11/2019,16.90,VPD,16.80,16.90,16.80,31930.00
20/11/2019,16.80,VPD,17.00,17.00,16.60,2420.00
19/11/2019,16.20,VPD,16.20,16.20,16.20,20.00
18/11/2019,16.00,VPD,17.30,17.30,15.95,13080.00
15/11/2019,17.10,VPD,17.00,17.10,17.00,16780.00
14/11/2019,17.00,VPD,17.00,17.00,16.55,29270.00
13/11/2019,16.80,VPD,17.00,17.00,16.50,25250.00
12/11/2019,16.90,VPD,17.00,17.00,16.90,10010.00
11/11/2019,16.85,VPD,17.00,17.00,16.85,1500.00
08/11/2019,17.00,VPD,17.00,17.00,16.90,16700.00
07/11/2019,17.00,VPD,17.00,17.00,16.95,3440.00
06/11/2019,16.90,VPD,17.00,17.00,16.90,2520.00
05/11/2019,17.00,VPD,16.85,17.00,16.80,11100.00
04/11/2019,16.80,VPD,17.00,17.20,16.60,13220.00
01/11/2019,16.95,VPD,16.90,17.15,16.90,3410.00
31/10/2019,16.90,VPD,17.00,17.00,16.90,270.00
30/10/2019,17.00,VPD,17.00,17.00,17.00,4910.00
29/10/2019,17.00,VPD,16.80,17.00,16.80,4090.00
28/10/2019,16.80,VPD,17.00,17.00,16.80,650.00
25/10/2019,17.00,VPD,16.70,17.30,16.70,9270.00
24/10/2019,16.70,VPD,16.70,16.70,16.70,3340.00
23/10/2019,16.90,VPD,16.75,17.80,16.70,2830.00
22/10/2019,16.80,VPD,16.70,16.90,16.70,90.00
21/10/2019,16.70,VPD,16.90,16.90,16.70,13040.00
18/10/2019,16.90,VPD,16.75,16.90,16.70,4130.00
17/10/2019,17.00,VPD,16.90,17.00,16.90,5470.00
16/10/2019,16.90,VPD,17.00,17.00,16.90,3250.00
15/10/2019,16.95,VPD,17.10,17.10,16.90,6810.00
14/10/2019,17.10,VPD,16.90,17.10,16.90,4690.00
11/10/2019,16.95,VPD,16.85,16.95,16.85,5570.00
10/10/2019,16.90,VPD,16.90,16.90,16.80,3870.00
09/10/2019,16.90,VPD,17.00,17.10,16.90,18420.00
08/10/2019,17.00,VPD,16.60,17.00,16.60,3690.00
07/10/2019,17.00,VPD,16.70,17.00,16.70,400.00
04/10/2019,16.50,VPD,16.60,16.60,16.50,7700.00
03/10/2019,16.80,VPD,17.00,17.00,16.70,6630.00
02/10/2019,16.70,VPD,16.90,16.90,16.60,42860.00
