DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,4.00,VPH,3.95,4.00,3.92,18310.00
10/01/2020,4.00,VPH,4.00,4.00,3.93,4610.00
09/01/2020,4.00,VPH,4.05,4.05,3.91,16850.00
08/01/2020,3.96,VPH,4.12,4.12,3.96,12920.00
07/01/2020,4.01,VPH,4.00,4.08,3.98,48440.00
06/01/2020,4.08,VPH,4.12,4.12,4.00,37690.00
03/01/2020,4.12,VPH,4.02,4.12,4.02,15690.00
02/01/2020,4.10,VPH,4.00,4.14,4.00,26320.00
31/12/2019,4.05,VPH,4.10,4.12,4.00,16870.00
30/12/2019,4.05,VPH,4.03,4.14,4.03,11320.00
27/12/2019,4.12,VPH,4.15,4.15,4.00,19220.00
26/12/2019,4.14,VPH,4.10,4.15,4.06,36890.00
25/12/2019,4.15,VPH,4.18,4.18,4.10,42120.00
24/12/2019,4.15,VPH,4.09,4.15,4.07,16630.00
23/12/2019,4.13,VPH,4.13,4.17,4.10,19240.00
20/12/2019,4.17,VPH,4.18,4.18,4.10,22430.00
19/12/2019,4.17,VPH,4.14,4.17,4.14,8010.00
18/12/2019,4.14,VPH,4.23,4.23,4.14,9700.00
17/12/2019,4.14,VPH,4.28,4.28,4.11,69900.00
16/12/2019,4.15,VPH,4.14,4.27,4.12,24350.00
13/12/2019,4.30,VPH,4.19,4.30,4.19,6010.00
12/12/2019,4.19,VPH,4.33,4.33,4.14,3020.00
11/12/2019,4.19,VPH,4.10,4.24,4.10,13380.00
10/12/2019,4.19,VPH,4.28,4.28,4.03,17170.00
09/12/2019,4.28,VPH,4.07,4.40,4.07,24300.00
06/12/2019,4.19,VPH,4.08,4.19,4.08,31750.00
05/12/2019,4.15,VPH,4.11,4.20,4.10,18250.00
04/12/2019,4.13,VPH,4.32,4.32,4.11,910.00
03/12/2019,4.20,VPH,4.34,4.34,4.13,12600.00
02/12/2019,4.25,VPH,4.20,4.42,4.15,7970.00
29/11/2019,4.42,VPH,4.15,4.42,4.42,10.00
28/11/2019,4.15,VPH,4.15,4.25,4.12,6590.00
27/11/2019,4.15,VPH,4.28,4.28,4.15,70.00
26/11/2019,4.28,VPH,4.15,4.28,4.15,9030.00
25/11/2019,4.24,VPH,4.16,4.24,4.16,38470.00
22/11/2019,4.17,VPH,4.38,4.38,4.17,19380.00
21/11/2019,4.21,VPH,4.38,4.38,4.21,7520.00
20/11/2019,4.31,VPH,4.24,4.31,4.22,17340.00
19/11/2019,4.36,VPH,4.23,4.37,4.23,8740.00
18/11/2019,4.36,VPH,4.40,4.40,4.25,7480.00
