DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,9.54,VRC,9.54,9.54,9.54,660.00
10/01/2020,10.25,VRC,10.25,10.25,10.25,3230.00
09/01/2020,11.00,VRC,11.00,11.00,11.00,13220.00
08/01/2020,11.80,VRC,11.80,11.80,11.80,6200.00
07/01/2020,12.65,VRC,12.65,12.65,12.65,2930.00
06/01/2020,13.55,VRC,13.55,13.55,13.55,5750.00
03/01/2020,14.55,VRC,14.55,14.55,14.55,20490.00
02/01/2020,15.60,VRC,15.60,15.60,15.60,3740.00
31/12/2019,16.75,VRC,16.75,16.75,16.75,260.00
30/12/2019,18.00,VRC,18.00,18.00,18.00,5430.00
27/12/2019,19.35,VRC,19.35,19.35,19.35,210.00
26/12/2019,20.80,VRC,20.80,20.80,20.80,52450.00
25/12/2019,22.35,VRC,23.80,24.00,22.35,539730.00
24/12/2019,24.00,VRC,23.90,24.10,23.40,703340.00
23/12/2019,24.10,VRC,25.30,25.30,24.10,1286420.00
20/12/2019,25.25,VRC,25.00,25.30,24.95,403880.00
19/12/2019,24.95,VRC,24.75,24.95,24.70,490110.00
18/12/2019,24.75,VRC,23.50,24.80,23.40,2108060.00
17/12/2019,23.35,VRC,23.55,23.60,23.30,210960.00
16/12/2019,23.55,VRC,23.10,23.60,23.10,1129660.00
13/12/2019,23.10,VRC,23.60,23.60,23.05,1122990.00
12/12/2019,23.70,VRC,23.80,23.80,23.40,658450.00
11/12/2019,23.75,VRC,23.30,23.75,22.80,1060150.00
10/12/2019,23.30,VRC,23.80,23.80,23.20,648760.00
09/12/2019,23.70,VRC,23.60,23.70,23.50,535410.00
06/12/2019,23.70,VRC,23.70,23.80,23.45,693020.00
05/12/2019,23.70,VRC,23.30,23.70,23.10,784760.00
04/12/2019,23.20,VRC,22.90,23.25,22.60,918310.00
03/12/2019,23.00,VRC,23.10,23.20,22.80,968930.00
02/12/2019,23.20,VRC,23.00,23.40,22.70,789940.00
