DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,33.75,VRE,34.00,34.00,33.60,417280.00
10/01/2020,33.95,VRE,34.00,34.10,33.55,543040.00
09/01/2020,34.00,VRE,33.35,34.00,33.30,1054800.00
08/01/2020,32.70,VRE,33.40,33.50,32.60,919210.00
07/01/2020,33.95,VRE,33.65,33.95,33.60,356780.00
06/01/2020,33.65,VRE,34.50,34.50,33.50,682790.00
03/01/2020,34.60,VRE,34.30,34.65,34.10,1272890.00
02/01/2020,34.35,VRE,33.80,34.45,33.80,581190.00
31/12/2019,34.00,VRE,34.00,34.40,33.95,413340.00
30/12/2019,34.50,VRE,33.60,34.50,33.10,1120550.00
27/12/2019,33.40,VRE,33.00,33.55,32.90,957140.00
26/12/2019,33.30,VRE,32.75,33.40,32.75,872120.00
25/12/2019,32.80,VRE,32.70,32.90,32.70,428030.00
24/12/2019,32.90,VRE,32.80,33.00,32.50,1443630.00
23/12/2019,32.90,VRE,33.00,33.00,32.60,1520710.00
20/12/2019,32.95,VRE,32.70,33.20,32.40,1315280.00
19/12/2019,32.40,VRE,31.95,32.60,31.85,1770250.00
18/12/2019,31.95,VRE,32.90,33.05,31.80,3833930.00
17/12/2019,32.90,VRE,33.90,34.00,32.90,1271430.00
16/12/2019,33.90,VRE,33.55,34.40,33.40,1612070.00
13/12/2019,33.55,VRE,35.00,35.00,33.55,2168220.00
12/12/2019,34.75,VRE,35.00,35.15,34.75,2639590.00
11/12/2019,35.00,VRE,34.90,35.10,34.65,5032820.00
10/12/2019,34.90,VRE,35.10,35.35,34.80,4703310.00
09/12/2019,35.20,VRE,34.70,35.20,34.60,7699110.00
06/12/2019,34.60,VRE,34.50,34.65,34.20,4736230.00
05/12/2019,34.50,VRE,34.35,34.75,34.15,6087130.00
04/12/2019,34.10,VRE,33.75,34.20,33.75,5914460.00
03/12/2019,34.00,VRE,33.65,34.20,33.50,4599360.00
02/12/2019,34.00,VRE,34.30,34.45,34.00,3357460.00
29/11/2019,34.45,VRE,33.50,34.45,33.40,5477090.00
28/11/2019,33.50,VRE,33.95,34.00,33.40,3992930.00
27/11/2019,33.95,VRE,34.00,34.20,33.90,3646360.00
26/11/2019,34.10,VRE,33.80,34.45,33.80,4996070.00
25/11/2019,33.80,VRE,34.50,34.70,33.50,3422460.00
22/11/2019,34.80,VRE,35.15,35.15,33.40,7310170.00
21/11/2019,35.00,VRE,35.10,35.15,34.80,4127820.00
20/11/2019,35.15,VRE,35.30,35.35,34.70,6273980.00
19/11/2019,35.30,VRE,35.20,35.55,35.15,6523420.00
18/11/2019,35.20,VRE,35.30,35.30,34.90,5992350.00
15/11/2019,35.20,VRE,35.20,35.45,34.95,6260710.00
14/11/2019,35.00,VRE,34.90,35.15,34.75,6503100.00
13/11/2019,34.70,VRE,34.70,34.95,34.45,5588650.00
12/11/2019,34.70,VRE,34.90,35.00,34.65,3146930.00
11/11/2019,34.70,VRE,34.80,35.20,34.60,2275720.00
08/11/2019,34.65,VRE,35.50,35.50,34.65,4070760.00
07/11/2019,35.20,VRE,35.25,35.75,35.00,3738230.00
06/11/2019,35.15,VRE,35.30,35.85,35.15,3878200.00
05/11/2019,35.60,VRE,35.00,35.80,34.95,4236650.00
04/11/2019,34.90,VRE,35.00,35.40,34.60,3544600.00
01/11/2019,35.05,VRE,33.20,35.30,33.20,9671220.00
31/10/2019,33.20,VRE,33.30,33.45,33.00,3552630.00
30/10/2019,33.25,VRE,32.70,33.35,32.65,3535150.00
29/10/2019,32.60,VRE,32.45,32.80,32.45,2276050.00
