DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,29.90,VSN,29.90,29.90,29.90,100.00
10/01/2020,27.60,VSN,27.70,27.70,27.60,300.00
09/01/2020,30.40,VSN,30.40,30.40,30.40,0.00
08/01/2020,30.40,VSN,30.40,30.40,30.40,0.00
07/01/2020,30.40,VSN,30.40,30.40,30.40,110.00
06/01/2020,29.00,VSN,29.50,30.00,29.00,1500.00
03/01/2020,30.50,VSN,30.40,30.50,30.40,700.00
02/01/2020,30.00,VSN,32.00,32.00,30.00,1200.00
31/12/2019,31.00,VSN,39.00,39.00,31.00,800.00
30/12/2019,34.30,VSN,34.60,35.50,31.00,1315.00
27/12/2019,31.80,VSN,32.00,32.00,30.00,2800.00
26/12/2019,31.80,VSN,31.40,31.80,31.30,1200.00
25/12/2019,31.00,VSN,30.00,31.00,30.00,300.00
24/12/2019,30.50,VSN,30.50,30.50,30.40,1000.00
23/12/2019,30.00,VSN,30.00,30.10,30.00,2300.00
20/12/2019,31.40,VSN,31.40,31.40,31.40,100.00
19/12/2019,30.50,VSN,30.50,30.50,30.50,100.00
18/12/2019,30.50,VSN,30.50,30.50,30.50,600.00
17/12/2019,30.40,VSN,30.50,30.50,30.40,2000.00
16/12/2019,31.10,VSN,31.10,31.10,31.10,0.00
13/12/2019,31.00,VSN,31.00,31.40,31.00,300.00
12/12/2019,30.40,VSN,31.80,31.80,30.40,500.00
11/12/2019,30.60,VSN,30.60,30.60,30.60,3509.00
10/12/2019,32.80,VSN,32.80,32.80,32.80,100.00
09/12/2019,32.80,VSN,30.60,32.80,30.60,400.00
06/12/2019,33.20,VSN,33.20,33.20,33.20,0.00
05/12/2019,33.20,VSN,33.20,33.20,33.20,100.00
04/12/2019,32.60,VSN,31.00,32.60,31.00,1100.00
03/12/2019,36.10,VSN,36.10,36.10,36.10,0.00
02/12/2019,36.10,VSN,36.10,36.10,36.10,0.00
29/11/2019,34.00,VSN,37.50,37.50,33.90,500.00
28/11/2019,33.30,VSN,32.80,33.30,32.80,700.00
27/11/2019,31.50,VSN,31.50,31.50,31.50,0.00
26/11/2019,31.50,VSN,31.50,31.50,31.50,0.00
25/11/2019,31.50,VSN,31.50,31.50,31.50,300.00
22/11/2019,32.50,VSN,32.50,32.50,32.50,200.00
21/11/2019,30.70,VSN,30.80,30.80,30.70,900.00
20/11/2019,31.00,VSN,31.40,32.90,31.00,1100.00
19/11/2019,30.70,VSN,33.20,33.30,30.70,1300.00
18/11/2019,30.60,VSN,30.70,31.00,30.60,1100.00
15/11/2019,32.00,VSN,32.00,32.00,32.00,200.00
14/11/2019,32.00,VSN,32.00,32.00,32.00,200.00
13/11/2019,35.70,VSN,35.90,35.90,32.20,1000.00
12/11/2019,33.50,VSN,33.00,33.50,32.50,600.00
11/11/2019,36.20,VSN,36.20,36.20,36.20,0.00
08/11/2019,33.90,VSN,37.30,37.30,33.90,300.00
07/11/2019,37.40,VSN,37.40,37.40,37.40,800.00
06/11/2019,37.50,VSN,37.00,37.60,37.00,1700.00
05/11/2019,37.70,VSN,37.70,37.70,37.70,210.00
04/11/2019,36.00,VSN,37.80,37.80,32.80,1300.00
01/11/2019,36.50,VSN,34.20,36.50,34.00,5100.00
31/10/2019,35.90,VSN,33.90,35.90,33.80,6500.00
30/10/2019,34.00,VSN,32.60,34.50,32.40,7600.00
29/10/2019,31.50,VSN,30.00,31.90,30.00,6300.00
28/10/2019,30.00,VSN,30.00,30.00,29.50,1320.00
25/10/2019,31.90,VSN,31.90,31.90,31.90,0.00
24/10/2019,31.90,VSN,31.90,31.90,31.90,0.00
23/10/2019,31.90,VSN,31.90,31.90,31.90,0.00
22/10/2019,31.60,VSN,32.00,32.00,31.60,1700.00
21/10/2019,32.80,VSN,32.80,32.80,32.80,0.00
18/10/2019,32.80,VSN,32.80,32.80,32.80,0.00
17/10/2019,32.80,VSN,32.80,32.80,32.80,0.00
16/10/2019,32.80,VSN,32.80,32.80,32.80,0.00
15/10/2019,32.80,VSN,32.80,32.80,32.80,0.00
14/10/2019,32.00,VSN,32.50,33.00,32.00,2120.00
11/10/2019,33.30,VSN,33.30,33.30,33.30,100.00
10/10/2019,33.80,VSN,33.80,33.80,33.80,0.00
09/10/2019,33.80,VSN,33.80,33.80,33.80,0.00
08/10/2019,33.80,VSN,33.80,33.80,33.80,710.00
07/10/2019,33.50,VSN,30.60,33.50,30.60,3204.00
04/10/2019,33.80,VSN,33.00,33.80,33.00,2400.00
03/10/2019,34.10,VSN,34.10,34.10,34.10,30.00
02/10/2019,34.10,VSN,34.70,34.70,33.00,1114.00
01/10/2019,35.90,VSN,35.90,35.90,35.90,0.00
30/09/2019,35.90,VSN,35.90,35.90,35.90,100.00
27/09/2019,35.00,VSN,35.90,35.90,35.00,300.00
26/09/2019,35.70,VSN,38.00,38.00,32.10,3151.00
25/09/2019,35.90,VSN,33.10,35.90,33.10,4390.00
24/09/2019,36.30,VSN,36.30,36.30,36.30,0.00
23/09/2019,36.30,VSN,36.30,36.30,36.30,200.00
20/09/2019,36.40,VSN,34.80,36.40,33.20,1000.00
19/09/2019,36.30,VSN,33.00,36.30,33.00,2800.00
18/09/2019,36.20,VSN,36.20,36.20,36.20,0.00
17/09/2019,35.90,VSN,40.00,40.00,35.40,1300.00
16/09/2019,35.70,VSN,35.70,35.70,35.70,0.00
13/09/2019,35.70,VSN,39.00,39.00,35.10,1100.00
12/09/2019,35.70,VSN,35.00,35.70,35.00,600.00
11/09/2019,35.70,VSN,32.90,35.70,32.90,1100.00
10/09/2019,35.80,VSN,35.40,35.80,34.00,600.00
09/09/2019,35.70,VSN,35.90,35.90,33.20,1710.00
06/09/2019,36.40,VSN,36.40,36.40,36.40,0.00
05/09/2019,35.80,VSN,39.00,39.00,35.00,400.00
04/09/2019,36.40,VSN,33.60,36.40,33.60,3805.00
03/09/2019,35.90,VSN,33.90,35.90,33.90,500.00
30/08/2019,39.80,VSN,39.80,39.80,39.80,100.00
29/08/2019,35.80,VSN,33.20,35.80,33.20,400.00
28/08/2019,35.90,VSN,35.90,35.90,35.90,100.00
