DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,153.00,WCS,153.00,153.00,153.00,1400.00
10/01/2020,153.00,WCS,154.00,154.00,152.00,10100.00
09/01/2020,153.00,WCS,153.00,153.00,153.00,900.00
08/01/2020,150.00,WCS,150.00,150.00,150.00,400.00
07/01/2020,150.00,WCS,151.00,151.00,150.00,800.00
06/01/2020,151.00,WCS,151.00,152.00,151.00,310.00
03/01/2020,150.00,WCS,150.00,150.00,150.00,300.00
02/01/2020,146.10,WCS,146.10,146.10,146.10,1000.00
31/12/2019,149.00,WCS,149.00,149.00,149.00,0.00
30/12/2019,149.00,WCS,149.00,149.00,149.00,120.00
27/12/2019,149.00,WCS,149.00,149.00,149.00,0.00
26/12/2019,149.00,WCS,151.00,151.00,149.00,600.00
25/12/2019,149.00,WCS,149.00,149.00,149.00,0.00
24/12/2019,149.00,WCS,149.00,149.00,149.00,0.00
23/12/2019,149.00,WCS,150.00,150.00,149.00,900.00
20/12/2019,151.00,WCS,151.00,151.00,151.00,620.00
19/12/2019,151.00,WCS,151.00,151.00,151.00,1200.00
18/12/2019,151.00,WCS,151.00,151.00,151.00,30.00
17/12/2019,151.00,WCS,150.00,151.00,150.00,600.00
16/12/2019,158.00,WCS,158.00,158.00,158.00,0.00
13/12/2019,158.00,WCS,158.00,158.00,158.00,0.00
12/12/2019,158.00,WCS,158.00,158.00,158.00,3.00
11/12/2019,158.00,WCS,150.00,158.00,150.00,220.00
10/12/2019,150.00,WCS,150.00,150.00,150.00,100.00
09/12/2019,150.00,WCS,150.00,150.00,150.00,2.00
06/12/2019,150.00,WCS,150.00,150.00,150.00,0.00
05/12/2019,150.00,WCS,150.00,150.00,150.00,0.00
04/12/2019,150.00,WCS,150.00,150.00,150.00,200.00
03/12/2019,148.20,WCS,148.20,148.20,148.20,0.00
02/12/2019,148.20,WCS,148.20,148.20,148.20,0.00
29/11/2019,148.20,WCS,148.20,148.20,148.20,0.00
28/11/2019,148.20,WCS,148.20,148.20,148.20,0.00
27/11/2019,148.20,WCS,148.20,148.20,148.20,0.00
26/11/2019,148.20,WCS,148.20,148.20,148.20,500.00
25/11/2019,152.90,WCS,145.00,152.90,143.00,900.00
22/11/2019,153.00,WCS,155.00,155.00,153.00,2800.00
21/11/2019,155.00,WCS,154.00,155.00,154.00,200.00
20/11/2019,151.00,WCS,151.00,151.00,151.00,800.00
19/11/2019,151.00,WCS,151.00,151.00,151.00,0.00
18/11/2019,151.00,WCS,151.00,151.00,151.00,700.00
15/11/2019,151.00,WCS,152.00,152.00,151.00,1716.00
14/11/2019,153.00,WCS,153.00,153.00,153.00,24.00
13/11/2019,153.00,WCS,154.00,154.00,153.00,1310.00
12/11/2019,152.50,WCS,152.00,154.00,149.00,4410.00
11/11/2019,149.50,WCS,149.50,149.50,149.50,100.00
08/11/2019,152.00,WCS,152.00,152.00,152.00,200.00
07/11/2019,151.00,WCS,152.00,152.00,151.00,1000.00
06/11/2019,151.00,WCS,151.00,151.00,151.00,600.00
05/11/2019,151.00,WCS,151.00,151.00,151.00,600.00
04/11/2019,151.10,WCS,151.10,151.10,151.10,1603.00
01/11/2019,151.00,WCS,151.00,151.00,151.00,200.00
31/10/2019,152.00,WCS,152.00,152.00,152.00,510.00
30/10/2019,153.00,WCS,151.00,153.00,151.00,700.00
29/10/2019,151.00,WCS,152.00,152.00,151.00,400.00
28/10/2019,151.00,WCS,151.00,151.00,151.00,122.00
25/10/2019,151.00,WCS,151.00,152.00,151.00,810.00
24/10/2019,150.00,WCS,149.00,150.00,149.00,800.00
23/10/2019,153.60,WCS,150.20,153.60,150.00,400.00
22/10/2019,154.10,WCS,149.00,154.10,148.00,3410.00
21/10/2019,149.00,WCS,149.00,149.00,149.00,10.00
18/10/2019,149.00,WCS,150.00,150.00,149.00,1760.00
17/10/2019,151.00,WCS,151.00,151.00,151.00,1700.00
16/10/2019,151.00,WCS,150.00,158.30,150.00,500.00
15/10/2019,150.00,WCS,150.00,150.50,149.00,1500.00
14/10/2019,150.00,WCS,156.00,156.00,150.00,910.00
11/10/2019,157.30,WCS,151.00,159.40,151.00,610.00
10/10/2019,157.50,WCS,157.50,157.50,157.50,640.00
09/10/2019,158.00,WCS,161.00,161.00,157.50,8200.00
08/10/2019,168.00,WCS,165.00,169.00,160.10,5700.00
07/10/2019,165.00,WCS,172.00,172.00,156.00,11600.00
04/10/2019,172.00,WCS,171.00,172.00,171.00,5580.00
03/10/2019,170.50,WCS,175.00,180.00,170.50,1300.00
02/10/2019,175.00,WCS,174.00,176.00,174.00,800.00
01/10/2019,175.20,WCS,174.40,175.30,174.00,1400.00
30/09/2019,174.30,WCS,174.50,174.60,174.30,1533.00
27/09/2019,174.40,WCS,173.00,174.90,173.00,2500.00
26/09/2019,173.00,WCS,173.00,173.00,173.00,100.00
25/09/2019,170.00,WCS,175.00,175.50,170.00,1520.00
24/09/2019,175.00,WCS,170.00,180.00,170.00,720.00
23/09/2019,174.50,WCS,174.70,174.70,174.50,4243.00
20/09/2019,174.50,WCS,164.00,174.90,164.00,9012.00
19/09/2019,159.00,WCS,158.40,159.00,158.40,202.00
18/09/2019,155.00,WCS,155.00,155.00,155.00,100.00
17/09/2019,155.00,WCS,155.00,155.00,155.00,210.00
16/09/2019,155.00,WCS,156.00,156.00,155.00,800.00
13/09/2019,155.00,WCS,153.60,155.00,153.00,1550.00
12/09/2019,153.60,WCS,153.60,153.60,153.60,0.00
11/09/2019,153.60,WCS,153.60,153.60,153.60,0.00
10/09/2019,153.60,WCS,154.20,154.20,153.60,750.00
09/09/2019,153.60,WCS,153.60,153.60,153.60,200.00
06/09/2019,155.50,WCS,159.00,169.70,155.50,1600.00
05/09/2019,155.40,WCS,155.40,155.40,155.40,0.00
04/09/2019,155.40,WCS,153.90,155.40,153.90,200.00
03/09/2019,153.90,WCS,154.10,154.10,153.90,2400.00
30/08/2019,153.90,WCS,153.10,153.90,153.10,1475.00
29/08/2019,152.00,WCS,153.20,153.20,152.00,600.00
28/08/2019,153.10,WCS,153.20,153.20,153.10,320.00
27/08/2019,154.00,WCS,154.00,154.00,154.00,201.00
26/08/2019,153.50,WCS,153.50,153.70,153.50,400.00
23/08/2019,154.60,WCS,154.70,154.70,154.60,271.00
22/08/2019,153.50,WCS,153.50,153.50,153.50,100.00
21/08/2019,155.30,WCS,155.50,155.50,155.30,1300.00
20/08/2019,155.30,WCS,155.30,155.30,155.30,340.00
19/08/2019,155.20,WCS,155.00,155.20,155.00,700.00
16/08/2019,154.00,WCS,154.00,154.00,154.00,0.00
15/08/2019,154.00,WCS,157.00,157.00,154.00,200.00
14/08/2019,157.00,WCS,157.00,157.00,157.00,0.00
13/08/2019,157.00,WCS,155.00,157.00,154.00,700.00
12/08/2019,158.30,WCS,158.20,158.30,158.20,600.00
09/08/2019,155.00,WCS,155.00,155.00,155.00,0.00
08/08/2019,155.00,WCS,155.00,155.00,155.00,0.00
07/08/2019,155.00,WCS,155.00,155.00,155.00,0.00
06/08/2019,155.00,WCS,155.00,155.00,155.00,2800.00
05/08/2019,153.00,WCS,153.10,153.10,153.00,1700.00
02/08/2019,152.40,WCS,155.00,157.30,152.40,2000.00
01/08/2019,151.20,WCS,151.30,151.30,151.20,200.00
31/07/2019,152.00,WCS,152.00,152.00,152.00,100.00
30/07/2019,158.00,WCS,152.00,158.00,152.00,300.00
29/07/2019,151.00,WCS,151.10,151.10,151.00,1200.00
26/07/2019,152.00,WCS,151.10,152.00,151.10,500.00
25/07/2019,151.10,WCS,151.10,151.10,151.10,100.00
24/07/2019,154.80,WCS,154.80,154.80,154.80,0.00
23/07/2019,154.80,WCS,151.50,154.80,151.00,1500.00
22/07/2019,152.40,WCS,153.00,153.00,152.40,631.00
19/07/2019,152.30,WCS,152.00,165.90,152.00,300.00
18/07/2019,152.00,WCS,152.00,152.00,152.00,0.00
17/07/2019,152.00,WCS,152.10,152.10,152.00,335.00
16/07/2019,160.80,WCS,160.80,160.80,160.80,60.00
15/07/2019,160.80,WCS,160.80,160.80,160.80,0.00
12/07/2019,160.80,WCS,152.30,160.80,152.30,200.00
11/07/2019,155.00,WCS,155.00,155.00,155.00,100.00
10/07/2019,156.00,WCS,156.00,156.00,156.00,105.00
09/07/2019,158.90,WCS,155.20,158.90,155.20,200.00
08/07/2019,155.00,WCS,152.10,155.10,152.10,1905.00
05/07/2019,153.00,WCS,153.00,153.00,153.00,107.00
04/07/2019,160.00,WCS,161.90,161.90,160.00,401.00
03/07/2019,161.90,WCS,160.00,161.90,160.00,200.00
02/07/2019,161.00,WCS,160.90,161.00,160.90,1131.00
01/07/2019,163.00,WCS,163.00,163.00,163.00,0.00
28/06/2019,163.00,WCS,163.00,163.00,163.00,100.00
27/06/2019,168.90,WCS,161.00,168.90,160.00,1104.00
26/06/2019,177.00,WCS,165.00,177.00,162.80,11817.00
25/06/2019,162.80,WCS,160.00,162.80,160.00,302.00
24/06/2019,164.40,WCS,164.40,164.40,164.40,3.00
21/06/2019,164.40,WCS,164.40,164.40,164.40,600.00
20/06/2019,163.90,WCS,159.90,163.90,159.90,1000.00
19/06/2019,160.00,WCS,160.00,160.00,160.00,0.00
18/06/2019,160.00,WCS,159.00,164.90,159.00,2600.00
17/06/2019,159.00,WCS,149.10,159.00,149.10,602.00
14/06/2019,159.00,WCS,158.90,160.00,155.00,800.00
13/06/2019,160.00,WCS,159.70,169.90,159.70,7401.00
12/06/2019,159.80,WCS,151.00,159.80,151.00,200.00
11/06/2019,159.80,WCS,153.00,159.80,152.10,1800.00
10/06/2019,160.00,WCS,160.00,160.00,152.10,5322.00
07/06/2019,169.00,WCS,167.00,169.00,160.00,2900.00
06/06/2019,185.00,WCS,179.50,185.00,179.50,3721.00
05/06/2019,180.00,WCS,181.00,191.00,167.00,16800.00
04/06/2019,180.00,WCS,180.00,180.00,179.00,6866.00
03/06/2019,180.00,WCS,179.00,180.00,177.00,4764.00
31/05/2019,180.00,WCS,180.00,180.00,180.00,300.00
30/05/2019,180.00,WCS,180.00,180.00,180.00,4300.00
29/05/2019,180.00,WCS,180.00,180.00,180.00,302.00
28/05/2019,180.00,WCS,180.00,180.00,180.00,2240.00
27/05/2019,179.00,WCS,178.00,185.00,170.00,2800.00
24/05/2019,179.00,WCS,180.00,181.00,178.00,7100.00
23/05/2019,180.00,WCS,180.00,180.00,180.00,8415.00
22/05/2019,180.00,WCS,175.00,181.00,175.00,11483.00
21/05/2019,175.00,WCS,165.00,175.00,165.00,600.00
20/05/2019,161.00,WCS,165.00,165.00,161.00,2001.00
17/05/2019,165.00,WCS,165.00,165.00,165.00,0.00
16/05/2019,165.00,WCS,165.00,165.00,165.00,400.00
15/05/2019,166.00,WCS,166.00,166.00,166.00,553.00
14/05/2019,167.90,WCS,167.90,167.90,167.90,200.00
13/05/2019,170.00,WCS,170.00,170.00,170.00,0.00
10/05/2019,170.00,WCS,170.00,170.00,170.00,600.00
09/05/2019,165.10,WCS,165.10,165.10,165.10,100.00
08/05/2019,170.00,WCS,169.00,170.00,169.00,1700.00
07/05/2019,163.00,WCS,167.10,167.10,162.90,2200.00
06/05/2019,175.00,WCS,170.00,175.00,170.00,6110.00
03/05/2019,181.00,WCS,181.00,181.00,181.00,14.00
02/05/2019,181.00,WCS,181.00,181.00,181.00,0.00
26/04/2019,181.00,WCS,184.00,184.00,181.00,202.00
25/04/2019,180.00,WCS,180.00,180.00,180.00,600.00
24/04/2019,179.60,WCS,170.00,179.60,169.30,1830.00
23/04/2019,179.70,WCS,180.00,180.00,169.30,3110.00
22/04/2019,179.00,WCS,185.00,189.00,179.00,5036.00
19/04/2019,188.00,WCS,180.00,188.00,180.00,5644.00
18/04/2019,174.10,WCS,175.00,175.00,166.00,2059.00
17/04/2019,165.90,WCS,159.00,165.90,159.00,8922.00
16/04/2019,166.00,WCS,142.40,166.10,142.40,5910.00
12/04/2019,151.00,WCS,151.00,151.00,151.00,100.00
11/04/2019,141.00,WCS,141.00,141.00,141.00,2.00
10/04/2019,141.00,WCS,141.00,141.00,141.00,100.00
09/04/2019,150.00,WCS,150.00,150.00,150.00,400.00
08/04/2019,138.00,WCS,138.00,138.00,138.00,146.00
05/04/2019,151.50,WCS,140.10,151.70,140.00,1800.00
04/04/2019,138.00,WCS,138.00,138.00,138.00,102.00
03/04/2019,151.10,WCS,145.00,151.10,145.00,201.00
02/04/2019,158.50,WCS,135.00,158.50,135.00,1556.00
01/04/2019,150.00,WCS,134.00,150.00,134.00,504.00
29/03/2019,143.50,WCS,143.50,143.50,143.50,1804.00
28/03/2019,130.50,WCS,130.50,130.50,130.50,110.00
27/03/2019,145.00,WCS,145.00,145.00,145.00,0.00
26/03/2019,145.00,WCS,145.00,145.00,145.00,107.00
25/03/2019,157.00,WCS,157.00,157.00,157.00,0.00
22/03/2019,157.00,WCS,157.00,157.00,157.00,0.00
21/03/2019,157.00,WCS,157.00,157.00,157.00,300.00
20/03/2019,159.90,WCS,159.90,159.90,159.90,0.00
19/03/2019,159.90,WCS,159.90,159.90,159.90,205.00
18/03/2019,159.90,WCS,158.00,159.90,158.00,1000.00
15/03/2019,160.00,WCS,144.00,160.00,144.00,300.00
14/03/2019,160.00,WCS,133.20,160.00,133.20,1900.00
13/03/2019,148.00,WCS,144.00,149.00,144.00,1100.00
12/03/2019,136.00,WCS,136.00,136.00,136.00,500.00
11/03/2019,135.00,WCS,135.00,135.00,135.00,100.00
08/03/2019,135.00,WCS,135.00,135.00,135.00,800.00
