DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,39.60,WSB,40.00,41.00,39.20,25830.00
10/01/2020,40.10,WSB,43.20,43.20,39.10,54000.00
09/01/2020,43.30,WSB,46.00,46.00,43.30,32700.00
08/01/2020,45.00,WSB,47.50,47.50,45.00,8700.00
07/01/2020,46.50,WSB,49.50,49.50,45.00,43600.00
06/01/2020,47.50,WSB,48.50,48.50,46.50,53000.00
03/01/2020,49.00,WSB,49.10,49.10,49.00,3000.00
02/01/2020,49.10,WSB,49.00,49.20,49.00,14900.00
31/12/2019,49.10,WSB,48.60,49.10,48.60,9210.00
30/12/2019,48.70,WSB,50.00,50.00,48.70,12000.00
27/12/2019,50.00,WSB,49.40,50.10,49.00,12100.00
26/12/2019,50.00,WSB,50.00,50.20,50.00,9100.00
25/12/2019,51.00,WSB,50.00,51.00,48.60,17900.00
24/12/2019,48.80,WSB,51.00,51.00,48.10,1300.00
23/12/2019,48.80,WSB,49.10,49.10,48.30,15200.00
20/12/2019,48.90,WSB,49.60,49.60,48.90,6900.00
19/12/2019,49.20,WSB,49.10,49.20,48.40,8800.00
18/12/2019,49.80,WSB,50.00,50.00,49.80,2100.00
17/12/2019,49.40,WSB,49.50,49.50,49.40,2700.00
16/12/2019,49.40,WSB,50.90,50.90,49.40,22600.00
13/12/2019,50.50,WSB,50.90,50.90,49.20,5900.00
12/12/2019,49.40,WSB,49.40,49.40,49.40,2500.00
11/12/2019,49.00,WSB,49.20,49.90,49.00,9600.00
10/12/2019,49.60,WSB,50.00,50.00,49.50,2400.00
09/12/2019,49.50,WSB,50.00,50.00,49.50,6410.00
06/12/2019,50.00,WSB,50.10,50.10,49.50,1500.00
05/12/2019,49.50,WSB,52.00,52.00,49.20,7200.00
04/12/2019,49.50,WSB,49.90,49.90,49.00,7200.00
03/12/2019,50.00,WSB,49.70,50.70,49.70,5700.00
02/12/2019,51.20,WSB,51.00,51.20,50.00,5604.00
29/11/2019,51.40,WSB,51.40,51.60,51.40,4000.00
28/11/2019,52.00,WSB,53.00,53.00,51.10,1400.00
27/11/2019,52.00,WSB,52.00,53.90,52.00,17600.00
26/11/2019,50.20,WSB,52.20,52.20,49.00,29900.00
25/11/2019,49.20,WSB,54.50,54.50,48.70,3400.00
22/11/2019,48.90,WSB,48.90,55.60,48.90,9200.00
21/11/2019,48.40,WSB,48.50,48.80,48.30,6900.00
20/11/2019,48.30,WSB,48.40,48.40,48.20,7300.00
19/11/2019,48.40,WSB,48.40,48.50,48.40,2900.00
18/11/2019,48.20,WSB,48.60,48.60,48.10,26900.00
15/11/2019,48.50,WSB,48.80,48.90,48.50,8200.00
14/11/2019,48.50,WSB,48.60,48.60,48.50,1400.00
13/11/2019,48.50,WSB,49.30,49.30,48.20,7100.00
12/11/2019,48.50,WSB,49.60,49.60,48.50,2600.00
11/11/2019,47.70,WSB,48.00,48.00,47.60,5200.00
08/11/2019,48.00,WSB,49.40,49.40,48.00,6130.00
07/11/2019,48.30,WSB,49.80,49.80,48.10,6500.00
06/11/2019,48.00,WSB,48.00,48.50,47.80,31040.00
05/11/2019,47.80,WSB,47.50,48.00,47.50,10830.00
04/11/2019,47.50,WSB,49.70,49.70,47.50,2900.00
01/11/2019,48.30,WSB,49.00,49.00,46.50,13500.00
31/10/2019,48.20,WSB,48.70,48.70,48.00,4500.00
30/10/2019,48.40,WSB,48.40,48.40,48.40,240.00
29/10/2019,48.80,WSB,48.70,48.80,48.60,21000.00
28/10/2019,48.70,WSB,49.10,49.20,48.20,41100.00
25/10/2019,48.80,WSB,49.00,49.10,48.80,8100.00
24/10/2019,49.20,WSB,49.20,49.20,49.20,800.00
23/10/2019,49.20,WSB,49.50,49.50,48.60,3400.00
22/10/2019,49.50,WSB,49.90,49.90,48.60,4100.00
21/10/2019,49.50,WSB,48.50,50.00,48.50,7250.00
18/10/2019,49.80,WSB,47.50,49.90,47.50,17900.00
17/10/2019,47.50,WSB,47.50,47.50,47.50,0.00
16/10/2019,47.50,WSB,47.50,47.50,47.50,200.00
15/10/2019,49.00,WSB,46.50,52.00,46.40,5300.00
14/10/2019,46.00,WSB,46.00,46.50,46.00,4700.00
11/10/2019,46.00,WSB,46.00,46.00,46.00,310.00
10/10/2019,45.50,WSB,46.50,46.50,45.40,5100.00
09/10/2019,45.50,WSB,46.00,46.00,45.50,6400.00
08/10/2019,45.90,WSB,46.00,46.00,45.90,2200.00
07/10/2019,45.90,WSB,45.70,46.40,45.70,1450.00
04/10/2019,45.90,WSB,45.90,45.90,45.80,2500.00
03/10/2019,45.80,WSB,45.80,45.80,45.80,200.00
02/10/2019,45.80,WSB,46.50,46.50,45.80,2300.00
01/10/2019,45.70,WSB,45.80,45.80,45.70,1000.00
30/09/2019,46.00,WSB,45.50,46.00,45.30,5100.00
27/09/2019,45.30,WSB,46.00,46.00,45.30,900.00
26/09/2019,45.90,WSB,46.30,46.30,45.90,1200.00
25/09/2019,45.30,WSB,45.30,45.30,45.00,6000.00
24/09/2019,45.30,WSB,45.30,45.30,45.30,6600.00
23/09/2019,45.20,WSB,46.90,46.90,45.20,700.00
20/09/2019,45.20,WSB,46.30,47.00,45.20,1708.00
19/09/2019,46.30,WSB,45.60,46.30,44.50,10200.00
18/09/2019,45.50,WSB,46.00,46.00,45.50,800.00
17/09/2019,45.80,WSB,46.00,46.00,45.80,3700.00
16/09/2019,47.70,WSB,47.60,47.80,47.40,12000.00
13/09/2019,47.60,WSB,47.00,47.60,47.00,15500.00
12/09/2019,47.00,WSB,47.20,47.20,47.00,3950.00
11/09/2019,47.20,WSB,47.20,47.20,47.20,500.00
10/09/2019,47.00,WSB,48.00,48.00,47.00,14500.00
09/09/2019,47.50,WSB,47.10,47.50,47.10,8300.00
06/09/2019,47.00,WSB,47.30,47.80,47.00,17540.00
05/09/2019,47.00,WSB,47.80,47.90,47.00,9700.00
04/09/2019,47.80,WSB,46.80,47.80,46.00,8350.00
03/09/2019,47.10,WSB,48.20,48.20,47.10,2100.00
30/08/2019,47.50,WSB,47.60,47.60,46.70,1000.00
29/08/2019,47.80,WSB,47.30,47.80,47.30,400.00
28/08/2019,47.30,WSB,47.30,47.30,47.30,110.00
27/08/2019,47.50,WSB,48.00,48.20,47.50,3300.00
26/08/2019,47.00,WSB,48.30,48.30,47.00,4200.00
23/08/2019,48.20,WSB,48.40,48.40,47.70,1600.00
22/08/2019,48.00,WSB,48.30,48.30,47.50,10600.00
21/08/2019,47.80,WSB,47.80,47.80,47.40,5500.00
20/08/2019,47.10,WSB,48.40,48.40,47.00,7400.00
19/08/2019,48.00,WSB,48.20,48.20,47.50,11910.00
16/08/2019,47.80,WSB,48.90,48.90,47.80,5240.00
15/08/2019,48.40,WSB,50.00,50.00,48.00,3200.00
14/08/2019,48.40,WSB,48.50,48.70,48.00,16300.00
13/08/2019,48.00,WSB,48.70,48.70,48.00,11300.00
12/08/2019,48.30,WSB,48.80,49.30,48.00,6300.00
09/08/2019,48.50,WSB,49.80,49.80,48.30,19700.00
08/08/2019,49.30,WSB,49.90,49.90,48.00,21000.00
07/08/2019,49.10,WSB,50.00,50.00,49.10,7810.00
06/08/2019,49.90,WSB,50.10,50.80,49.10,54998.00
05/08/2019,50.00,WSB,48.80,50.90,48.00,74500.00
02/08/2019,49.50,WSB,50.90,50.90,48.70,6000.00
01/08/2019,49.80,WSB,49.80,49.80,49.80,200.00
31/07/2019,49.80,WSB,49.00,49.80,48.90,9900.00
30/07/2019,48.00,WSB,49.40,49.40,48.00,13110.00
29/07/2019,48.80,WSB,49.60,49.60,48.80,2300.00
26/07/2019,49.00,WSB,49.50,49.50,48.00,9700.00
25/07/2019,49.50,WSB,50.00,50.30,49.50,47930.00
24/07/2019,50.30,WSB,50.90,50.90,50.00,11400.00
23/07/2019,50.60,WSB,52.00,52.00,49.00,51650.00
22/07/2019,49.00,WSB,50.50,50.50,49.00,12800.00
19/07/2019,48.50,WSB,48.60,49.00,48.50,9740.00
18/07/2019,48.90,WSB,46.90,49.00,46.90,35300.00
17/07/2019,47.50,WSB,45.50,47.50,45.00,29500.00
16/07/2019,45.00,WSB,44.90,46.90,44.50,10900.00
15/07/2019,45.00,WSB,45.00,45.00,43.60,5030.00
12/07/2019,43.60,WSB,43.60,43.60,43.60,1000.00
11/07/2019,43.50,WSB,43.60,43.60,42.50,9700.00
10/07/2019,43.60,WSB,43.60,43.60,43.60,2300.00
09/07/2019,43.80,WSB,45.00,45.00,43.80,1000.00
08/07/2019,43.60,WSB,43.60,43.60,43.60,500.00
05/07/2019,43.60,WSB,43.60,43.60,43.60,0.00
04/07/2019,43.60,WSB,43.60,43.60,43.60,4400.00
03/07/2019,43.50,WSB,45.00,45.00,43.50,2100.00
02/07/2019,43.50,WSB,43.70,43.70,43.50,3800.00
01/07/2019,43.50,WSB,43.50,43.70,43.50,5800.00
28/06/2019,43.50,WSB,43.50,43.50,43.50,700.00
27/06/2019,43.60,WSB,43.60,43.60,43.60,0.00
26/06/2019,43.70,WSB,43.50,43.70,43.50,10600.00
25/06/2019,43.50,WSB,44.00,44.00,43.50,9000.00
24/06/2019,44.10,WSB,44.00,44.10,43.50,1000.00
21/06/2019,44.00,WSB,44.00,44.00,44.00,4200.00
20/06/2019,43.90,WSB,43.90,43.90,43.90,0.00
19/06/2019,43.90,WSB,43.90,43.90,43.90,100.00
18/06/2019,43.00,WSB,43.00,43.00,43.00,1000.00
17/06/2019,44.00,WSB,44.00,44.00,44.00,100.00
14/06/2019,44.00,WSB,44.00,44.00,44.00,100.00
13/06/2019,43.20,WSB,43.50,43.50,43.20,600.00
12/06/2019,44.00,WSB,44.00,44.00,44.00,400.00
11/06/2019,43.10,WSB,43.20,43.20,43.10,6800.00
10/06/2019,43.20,WSB,44.00,44.00,43.10,6600.00
07/06/2019,44.00,WSB,45.00,45.00,44.00,500.00
06/06/2019,45.00,WSB,45.00,45.00,45.00,0.00
05/06/2019,45.00,WSB,45.00,45.00,45.00,0.00
