DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
13/01/2020,9.00,XMC,8.90,9.00,8.90,20373.00
10/01/2020,8.80,XMC,8.80,8.80,8.80,100.00
09/01/2020,9.60,XMC,9.60,9.60,9.60,0.00
08/01/2020,9.60,XMC,9.60,9.60,9.60,102.00
07/01/2020,9.80,XMC,9.10,9.80,9.10,4900.00
06/01/2020,10.00,XMC,9.10,10.00,9.10,798.00
03/01/2020,9.70,XMC,9.20,9.70,9.20,800.00
02/01/2020,8.60,XMC,8.60,8.60,8.60,0.00
31/12/2019,8.60,XMC,8.60,8.60,8.60,800.00
30/12/2019,9.00,XMC,9.00,9.00,9.00,1.00
27/12/2019,9.00,XMC,9.00,9.00,9.00,40.00
26/12/2019,9.00,XMC,9.00,9.00,9.00,500.00
25/12/2019,10.30,XMC,10.30,10.30,10.30,0.00
24/12/2019,10.40,XMC,8.60,10.40,8.60,1200.00
23/12/2019,9.20,XMC,9.20,9.20,9.20,0.00
20/12/2019,9.20,XMC,9.20,9.20,9.20,196.00
19/12/2019,9.20,XMC,9.20,9.20,9.20,0.00
18/12/2019,9.20,XMC,9.20,9.20,9.20,0.00
17/12/2019,9.20,XMC,9.20,9.20,9.20,100.00
16/12/2019,9.30,XMC,9.30,9.30,9.30,0.00
13/12/2019,9.30,XMC,9.30,9.30,9.30,0.00
12/12/2019,9.30,XMC,9.20,9.30,9.20,200.00
11/12/2019,10.00,XMC,10.00,10.00,10.00,0.00
10/12/2019,10.00,XMC,10.00,10.00,10.00,0.00
09/12/2019,10.00,XMC,10.00,10.00,10.00,5400.00
06/12/2019,10.40,XMC,10.40,10.40,10.40,0.00
05/12/2019,10.40,XMC,10.40,10.40,10.40,75044.00
04/12/2019,10.50,XMC,10.50,10.50,10.50,1000.00
03/12/2019,9.30,XMC,9.30,9.30,9.30,0.00
02/12/2019,9.30,XMC,9.30,9.30,9.30,100.00
29/11/2019,10.00,XMC,10.00,10.00,10.00,1700.00
28/11/2019,9.40,XMC,9.30,9.40,9.30,688.00
27/11/2019,10.00,XMC,10.00,10.00,10.00,0.00
26/11/2019,10.00,XMC,10.00,10.00,10.00,4100.00
25/11/2019,10.00,XMC,10.00,10.00,10.00,8700.00
22/11/2019,9.30,XMC,9.30,9.30,9.30,0.00
21/11/2019,9.30,XMC,9.30,9.30,9.30,116.00
20/11/2019,9.20,XMC,10.00,10.00,9.20,5110.00
19/11/2019,9.50,XMC,9.50,9.50,9.50,18.00
18/11/2019,9.50,XMC,9.50,9.50,9.50,400.00
15/11/2019,9.40,XMC,9.40,9.40,9.40,100.00
14/11/2019,10.80,XMC,10.80,10.80,10.80,146.00
13/11/2019,9.10,XMC,9.60,9.60,9.10,8400.00
12/11/2019,9.60,XMC,9.60,9.60,9.60,0.00
11/11/2019,9.60,XMC,9.60,9.60,9.60,0.00
08/11/2019,9.60,XMC,9.60,9.60,9.60,0.00
07/11/2019,9.60,XMC,9.60,9.60,9.60,10900.00
06/11/2019,9.80,XMC,9.80,9.80,9.80,100.00
05/11/2019,9.80,XMC,9.80,9.80,9.80,0.00
04/11/2019,9.80,XMC,9.80,9.80,9.80,0.00
01/11/2019,9.80,XMC,9.80,9.80,9.80,0.00
31/10/2019,9.80,XMC,9.80,9.80,9.80,0.00
30/10/2019,9.80,XMC,9.80,9.80,9.80,62.00
29/10/2019,9.70,XMC,9.70,9.80,9.70,8800.00
28/10/2019,9.70,XMC,9.70,9.70,9.70,0.00
25/10/2019,9.70,XMC,9.70,9.70,9.70,10.00
24/10/2019,9.70,XMC,9.70,9.70,9.70,700.00
23/10/2019,9.80,XMC,9.80,9.80,9.80,3000.00
22/10/2019,9.80,XMC,9.80,9.80,9.80,58.00
21/10/2019,9.80,XMC,9.80,9.80,9.80,300.00
18/10/2019,9.70,XMC,9.70,9.70,9.70,758.00
17/10/2019,9.50,XMC,9.50,9.50,9.50,0.00
16/10/2019,9.50,XMC,9.50,9.50,9.50,300.00
15/10/2019,10.00,XMC,10.50,10.50,10.00,5060.00
14/10/2019,10.70,XMC,10.70,10.70,10.70,2000.00
11/10/2019,10.80,XMC,10.80,10.80,10.80,0.00
10/10/2019,10.80,XMC,10.80,10.80,10.80,0.00
09/10/2019,10.80,XMC,10.80,10.80,10.80,10.00
08/10/2019,10.80,XMC,10.80,10.80,10.80,1300.00
07/10/2019,10.80,XMC,10.80,10.80,10.80,1100.00
04/10/2019,11.60,XMC,10.40,11.60,10.40,1539.00
03/10/2019,10.10,XMC,10.10,10.10,10.10,1000.00
02/10/2019,10.30,XMC,10.30,10.30,10.30,0.00
01/10/2019,10.30,XMC,10.30,10.30,10.30,110.00
30/09/2019,10.10,XMC,10.50,10.50,10.10,4600.00
27/09/2019,11.00,XMC,11.00,11.00,10.80,4300.00
26/09/2019,10.60,XMC,10.60,10.60,10.60,50.00
25/09/2019,10.50,XMC,10.60,10.60,10.50,4235.00
24/09/2019,11.50,XMC,11.50,11.50,11.50,224.00
23/09/2019,11.70,XMC,11.70,11.70,11.70,0.00
20/09/2019,11.70,XMC,11.70,11.70,11.70,0.00
19/09/2019,11.70,XMC,11.70,11.70,11.70,0.00
18/09/2019,11.70,XMC,11.70,11.70,11.70,0.00
17/09/2019,11.70,XMC,11.70,11.70,11.70,0.00
16/09/2019,11.80,XMC,11.50,11.80,11.50,310.00
13/09/2019,11.20,XMC,11.20,11.20,11.20,0.00
12/09/2019,11.20,XMC,11.20,11.20,11.20,0.00
11/09/2019,11.20,XMC,11.20,11.20,11.20,0.00
10/09/2019,11.00,XMC,11.40,11.40,11.00,11000.00
09/09/2019,11.70,XMC,11.50,11.70,11.30,15040.00
06/09/2019,11.70,XMC,11.70,11.70,11.70,1000.00
05/09/2019,11.70,XMC,11.70,11.70,11.70,3000.00
04/09/2019,11.80,XMC,11.80,11.80,11.80,1500.00
03/09/2019,12.00,XMC,12.00,12.00,12.00,2034.00
30/08/2019,11.80,XMC,11.80,11.80,11.80,100.00
29/08/2019,11.70,XMC,11.80,11.80,11.70,4566.00
28/08/2019,11.80,XMC,11.80,11.80,11.80,6000.00
27/08/2019,12.00,XMC,12.10,12.20,11.80,13000.00
26/08/2019,11.80,XMC,12.20,12.40,11.80,8327.00
23/08/2019,11.90,XMC,12.30,12.40,11.90,3400.00
22/08/2019,11.90,XMC,11.90,11.90,11.90,41.00
21/08/2019,11.80,XMC,12.00,12.00,11.80,17625.00
20/08/2019,11.80,XMC,12.00,12.00,11.80,530.00
19/08/2019,11.80,XMC,11.80,11.80,11.80,15500.00
16/08/2019,12.00,XMC,12.00,12.00,12.00,1666.00
15/08/2019,12.00,XMC,11.60,12.00,11.60,7600.00
14/08/2019,12.00,XMC,12.00,12.00,12.00,7010.00
13/08/2019,12.50,XMC,12.10,12.50,12.10,339.00
12/08/2019,12.00,XMC,12.00,12.10,12.00,5727.00
09/08/2019,12.10,XMC,12.30,12.30,12.00,17522.00
08/08/2019,12.30,XMC,12.30,12.50,12.30,10310.00
07/08/2019,12.30,XMC,12.50,12.70,12.30,68765.00
06/08/2019,12.60,XMC,12.70,12.70,12.50,29600.00
05/08/2019,12.80,XMC,12.60,12.80,12.60,12055.00
02/08/2019,12.80,XMC,12.80,12.80,12.80,3870.00
01/08/2019,12.90,XMC,12.70,13.70,12.70,90946.00
31/07/2019,12.60,XMC,12.50,12.60,12.50,12126.00
30/07/2019,12.40,XMC,12.40,12.40,12.40,1800.00
29/07/2019,12.60,XMC,12.50,12.70,12.50,21400.00
26/07/2019,12.50,XMC,12.50,12.50,12.30,4446.00
25/07/2019,12.60,XMC,12.50,12.70,12.50,25400.00
24/07/2019,12.20,XMC,12.50,12.50,12.20,9720.00
23/07/2019,12.60,XMC,12.70,12.70,12.60,4305.00
22/07/2019,12.50,XMC,12.50,12.50,12.50,1440.00
19/07/2019,12.30,XMC,12.40,12.60,12.00,10800.00
18/07/2019,12.70,XMC,12.50,12.70,12.40,10100.00
17/07/2019,12.60,XMC,12.70,12.70,12.60,6400.00
16/07/2019,13.30,XMC,13.30,13.50,12.80,33164.00
15/07/2019,13.40,XMC,13.50,13.50,13.40,5901.00
12/07/2019,14.20,XMC,13.90,14.50,13.60,22200.00
11/07/2019,14.60,XMC,12.90,14.70,12.90,108500.00
10/07/2019,12.80,XMC,13.00,13.00,12.80,2200.00
09/07/2019,12.90,XMC,12.90,12.90,12.90,1000.00
08/07/2019,12.60,XMC,12.90,12.90,12.60,9500.00
05/07/2019,13.00,XMC,12.50,13.00,12.50,25050.00
04/07/2019,12.50,XMC,12.50,12.60,12.50,34700.00
03/07/2019,12.60,XMC,13.30,13.30,12.50,7500.00
02/07/2019,12.70,XMC,13.50,13.50,12.50,15600.00
01/07/2019,12.00,XMC,12.00,12.20,12.00,17200.00
28/06/2019,13.00,XMC,16.00,16.00,11.50,27000.00
11/11/2013,6.90,XMC,6.00,6.90,5.70,24700.00
11/11/2013,6.90,XMC,6.00,6.90,5.70,24700.00
08/11/2013,6.30,XMC,6.20,6.30,5.60,18800.00
07/11/2013,6.20,XMC,6.30,6.60,6.20,15600.00
06/11/2013,6.80,XMC,6.90,6.90,6.80,8000.00
05/11/2013,6.90,XMC,7.50,7.50,6.90,4000.00
04/11/2013,7.00,XMC,6.90,7.00,6.90,5000.00
01/11/2013,6.60,XMC,6.30,6.60,6.30,13700.00
31/10/2013,6.20,XMC,6.20,6.20,6.20,0.00
30/10/2013,6.20,XMC,6.20,6.20,6.20,3100.00
29/10/2013,6.20,XMC,6.20,6.20,6.20,0.00
28/10/2013,6.20,XMC,6.10,6.20,6.10,13000.00
25/10/2013,6.10,XMC,6.10,6.10,6.10,5800.00
24/10/2013,6.00,XMC,6.10,6.10,6.00,2600.00
23/10/2013,6.10,XMC,6.00,6.10,6.00,9900.00
22/10/2013,6.10,XMC,6.10,6.10,6.10,16100.00
21/10/2013,6.10,XMC,6.10,6.10,6.10,28500.00
18/10/2013,6.10,XMC,6.10,6.10,6.00,18300.00
17/10/2013,6.10,XMC,5.90,6.10,5.90,25700.00
16/10/2013,6.10,XMC,6.00,6.10,6.00,60210.00
15/10/2013,6.30,XMC,6.30,6.30,6.30,4300.00
14/10/2013,6.30,XMC,6.30,6.30,6.30,500.00
11/10/2013,6.20,XMC,6.20,6.20,6.20,2000.00
10/10/2013,6.20,XMC,6.20,6.20,6.20,4100.00
09/10/2013,6.20,XMC,6.20,6.20,6.20,2400.00
08/10/2013,6.20,XMC,6.20,6.20,6.20,900.00
07/10/2013,6.20,XMC,6.10,6.20,6.10,5000.00
04/10/2013,6.10,XMC,6.10,6.10,6.10,1000.00
03/10/2013,6.60,XMC,6.60,6.60,6.60,100.00
02/10/2013,6.40,XMC,6.40,6.40,6.40,100.00
01/10/2013,6.40,XMC,6.50,6.50,6.40,12100.00
30/09/2013,6.50,XMC,6.50,6.50,6.50,0.00
27/09/2013,6.50,XMC,6.50,6.50,6.50,0.00
26/09/2013,6.50,XMC,6.50,6.50,6.50,100.00
25/09/2013,6.00,XMC,6.00,6.00,6.00,5400.00
24/09/2013,6.00,XMC,6.00,6.00,6.00,1600.00
23/09/2013,6.00,XMC,6.00,6.00,6.00,2000.00
20/09/2013,6.00,XMC,6.00,5.40,5.40,0.00
19/09/2013,6.00,XMC,6.00,6.00,6.00,1500.00
18/09/2013,6.40,XMC,6.40,6.40,6.40,100.00
17/09/2013,6.30,XMC,6.30,6.30,6.30,0.00
16/09/2013,6.30,XMC,6.20,6.30,5.60,1900.00
13/09/2013,6.20,XMC,6.20,6.20,6.20,0.00
